startdate	enddate	theisen	p5max	p10max	p15max	p30max	p60max	ei	theisen	duration	intense
16d yyyy/mm/dd hh:mm (for storm)	16d yyyy/mm/dd hh:mm (for storm)	"7n total theissen rain over storm, inches"	"7n 5 minute intensity, inches/hour"	"7n 10 minute intensity, inches/hour"	"7n 15 minute intensity, inches/hour"	"7n 30 minute intensity, inches/hour"	"7n 60 minute intensity, inches/hour"	9n erosivity index	"7n total theissen rain over storm, inches"	"8n total storm duration, hours"	"7n total storm intensity, theissen rain/duration"
12/17/2002 22:40	12/18/2002 16:20	0.347	0.408	0.366	0.304	0.212	0.118	0.459	0.347	17.6667	0.02
2/2/2003 4:00	2/3/2003 4:35	0.188	0.12	0.096	0.084	0.062	0.038	0.05	0.188	24.5833	0.008
3/19/2003 11:50	3/20/2003 5:45	0.282	0.12	0.12	0.116	0.106	0.091	0.158	0.282	17.9167	0.016
3/20/2003 16:45	3/21/2003 12:40	0.242	0.132	0.102	0.104	0.08	0.064	0.086	0.242	19.9167	0.012
3/27/2003 2:05	3/28/2003 14:15	1.106	0.192	0.18	0.176	0.152	0.138	0.906	1.106	36.1667	0.031
4/10/2003 12:10	4/10/2003 12:35	0.162	0.408	0.408	0.396	-9	-9	-9	0.162	0.4167	0.389
4/15/2003 22:25	4/16/2003 15:55	1.163	0.744	0.564	0.464	0.374	0.278	2.818	1.163	17.5	0.066
4/17/2003 1:00	4/17/2003 16:20	0.18	0.396	0.276	0.2	0.104	0.056	0.094	0.18	15.3333	0.012
4/18/2003 18:15	4/19/2003 7:50	0.306	0.444	0.42	0.396	0.318	0.229	0.645	0.306	13.5833	0.023
4/19/2003 17:05	4/20/2003 12:20	0.413	0.264	0.246	0.216	0.156	0.122	0.358	0.413	19.25	0.021
5/4/2003 15:15	5/6/2003 18:45	1.181	0.276	0.264	0.252	0.214	0.155	1.39	1.181	51.5	0.023
5/7/2003 1:30	5/7/2003 12:10	0.115	0.072	0.054	0.056	0.048	0.041	0.024	0.115	10.6667	0.011
5/8/2003 17:15	5/12/2003 15:45	2.123	0.684	0.426	0.312	0.202	0.176	2.504	2.123	94.5	0.022
5/14/2003 4:15	5/15/2003 15:05	1.165	0.324	0.324	0.3	0.276	0.234	1.935	1.165	34.8333	0.033
5/19/2003 15:05	5/20/2003 7:45	0.207	0.396	0.336	0.308	0.17	0.096	0.207	0.207	16.6667	0.012
5/28/2003 2:20	5/28/2003 9:25	0.132	0.468	0.42	0.324	0.174	0.093	0.147	0.132	7.0833	0.019
5/30/2003 2:50	5/30/2003 22:30	0.246	0.228	0.168	0.136	0.098	0.078	0.126	0.246	19.6667	0.013
6/6/2003 4:50	6/7/2003 6:20	0.572	0.216	0.18	0.188	0.164	0.118	0.506	0.572	25.5	0.022
6/8/2003 0:15	6/8/2003 18:35	0.914	1.2	1.014	0.896	0.638	0.369	4.062	0.914	18.3333	0.05
6/10/2003 0:15	6/10/2003 9:15	0.71	0.648	0.57	0.512	0.366	0.227	1.866	0.71	9	0.079
6/24/2003 4:10	6/24/2003 6:30	0.485	1.368	1.254	1.092	0.7	0.417	2.756	0.485	2.3333	0.208
6/25/2003 5:10	6/25/2003 13:25	0.244	0.36	0.354	0.316	0.246	0.182	0.383	0.244	8.25	0.03
7/3/2003 3:05	7/3/2003 5:25	0.822	2.592	2.568	2.14	1.302	0.749	9.865	0.822	2.3333	0.352
7/4/2003 4:05	7/4/2003 10:40	0.331	0.42	0.402	0.356	0.254	0.227	0.562	0.331	6.5833	0.05
7/6/2003 6:55	7/6/2003 12:00	0.179	0.324	0.294	0.284	0.214	0.117	0.23	0.179	5.0833	0.035
7/7/2003 3:45	7/7/2003 7:15	0.229	0.828	0.672	0.556	0.388	0.218	0.675	0.229	3.5	0.065
7/9/2003 21:10	7/11/2003 2:15	0.114	0.12	0.108	0.08	0.044	0.036	0.024	0.114	29.0833	0.004
7/31/2003 8:55	8/1/2003 5:20	0.191	0.324	0.258	0.188	0.102	0.065	0.117	0.191	20.4167	0.009
8/2/2003 14:00	8/2/2003 15:15	0.155	0.432	0.336	0.268	0.236	0.147	0.252	0.155	1.25	0.124
8/6/2003 13:20	8/6/2003 16:40	0.116	0.588	0.504	0.388	0.202	0.103	0.177	0.116	3.3333	0.035
8/25/2003 10:55	8/25/2003 16:50	0.164	0.9	0.6	0.436	0.234	0.14	0.279	0.164	5.9167	0.028
9/12/2003 4:20	9/12/2003 10:25	0.632	0.54	0.498	0.444	0.366	0.277	1.538	0.632	6.0833	0.104
9/18/2003 16:25	9/19/2003 3:15	1.748	1.548	1.152	0.904	0.722	0.612	9.714	1.748	10.8333	0.161
9/26/2003 15:00	9/27/2003 5:10	0.157	0.216	0.192	0.164	0.122	0.09	0.101	0.157	14.1667	0.011
