date	phos_tot	solids_tot	q_tot	phos_storm	solids_storm	q_storm
10/1/1990	1.66	0.13	6.1	0	0.03	0.2
10/2/1990	1.64	0.13	5.9	0	0	0
10/3/1990	8.8	3.8	11	7.16	3.67	5.1
10/4/1990	2.3	1.2	7.9	0.66	1.07	1.2
10/5/1990	2.02	0.15	6.8	0.07	0.01	0.1
10/6/1990	2.02	0.14	6.7	0.07	0	0
10/7/1990	1.95	0.14	6.3	0	0	0.1
10/8/1990	1.95	0.13	6.2	0	0	0
10/9/1990	2.02	0.14	6.3	0.07	0.01	0.1
10/10/1990	2.03	0.13	6.2	0.08	0	0.3
10/11/1990	2.06	0.13	6.2	0.18	0.01	0.3
10/12/1990	1.93	0.12	5.9	0.05	0	0
10/13/1990	1.88	0.12	5.8	0	0	0
10/14/1990	1.94	0.12	6.1	0.11	0.01	0.3
10/15/1990	1.85	0.12	5.9	0.02	0.01	0.1
10/16/1990	1.83	0.11	5.9	0	0	0
10/17/1990	1.8	0.11	5.9	0	0	0
10/18/1990	2.13	0.8	7.1	0.33	0.69	1.2
10/19/1990	1.92	0.12	6.5	0.12	0.01	0.1
10/20/1990	1.85	0.11	6.4	0	0	0
10/21/1990	2.08	0.84	7.2	0.23	0.73	0.8
10/22/1990	1.9	0.12	6.7	0.05	0.01	0.6
10/23/1990	1.81	0.11	6.5	0.16	0.01	0.4
10/24/1990	1.67	0.1	6.1	0.02	0	0
10/25/1990	1.65	0.1	6.1	0	0	0.1
10/26/1990	1.6	0.1	6	0.05	0	0
10/27/1990	1.57	0.1	6	0.02	0	0
10/28/1990	1.55	0.11	6	0	0.01	0
10/29/1990	1.53	0.11	6	0.05	0	0
10/30/1990	1.5	0.11	6	0.02	0	0
10/31/1990	1.48	0.11	6	0	0	0.1
11/1/1990	1.43	0.12	5.9	0.04	0	0
11/2/1990	1.43	0.12	6	0.04	0	0.1
11/3/1990	1.39	0.12	5.9	0	0	0
11/4/1990	1.45	0.13	6.2	0.11	0	0.3
11/5/1990	1.4	0.13	6.1	0.06	0	0.2
11/6/1990	1.34	0.13	5.9	0	0	0.3
11/7/1990	1.29	0.13	5.8	0.06	0	0.2
11/8/1990	1.23	0.13	5.6	0	0	0
11/9/1990	1.27	0.14	5.9	0.04	0.01	0
11/10/1990	1.27	0.14	5.9	0	0	0
11/11/1990	1.27	0.15	5.9	0	0.01	0
11/12/1990	1.27	0.15	5.9	0	0.01	0.2
11/13/1990	1.22	0.14	5.7	0	0	0
11/14/1990	1.22	0.14	5.7	0	0	0
11/15/1990	1.22	0.15	5.7	0	0.01	0.4
11/16/1990	1.2	0.14	5.6	0.06	0	0.3
11/17/1990	1.14	0.14	5.3	0	0	0
11/18/1990	1.17	0.14	5.4	0.03	0	0
11/19/1990	1.18	0.14	5.5	0.02	0	0.1
11/20/1990	1.18	0.15	5.5	0.02	0.01	0.1
11/21/1990	1.16	0.14	5.4	0	0	0.2
11/22/1990	1.14	0.14	5.3	0.04	0	0.1
11/23/1990	1.12	0.14	5.2	0.02	0	0
11/24/1990	1.1	0.14	5.1	0	0	0
11/25/1990	1.11	0.14	5.1	0	0	0
11/26/1990	1.11	0.14	5.1	0	0	0
11/27/1990	1.18	0.15	5.5	0.07	0.01	0.5
11/28/1990	1.16	0.15	5.4	0.1	0.01	0.4
11/29/1990	1.07	0.14	5	0.01	0	0
11/30/1990	1.06	0.14	4.9	0	0	0.1
12/1/1990	1.07	0.15	5	0.23	0.03	0.2
12/2/1990	1.03	0.14	4.8	0.19	0.02	0
12/3/1990	0.84	0.12	3.9	0	0	0
12/4/1990	0.97	0.14	4.5	0	0	0.6
12/5/1990	1.12	0.16	5.2	0.15	0.02	1.3
12/6/1990	1.17	0.17	5.4	0.2	0.03	0.3
12/7/1990	1.15	0.16	5.3	0.06	0	0.2
12/8/1990	1.11	0.16	5.1	0.02	0	0
12/9/1990	1.09	0.16	5.1	0	0	0
12/10/1990	1.09	0.16	5.1	0	0	0
12/11/1990	1.12	0.17	5.2	0.03	0.01	0.1
12/12/1990	1.1	0.16	5.1	0.01	0	0.3
12/13/1990	1.03	0.16	4.8	0	0	0
12/14/1990	1.08	0.16	5	0.05	0	0.2
12/15/1990	1.12	0.17	5.2	0.09	0.01	0
12/16/1990	1.13	0.17	5.2	0	0	0
12/17/1990	1.16	0.18	5.3	0.03	0.01	0.1
12/18/1990	1.15	0.18	5.3	0.02	0.01	0.2
12/19/1990	1.14	0.18	5.3	0.04	0	0.2
12/20/1990	1.1	0.18	5.1	0	0	0
12/21/1990	1.12	0.18	5.2	0.02	0	0.7
12/22/1990	1.08	0.18	5	0.11	0.02	0.5
12/23/1990	0.97	0.16	4.5	0	0	0
12/24/1990	0.97	0.16	4.5	0	0	0.1
12/25/1990	0.99	0.17	4.6	0.06	0.01	0.2
12/26/1990	0.95	0.16	4.4	0.02	0	0
12/27/1990	0.93	0.16	4.3	0	0	0
12/28/1990	0.97	0.17	4.5	0	0	0.2
12/29/1990	1.04	0.18	4.8	0.07	0.01	0.5
12/30/1990	1.02	0.18	4.7	0.05	0.01	0.1
12/31/1990	0.99	0.17	4.6	0.06	0.01	0
1/1/1991	1.02	0.18	4.9	0.09	0.02	0.3
1/2/1991	0.93	0.16	4.6	0	0	0.1
1/3/1991	0.88	0.15	4.5	0	0	0
1/4/1991	0.89	0.15	4.7	0.01	0	0.2
1/5/1991	0.9	0.15	4.9	0.02	0	0.2
1/6/1991	0.84	0.14	4.7	0.05	0.01	0
1/7/1991	0.81	0.14	4.7	0.02	0.01	0
1/8/1991	0.79	0.13	4.7	0	0	0
1/9/1991	0.78	0.13	4.8	0.02	0	0.1
1/10/1991	0.76	0.13	4.7	0	0	0
1/11/1991	0.77	0.13	4.7	0.01	0	0
1/12/1991	0.79	0.13	4.8	0	0	0.1
1/13/1991	0.8	0.13	4.8	0.01	0	0.1
1/14/1991	0.81	0.14	4.9	0.02	0.01	0
1/15/1991	0.82	0.14	4.9	0	0	0
1/16/1991	0.83	0.14	4.9	0.01	0	0
1/17/1991	0.83	0.14	4.9	0.01	0	0.1
1/18/1991	0.83	0.14	4.8	0	0	0
1/19/1991	0.86	0.14	4.9	0.03	0	0.1
1/20/1991	0.91	0.15	5.2	0.08	0.01	0.7
1/21/1991	0.88	0.15	5	0.08	0.02	0.5
1/22/1991	0.8	0.13	4.5	0	0	0
1/23/1991	0.89	0.15	5	0.09	0.02	0.9
1/24/1991	0.81	0.13	4.5	0.07	0.01	0.4
1/25/1991	0.74	0.12	4.1	0	0	0
1/26/1991	0.76	0.13	4.2	0.02	0.01	0
1/27/1991	0.82	0.14	4.5	0	0.01	0.3
1/28/1991	0.9	0.15	4.9	0.08	0.02	0.7
1/29/1991	0.82	0.13	4.4	0	0	0.1
1/30/1991	0.8	0.13	4.3	0	0	0
1/31/1991	0.81	0.13	4.3	0.01	0	0
2/1/1991	0.83	0.14	4.4	0.03	0.01	0
2/2/1991	0.89	0.15	4.7	0	0	0.3
2/3/1991	1.02	0.17	5.3	0.13	0.02	0.9
2/4/1991	1.09	0.18	5.6	0.2	0.03	0.1
2/5/1991	1.09	0.18	5.6	0.02	0	0.1
2/6/1991	1.07	0.18	5.5	0	0	0
2/7/1991	1.08	0.18	5.5	0.01	0	0
2/8/1991	1.14	0.19	5.7	0.05	0.01	0.2
2/9/1991	1.15	0.19	5.7	0.06	0.01	0.2
2/10/1991	1.09	0.18	5.4	0	0	0.5
2/11/1991	1.04	0.17	5.1	0.04	0.01	0.2
2/12/1991	1	0.16	4.9	0	0	0
2/13/1991	1.03	0.17	5	0.03	0.01	0.1
2/14/1991	1.04	0.17	5	0.05	0.01	0.1
2/15/1991	1.02	0.17	4.9	0.03	0.01	0
2/16/1991	0.99	0.16	4.7	0	0	0
2/17/1991	1.04	0.17	4.9	0	0	0.2
2/18/1991	1.04	0.17	4.9	0	0	0.2
2/19/1991	1.04	0.17	4.8	0	0	0
2/20/1991	1.1	0.18	5.1	0	0	0.3
2/21/1991	1.21	0.19	5.5	0.11	0.01	0.7
2/22/1991	1.3	0.21	5.9	0.2	0.03	0.9
2/23/1991	1.14	0.18	5.2	0.12	0.02	0.2
2/24/1991	1.12	0.18	5	0.1	0.02	0
2/25/1991	1.02	0.16	4.5	0	0	0
2/26/1991	1.05	0.16	4.6	0	0	0.1
2/27/1991	1.06	0.16	4.6	0.01	0	0.1
2/28/1991	1.06	0.16	4.6	0.01	0	0
3/1/1991	1.25	0.19	5.3	0	0	0.7
3/2/1991	1.77	0.97	7.5	0.52	0.78	2.9
3/3/1991	1.26	0.26	5.2	0.01	0.07	0.2
3/4/1991	1.22	0.23	5	0	0.03	0
3/5/1991	1.58	0.58	6.5	0.36	0.38	1.5
3/6/1991	2.25	0.2	9.2	1.03	0	3.4
3/7/1991	1.46	0.21	5.9	0	0	0.1
3/8/1991	1.46	0.21	5.8	0	0	0
3/9/1991	1.46	0.21	5.8	0	0	0
3/10/1991	1.51	0.21	5.9	0	0	0.1
3/11/1991	2.1	1.3	8.1	0.59	1.09	2.3
3/12/1991	1.83	0.25	7	0.32	0.04	1
3/13/1991	1.58	0.22	6	0	0	0
3/14/1991	1.69	0.23	6.4	0.11	0.01	0.4
3/15/1991	1.79	0.24	6.7	0.21	0.02	0.3
3/16/1991	1.73	0.23	6.4	0	0	0
3/17/1991	1.76	0.24	6.4	0.03	0.01	0
3/18/1991	1.94	0.26	7	0.21	0.03	0
3/19/1991	2.02	0.27	7.2	0	0	0.2
3/20/1991	2.11	0.28	7.5	0.09	0.01	0.5
3/21/1991	2.69	2.2	9.5	0.67	1.93	0
3/22/1991	12	5.2	12	8.79	4.79	2.5
3/23/1991	51.4	22	18	48.19	21.59	8.5
3/24/1991	3.21	0.41	11	0	0	1.9
3/25/1991	2.92	0.37	9.9	0.21	0.03	0.8
3/26/1991	2.71	0.34	9.1	0	0	0
3/27/1991	12	0.45	12	9.29	0.11	2.9
3/28/1991	2.93	5.2	9.7	0.44	4.9	0.6
3/29/1991	2.77	0.34	9.1	0.28	0.04	0
3/30/1991	2.49	0.3	8.1	0	0	0.4
3/31/1991	2.53	0.3	8.1	0.22	0.03	0.4
4/1/1991	2.43	0.29	7.7	0.12	0.02	0
4/2/1991	2.31	0.27	7.3	0	0	0.3
4/3/1991	2.31	0.27	7.2	0.05	0	0.2
4/4/1991	2.26	0.27	7	0	0	0
4/5/1991	2.27	0.28	6.7	0.01	0.01	0.3
4/6/1991	2.3	0.3	6.5	0	0	0.1
4/7/1991	2.37	0.33	6.4	0.07	0.03	0
4/8/1991	4.52	5.2	12	2.22	4.9	3.1
4/9/1991	6	0.63	9.9	2.32	0.01	1
4/10/1991	3.79	0.62	8.9	0.11	0	0
4/11/1991	3.68	0.64	8.2	0	0.02	0
4/12/1991	4.69	0.86	10	0	0	1.8
4/13/1991	5.03	0.98	10	0.34	0.12	1.8
4/14/1991	16	6.9	13	11.31	6.04	3.1
4/15/1991	6.34	1.38	12	0.82	0.09	2.1
4/16/1991	5.58	1.29	9.9	0.06	0	0
4/17/1991	5.52	1.34	9.4	0	0.05	0.2
4/18/1991	7.35	3.81	9.2	0	0.69	0
4/19/1991	24.91	8.92	13	17.56	5.8	3.8
4/20/1991	8.96	3.12	11	1.61	0	1.8
4/21/1991	6.64	2.08	9.2	0	0	0
4/22/1991	8.39	2.99	9.9	1.75	0.91	0.7
4/23/1991	11.45	5.25	11	4.81	3.17	3.9
4/24/1991	4.64	1.8	8.8	0	0.06	1.7
4/25/1991	4.91	1.74	7.1	0.27	0	0
4/26/1991	9.18	3.06	7.8	4.54	1.32	0
4/27/1991	26.8	11.5	15	17.57	8.34	7.2
4/28/1991	9.23	3.16	9	0	0	1.2
