DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1990	    6.10	    5.90	    5.90	    0.00
10/02/1990	    5.90	    5.90	    5.90	    5.90
10/03/1990	   11.00	    5.90	    5.90	    5.95
10/04/1990	    7.90	    6.70	    6.80	    6.00
10/05/1990	    6.80	    6.70	    6.70	    6.05
10/06/1990	    6.70	    6.70	    6.30	    6.10
10/07/1990	    6.30	    6.20	    6.20	    6.15
10/08/1990	    6.20	    6.20	    6.20	    6.20
10/09/1990	    6.30	    6.20	    6.20	    6.20
10/10/1990	    6.20	    5.90	    6.20	    6.20
10/11/1990	    6.20	    5.90	    5.90	    6.06
10/12/1990	    5.90	    5.90	    5.80	    5.90
10/13/1990	    5.80	    5.80	    5.80	    5.80
10/14/1990	    6.10	    5.80	    5.80	    5.85
10/15/1990	    5.90	    5.80	    5.90	    5.90
10/16/1990	    5.90	    5.90	    5.90	    5.90
10/17/1990	    5.90	    5.90	    5.90	    5.90
10/18/1990	    7.10	    5.90	    5.90	    6.06
10/19/1990	    6.50	    6.40	    6.40	    6.23
10/20/1990	    6.40	    6.40	    6.40	    6.40
10/21/1990	    7.20	    6.40	    6.40	    6.32
10/22/1990	    6.70	    6.10	    6.50	    6.25
10/23/1990	    6.50	    6.10	    6.10	    6.17
10/24/1990	    6.10	    6.10	    6.10	    6.10
10/25/1990	    6.10	    6.00	    6.00	    6.05
10/26/1990	    6.00	    6.00	    6.00	    6.00
10/27/1990	    6.00	    6.00	    6.00	    6.00
10/28/1990	    6.00	    6.00	    6.00	    6.00
10/29/1990	    6.00	    6.00	    6.00	    6.00
10/30/1990	    6.00	    6.00	    6.00	    6.00
10/31/1990	    6.00	    5.90	    5.90	    5.95
11/01/1990	    5.90	    5.90	    5.90	    5.90
11/02/1990	    6.00	    5.90	    5.90	    5.90
11/03/1990	    5.90	    5.90	    5.90	    5.90
11/04/1990	    6.20	    5.90	    5.90	    5.84
11/05/1990	    6.10	    5.90	    5.90	    5.78
11/06/1990	    5.90	    5.60	    5.80	    5.72
11/07/1990	    5.80	    5.60	    5.60	    5.66
11/08/1990	    5.60	    5.60	    5.60	    5.60
