storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,5,10/2/1990 23:45,10/3/1990 13:55,1,0.835,1.44,1.092,0.96,0.674,0.389,4.041,14.167,0.059,NA,0.046,0.068,82,43,62,0.82,0,0,P,0,0,1,,10/2/1990,10/6/1990,10,1990,8.8,16.78,3.36,7.16,7.96,1.59,3.8,5.42,1.08,3.67,4.75,0.95,11,38.3,7.66,5.1,6.4,1.28,0,0.84
2,3,10/17/1990 15:20,10/18/1990 8:45,1,0.331,0.12,0.096,0.096,0.088,0.076,0.146,17.417,0.019,NA,0.78,0.866,69,28,44,0.52,0,0,P,0,0,1,,10/17/1990,10/19/1990,10,1990,2.13,5.85,1.95,0.33,0.45,0.15,0.8,1.03,0.34,0.69,0.7,0.23,7.1,19.5,6.5,1.2,1.3,0.43,0,0.33
3,5,10/20/1990 16:30,10/21/1990 7:20,1,0.294,0.168,0.144,0.144,0.108,0.079,0.164,14.833,0.02,NA,0,0,64,30,47,0.39,0,0,P,0,0,1,,10/20/1990,10/24/1990,10,1990,2.08,9.31,1.86,0.23,0.46,0.09,0.84,1.28,0.26,0.73,0.75,0.15,7.2,32.9,6.58,0.8,1.8,0.36,0,0.29
4,6,,,,,,,,,,,,,,,,48,13,29,0.51,14,N,P,S,M,3,14.66%,12/3/1990,12/8/1990,12,1990,1.17,6.36,1.06,0.2,0.43,0.07,0.17,0.9,0.15,0.03,0.05,0.01,5.4,29.4,4.9,1.3,2.4,0.4,NA,NA
5,5,,,,,,,,,,,,,,,,40,11,27,0.55,4,N,P,S,M,3,19.87%,12/11/1990,12/15/1990,12,1990,1.12,5.46,1.09,0.09,0.18,0.04,0.17,0.82,0.16,0.01,0.02,0,5.2,25.3,5.06,0.3,0.6,0.12,NA,NA
6,4,,,,,,,,,,,,,,,,33,20,29,0.83,4,N,P,S,M,3,16.96%,12/16/1990,12/19/1990,12,1990,1.16,4.58,1.14,0.04,0.09,0.02,0.18,0.71,0.18,0.01,0.02,0,5.3,21.1,5.28,0.2,0.5,0.13,NA,NA
7,2,,,,,,,,,,,,,,,,8,-15,-1,0.06,1,N,P,S,M,3,20.12%,12/21/1990,12/22/1990,12,1990,1.12,2.2,1.1,0.11,0.13,0.07,0.18,0.35,0.18,0.02,0.02,0.01,5.2,10.2,5.1,0.7,1.2,0.6,NA,NA
8,5,,,,,,,,,,,,,,,,27,-7,9,0.06,1,U,P,S,M,3,22.87%,12/29/1990,1/2/1991,12,1990,1.04,5,1,0.09,0.27,0.05,0.18,0.87,0.17,0.02,0.05,0.01,4.9,23.6,4.72,0.5,1,0.2,NA,NA
9,4,,,,,,,,,,,,,,,,19,-10,6,0.29,2,U,P,S,M,3,22.29%,1/4/1991,1/7/1991,1,1991,0.9,3.45,0.86,0.05,0.1,0.03,0.15,0.59,0.15,0.01,0.02,0.01,4.9,19,4.75,0.2,0.4,0.1,NA,NA
10,3,,,,,,,,,,,,,,,,42,-5,22,0,0,2,0,0,M,5,26.69%,1/19/1991,1/21/1991,1,1991,0.91,2.65,0.88,0.08,0.19,0.06,0.15,0.44,0.15,0.02,0.03,0.01,5.2,15.1,5.03,0.7,1.3,0.43,0.53,0.53
11,2,,,,,,,,,,,,,,,,29,-8,10,0.03,0,N,P,0,M,3,23.81%,1/23/1991,1/24/1991,1,1991,0.89,1.7,0.85,0.09,0.16,0.08,0.15,0.28,0.14,0.02,0.03,0.02,5,9.5,4.75,0.9,1.3,0.65,NA,NA
12,4,,,,,,,,,,,,,,,,31,-1,15,0,0,N,0,0,M,7,24.65%,1/26/1991,1/29/1991,1,1991,0.9,3.31,0.83,0.08,0.1,0.03,0.15,0.55,0.14,0.02,0.04,0.01,4.9,18,4.5,0.7,1.1,0.28,NA,NA
13,15,,,,,,,,,,,,,,,,50,-6,29,0,0,8,0,0,M,5,27.44%,2/1/1991,2/15/1991,2,1991,1.15,15.58,1.04,0.2,0.65,0.04,0.19,2.55,0.17,0.03,0.12,0.01,5.7,78.3,5.22,0.9,2.7,0.18,2.2,2.2
14,5,,,,,,,,,,,,,,,,47,9,26,0.05,0,1,P,0,M,5,32.94%,2/20/1991,2/24/1991,2,1991,1.3,5.87,1.17,0.2,0.53,0.11,0.21,0.94,0.19,0.03,0.08,0.02,5.9,26.7,5.34,0.9,2.1,0.42,0.33,0.33
15,5,3/1/1991 0:55,3/2/1991 3:15,2,0.87,6.576,0.084,0.08,0.062,0.054,-8.91,26.333,0.033,NA,0,0,40,13,27,0.47,0,4,P,0,M,2,17.95%,2/28/1991,3/4/1991,2,1991,1.77,6.56,1.31,0.52,0.54,0.11,0.97,1.81,0.36,0.78,0.88,0.18,7.5,27.6,5.52,2.9,3.8,0.76,0.72,1.59
16,3,,,,,,,,,,,,,,,,53,10,33,0.1,0,U,P,0,M,3,10.00%,3/5/1991,3/7/1991,3,1991,2.25,5.3,1.77,1.03,1.39,0.46,0.58,0.99,0.33,0.38,0.38,0.13,9.2,21.6,7.2,3.4,5,1.67,NA,NA
17,2,3/8/1991 17:45,3/9/1991 1:00,1,0.362,3.96,1.98,1.32,0.66,0.33,2.433,7.25,0.05,NA,0,0.056,44,23,34,0,0,0,P,0,0,1,10.00%,3/8/1991,3/9/1991,3,1991,1.46,2.93,1.46,0,0,0,0.21,0.42,0.21,0,0,0,5.8,11.6,5.8,0,0,0,0,0.36
18,3,,,,,,,,,,,,,,,,47,24,38,0.03,0,Z,P,0,M,6,,3/10/1991,3/12/1991,3,1991,2.1,5.43,1.81,0.59,0.91,0.3,1.3,1.77,0.59,1.09,1.13,0.38,8.1,21,7,2.3,3.4,1.13,NA,NA
19,5,,,,,,,,,,,,,,,,49,26,38,0.04,0,U,P,0,M,3,,3/14/1991,3/18/1991,3,1991,1.94,8.91,1.78,0.21,0.56,0.11,0.26,1.2,0.24,0.03,0.07,0.01,7,32.9,6.58,0.4,0.7,0.14,NA,NA
20,6,3/20/1991 19:25,3/23/1991 14:35,2,1.361,0.432,0.396,0.36,0.312,0.301,2.385,67.167,0.02,NA,0.015,0.581,61,29,44,1.5,NA,0,P,0,0,1,,3/20/1991,3/25/1991,3,1991,51.4,74.33,12.39,48.19,57.95,9.66,22,30.45,5.08,21.59,28.35,4.73,18,67.9,11.32,8.5,14.2,2.37,0,1.36
21,3,3/27/1991 4:10,3/27/1991 17:40,1,0.515,0.48,0.468,0.408,0.332,0.216,1.037,13.5,0.038,NA,0.37,0.79,61,23,36,0.4,0,0,P,0,0,1,,3/27/1991,3/29/1991,3,1991,12,17.71,5.9,9.29,10.01,3.34,5.2,5.99,2,4.9,5.05,1.68,12,30.8,10.27,2.9,3.5,1.17,0,0.52
22,3,4/8/1991 7:00,4/8/1991 21:25,1,0.979,0.828,0.78,0.716,0.632,0.486,4.595,14.417,0.068,NA,0,0.06,70,29,46,NA,NA,0,P,0,0,1,,4/8/1991,4/10/1991,4,1991,6,14.31,4.77,2.32,4.65,1.55,5.2,6.45,2.15,4.9,4.91,1.64,12,30.8,10.27,3.1,4.1,1.37,0,0.98
