date	phot_tot	phos_storm	QGW_slide	QGW_locmin
10/01/1991	    5.36	    5.36	    5.36	    5.36
10/02/1991	    5.53	    5.36	    5.36	    5.53
10/03/1991	    5.53	    5.36	    5.53	    5.53
10/04/1991	   12.00	   12.00	    5.53	    5.48
10/05/1991	   27.00	   12.00	   12.00	    5.42
10/06/1991	   15.00	   12.00	    6.21	    5.37
10/07/1991	    6.21	    5.60	    5.74	    5.32
10/08/1991	    5.74	    5.60	    5.60	    5.27
10/09/1991	    5.60	    5.60	    5.17	    5.22
10/10/1991	    5.17	    5.17	    5.17	    5.17
10/11/1991	    5.27	    5.17	    5.17	    5.12
10/12/1991	    5.17	    5.17	    5.03	    5.08
10/13/1991	    5.03	    5.03	    5.03	    5.03
10/14/1991	    5.21	    5.03	    5.03	    4.96
10/15/1991	    5.32	    5.03	    4.99	    4.89
10/16/1991	    4.99	    4.74	    4.89	    4.83
10/17/1991	    4.89	    4.74	    4.74	    4.76
10/18/1991	    4.74	    4.74	    4.63	    4.69
10/19/1991	    4.63	    4.63	    4.63	    4.63
10/20/1991	    4.71	    4.63	    4.63	    4.66
10/21/1991	    4.89	    4.63	    4.71	    4.69
10/22/1991	    4.89	    4.76	    4.76	    4.73
10/23/1991	    4.76	    4.76	    4.76	    4.76
10/24/1991	    6.60	    4.76	    4.76	    4.96
10/25/1991	   19.00	   10.00	    6.60	    5.16
10/26/1991	   14.00	   10.00	   10.00	    5.37
10/27/1991	   10.00	   10.00	    5.82	    5.59
10/28/1991	    5.82	    5.43	    5.82	    5.82
10/29/1991	    7.23	    5.43	    5.43	    5.45
10/30/1991	    5.43	    5.43	    4.77	    5.10
10/31/1991	    4.77	    4.77	    4.77	    4.77
11/01/1991	  166.20	    4.77	    4.77	    4.29
11/02/1991	   31.73	    4.77	    4.15	    3.87
11/03/1991	    4.15	    2.82	    2.92	    3.48
11/04/1991	    2.92	    2.82	    2.82	    2.92
11/05/1991	    2.82	    2.82	    2.82	    2.82
11/06/1991	    2.82	    2.72	    2.82	    2.82
11/07/1991	    2.82	    2.72	    2.72	    2.77
11/08/1991	    2.72	    2.72	    2.72	    2.72
11/09/1991	    2.72	    2.72	    2.72	    2.72
11/10/1991	    2.72	    2.72	    2.72	    2.72
11/11/1991	    2.72	    2.72	    2.72	    2.72
11/12/1991	    2.83	    2.83	    2.72	    2.83
11/13/1991	    3.01	    2.83	    2.83	    3.01
11/14/1991	    6.60	    2.83	    3.01	    3.21
11/15/1991	   12.00	    3.78	    3.81	    3.39
11/16/1991	    3.81	    3.78	    3.78	    3.58
11/17/1991	    3.78	    3.78	    3.78	    3.78
11/18/1991	   69.00	   12.00	    3.78	    3.84
11/19/1991	   22.00	   12.00	   12.00	    3.89
11/20/1991	   12.00	   12.00	    4.33	    3.95
11/21/1991	    4.33	    4.07	    4.07	    4.01
11/22/1991	    4.07	    4.07	    4.07	    4.07
11/23/1991	    4.86	    4.07	    4.07	    4.19
11/24/1991	    5.05	    4.57	    4.67	    4.31
11/25/1991	    4.67	    4.57	    4.57	    4.44
11/26/1991	    4.57	    4.57	    4.57	    4.57
11/27/1991	    4.57	    4.57	    4.57	    4.57
11/28/1991	    4.86	    4.57	    4.57	    4.86
11/29/1991	   34.00	    4.57	    4.86	    5.64
11/30/1991	  143.00	   52.00	   34.00	    6.27
12/01/1991	  131.00	   52.00	   52.00	    6.96
12/02/1991	   52.00	   52.00	   21.52	    7.74
12/03/1991	   21.52	    9.55	    9.55	    8.60
12/04/1991	    9.55	    9.55	    9.55	    9.55
12/05/1991	    9.55	    9.55	    9.55	    9.55
12/06/1991	    9.91	    9.91	    9.55	    9.60
12/07/1991	   11.02	    9.91	    9.91	    9.65
12/08/1991	   13.59	    9.91	   11.02	    9.70
12/09/1991	   11.38	    9.86	    9.91	    9.76
12/10/1991	    9.91	    9.86	    9.86	    9.81
12/11/1991	    9.86	    9.86	    9.86	    9.86
12/12/1991	   79.00	   10.28	    9.86	    9.57
12/13/1991	   53.00	   10.28	   10.28	    9.29
12/14/1991	   10.28	   10.28	    9.55	    9.02
12/15/1991	    9.55	    8.26	    8.81	    8.76
12/16/1991	    8.81	    8.26	    8.26	    8.51
12/17/1991	    8.26	    8.26	    8.26	    8.26
12/18/1991	    8.26	    7.34	    7.71	    7.94
12/19/1991	    7.71	    7.34	    7.34	    7.64
12/20/1991	    7.34	    7.34	    6.98	    7.34
12/21/1991	    6.98	    6.79	    6.79	    6.98
12/22/1991	    6.79	    6.79	    6.79	    6.79
12/23/1991	    6.79	    6.79	    6.79	    6.79
12/24/1991	    6.79	    6.61	    6.61	    6.70
12/25/1991	    6.61	    6.61	    6.61	    6.61
12/26/1991	    6.61	    6.61	    6.61	    6.61
12/27/1991	    6.79	    6.79	    6.61	    6.57
12/28/1991	    7.07	    6.79	    6.79	    6.53
12/29/1991	    7.07	    6.79	    6.60	    6.49
12/30/1991	    6.60	    6.41	    6.41	    6.45
12/31/1991	    6.41	    6.41	    6.41	    6.41
01/01/1992	    6.41	    6.41	    6.41	    6.41
01/02/1992	    6.41	    6.41	    6.41	    6.41
01/03/1992	    6.55	    6.41	    6.41	    6.51
01/04/1992	    6.73	    6.41	    6.55	    6.62
01/05/1992	    6.73	    6.73	    6.73	    6.73
01/06/1992	    6.73	    6.73	    6.73	    6.73
01/07/1992	    6.73	    6.73	    6.73	    6.73
01/08/1992	   60.00	   24.46	    6.73	    9.08
01/09/1992	   79.00	   24.46	   24.46	   12.25
01/10/1992	   24.46	   24.46	   22.29	   16.52
01/11/1992	   22.29	   22.29	   22.29	   22.29
01/12/1992	   69.00	   22.29	   22.29	   21.45
01/13/1992	   59.00	   22.29	   24.62	   20.65
01/14/1992	   24.62	   18.47	   22.16	   19.88
01/15/1992	   22.16	   18.47	   18.47	   19.13
01/16/1992	   18.47	   18.47	   17.65	   18.41
01/17/1992	   17.65	   16.42	   16.83	   17.65
01/18/1992	   16.83	   16.42	   16.42	   16.83
01/19/1992	   16.42	   16.42	   16.42	   16.42
01/20/1992	   16.42	   16.42	   16.42	   16.42
01/21/1992	   18.47	   16.42	   16.42	   16.33
01/22/1992	  130.25	   16.42	   18.47	   16.23
01/23/1992	  294.78	   28.73	   98.37	   16.14
01/24/1992	   98.37	   28.73	   28.73	   16.05
01/25/1992	   28.73	   28.73	   18.47	   15.96
01/26/1992	   18.47	   16.42	   17.65	   15.87
01/27/1992	   17.65	   16.42	   16.42	   15.78
01/28/1992	   16.42	   16.42	   15.60	   15.69
01/29/1992	   15.60	   15.60	   15.60	   15.60
01/30/1992	   15.60	   15.60	   15.60	   15.60
01/31/1992	   16.42	   15.60	   15.60	   15.11
02/01/1992	   26.27	   26.27	   16.42	   14.63
02/02/1992	   49.25	   26.27	   26.27	   14.16
02/03/1992	  211.36	   26.27	   49.25	   13.71
02/04/1992	   95.96	   20.74	   29.32	   13.28
02/05/1992	   29.32	   20.74	   20.74	   12.86
02/06/1992	   20.74	   20.74	   16.09	   12.45
02/07/1992	   16.09	   11.37	   13.02	   12.05
02/08/1992	   13.02	   11.37	   11.37	   11.67
02/09/1992	   11.37	   11.37	   10.79	   11.30
02/10/1992	   10.79	   10.21	   10.50	   10.79
02/11/1992	   10.50	   10.21	   10.21	   10.50
02/12/1992	   10.21	   10.21	    9.91	   10.21
02/13/1992	    9.91	    9.62	    9.62	    9.91
02/14/1992	    9.62	    9.62	    9.62	    9.62
02/15/1992	    9.91	    9.62	    9.62	    9.73
02/16/1992	    9.84	    9.84	    9.84	    9.84
02/17/1992	   11.00	    9.84	    9.84	   11.00
02/18/1992	   29.00	    9.84	   11.00	   29.00
02/19/1992	   36.00	   36.00	   29.00	   36.00
02/20/1992	 1374.45	   36.00	   36.00	  152.42
02/21/1992	  302.37	   36.00	  302.37	  302.37
02/22/1992	  562.29	  562.29	  302.37	  240.03
02/23/1992	  575.79	  562.29	  562.29	  190.55
02/24/1992	  624.00	  562.29	  124.00	  151.26
02/25/1992	  124.00	   17.90	   19.52	  120.08
02/26/1992	   19.52	   17.90	   17.90	   19.52
02/27/1992	   17.90	   17.90	   15.70	   17.90
02/28/1992	   15.70	   11.14	   12.24	   15.70
02/29/1992	   12.24	   11.14	   11.14	   12.24
03/01/1992	   11.14	   11.14	   10.90	   11.14
03/02/1992	   10.90	    9.29	    9.89	   10.90
03/03/1992	    9.89	    9.29	    9.29	    9.89
03/04/1992	    9.29	    9.29	    8.76	    9.29
03/05/1992	    8.76	    8.14	    8.57	    8.76
03/06/1992	    8.57	    8.14	    8.14	    8.57
