DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1991	    3.10	    3.10	    3.10	    0.00
10/02/1991	    3.20	    3.10	    3.10	    0.00
10/03/1991	    3.20	    3.10	    3.20	    3.20
10/04/1991	    4.90	    4.90	    3.20	    3.17
10/05/1991	    6.80	    4.90	    4.90	    3.14
10/06/1991	    5.30	    4.90	    3.60	    3.11
10/07/1991	    3.60	    3.20	    3.30	    3.08
10/08/1991	    3.30	    3.20	    3.20	    3.06
10/09/1991	    3.20	    3.20	    3.00	    3.03
10/10/1991	    3.00	    3.00	    3.00	    3.00
10/11/1991	    3.10	    3.00	    3.00	    2.97
10/12/1991	    3.00	    3.00	    2.90	    2.93
10/13/1991	    2.90	    2.90	    2.90	    2.90
10/14/1991	    3.00	    2.90	    2.90	    2.86
10/15/1991	    3.10	    2.90	    2.90	    2.82
10/16/1991	    2.90	    2.70	    2.80	    2.78
10/17/1991	    2.80	    2.70	    2.70	    2.74
10/18/1991	    2.70	    2.70	    2.70	    2.70
10/19/1991	    2.70	    2.70	    2.70	    2.70
10/20/1991	    2.70	    2.70	    2.70	    2.70
10/21/1991	    2.80	    2.70	    2.70	    2.75
10/22/1991	    2.80	    2.80	    2.80	    2.80
10/23/1991	    2.80	    2.80	    2.80	    2.80
10/24/1991	    3.80	    2.80	    2.80	    2.91
10/25/1991	    5.80	    4.50	    3.80	    3.03
10/26/1991	    5.20	    4.50	    4.50	    3.15
10/27/1991	    4.50	    4.50	    3.40	    3.27
10/28/1991	    3.40	    3.10	    3.40	    3.40
10/29/1991	    4.20	    3.10	    3.10	    3.19
10/30/1991	    3.10	    3.10	    2.80	    2.99
10/31/1991	    2.80	    2.80	    2.80	    2.80
11/01/1991	   13.00	    2.80	    2.80	    2.82
11/02/1991	    7.80	    2.80	    4.30	    2.84
11/03/1991	    4.30	    2.90	    3.00	    2.86
11/04/1991	    3.00	    2.90	    2.90	    2.88
11/05/1991	    2.90	    2.90	    2.90	    2.90
11/06/1991	    2.90	    2.80	    2.90	    2.90
11/07/1991	    2.90	    2.80	    2.80	    2.85
11/08/1991	    2.80	    2.80	    2.80	    2.80
11/09/1991	    2.80	    2.80	    2.80	    2.80
11/10/1991	    2.80	    2.80	    2.80	    2.80
11/11/1991	    2.80	    2.80	    2.80	    2.80
11/12/1991	    2.90	    2.90	    2.80	    2.90
11/13/1991	    3.10	    2.90	    2.90	    3.10
11/14/1991	    3.80	    2.90	    3.10	    3.42
11/15/1991	    4.90	    3.90	    3.80	    3.65
11/16/1991	    3.90	    3.90	    3.90	    3.90
11/17/1991	    3.90	    3.90	    3.90	    3.90
11/18/1991	    9.90	    4.90	    3.90	    3.96
11/19/1991	    6.20	    4.90	    4.90	    4.02
11/20/1991	    4.90	    4.90	    4.40	    4.08
11/21/1991	    4.40	    4.20	    4.20	    4.14
11/22/1991	    4.20	    4.20	    4.20	    4.20
11/23/1991	    5.00	    4.20	    4.20	    4.32
11/24/1991	    5.20	    4.70	    4.80	    4.44
11/25/1991	    4.80	    4.70	    4.70	    4.57
11/26/1991	    4.70	    4.70	    4.70	    4.70
11/27/1991	    4.70	    4.70	    4.70	    4.70
