date	solids_tot	solids_storm	QGW_slide	QGW_locmin
10/01/1991	    0.03	    0.03	    0.03	    0.03
10/02/1991	    0.04	    0.03	    0.03	    0.04
10/03/1991	    0.04	    0.03	    0.04	    0.04
10/04/1991	    0.25	    0.25	    0.04	    0.04
10/05/1991	    0.70	    0.25	    0.25	    0.04
10/06/1991	    0.32	    0.25	    0.04	    0.04
10/07/1991	    0.04	    0.04	    0.04	    0.04
10/08/1991	    0.04	    0.04	    0.04	    0.04
10/09/1991	    0.04	    0.04	    0.04	    0.04
10/10/1991	    0.04	    0.04	    0.04	    0.04
10/11/1991	    0.04	    0.04	    0.04	    0.04
10/12/1991	    0.04	    0.04	    0.03	    0.03
10/13/1991	    0.03	    0.03	    0.03	    0.03
10/14/1991	    0.04	    0.03	    0.03	    0.03
10/15/1991	    0.04	    0.03	    0.04	    0.04
10/16/1991	    0.04	    0.03	    0.03	    0.03
10/17/1991	    0.03	    0.03	    0.03	    0.03
10/18/1991	    0.03	    0.03	    0.03	    0.03
10/19/1991	    0.03	    0.03	    0.03	    0.03
10/20/1991	    0.03	    0.03	    0.03	    0.03
10/21/1991	    0.04	    0.03	    0.03	    0.03
10/22/1991	    0.04	    0.04	    0.04	    0.04
10/23/1991	    0.04	    0.04	    0.04	    0.04
10/24/1991	    0.11	    0.04	    0.04	    0.04
10/25/1991	    0.42	    0.19	    0.11	    0.04
10/26/1991	    0.30	    0.19	    0.19	    0.04
10/27/1991	    0.19	    0.19	    0.04	    0.04
10/28/1991	    0.04	    0.04	    0.04	    0.04
10/29/1991	    0.06	    0.04	    0.04	    0.04
10/30/1991	    0.04	    0.04	    0.04	    0.04
10/31/1991	    0.04	    0.04	    0.04	    0.04
11/01/1991	    6.08	    0.04	    0.04	    0.05
11/02/1991	    1.08	    0.04	    0.12	    0.06
11/03/1991	    0.12	    0.09	    0.09	    0.07
11/04/1991	    0.09	    0.09	    0.09	    0.09
11/05/1991	    0.09	    0.09	    0.09	    0.09
11/06/1991	    0.09	    0.09	    0.09	    0.09
11/07/1991	    0.09	    0.09	    0.09	    0.09
11/08/1991	    0.09	    0.09	    0.09	    0.09
11/09/1991	    0.09	    0.09	    0.09	    0.09
11/10/1991	    0.09	    0.09	    0.09	    0.09
11/11/1991	    0.09	    0.09	    0.09	    0.09
11/12/1991	    0.09	    0.09	    0.09	    0.09
11/13/1991	    0.09	    0.09	    0.09	    0.09
11/14/1991	    0.11	    0.09	    0.09	    0.09
11/15/1991	    0.25	    0.11	    0.11	    0.10
11/16/1991	    0.12	    0.11	    0.11	    0.10
11/17/1991	    0.11	    0.11	    0.11	    0.11
11/18/1991	    2.30	    0.25	    0.11	    0.11
11/19/1991	    0.52	    0.25	    0.25	    0.11
11/20/1991	    0.25	    0.25	    0.13	    0.12
11/21/1991	    0.13	    0.12	    0.12	    0.12
11/22/1991	    0.12	    0.12	    0.12	    0.12
11/23/1991	    0.14	    0.12	    0.12	    0.12
11/24/1991	    0.14	    0.13	    0.13	    0.13
11/25/1991	    0.13	    0.13	    0.13	    0.13
11/26/1991	    0.13	    0.13	    0.13	    0.13
11/27/1991	    0.13	    0.13	    0.13	    0.13
11/28/1991	    0.13	    0.13	    0.13	    0.13
11/29/1991	    1.30	    0.13	    0.13	    0.14
11/30/1991	   12.20	    2.50	    1.30	    0.15
12/01/1991	   10.70	    2.50	    2.50	    0.16
12/02/1991	    2.50	    2.50	    0.92	    0.17
12/03/1991	    0.92	    0.20	    0.20	    0.19
12/04/1991	    0.20	    0.20	    0.20	    0.20
12/05/1991	    0.20	    0.20	    0.20	    0.20
12/06/1991	    0.22	    0.22	    0.20	    0.21
12/07/1991	    0.25	    0.22	    0.22	    0.21
12/08/1991	    0.32	    0.22	    0.25	    0.22
12/09/1991	    0.28	    0.24	    0.25	    0.23
12/10/1991	    0.25	    0.24	    0.24	    0.23
12/11/1991	    0.24	    0.24	    0.24	    0.24
12/12/1991	    4.80	    0.25	    0.24	    0.23
12/13/1991	    2.60	    0.25	    0.25	    0.23
12/14/1991	    0.25	    0.25	    0.23	    0.22
12/15/1991	    0.23	    0.20	    0.21	    0.21
12/16/1991	    0.21	    0.20	    0.20	    0.21
12/17/1991	    0.20	    0.20	    0.20	    0.20
12/18/1991	    0.20	    0.17	    0.18	    0.19
12/19/1991	    0.18	    0.17	    0.17	    0.18
12/20/1991	    0.17	    0.17	    0.16	    0.17
12/21/1991	    0.16	    0.16	    0.16	    0.16
12/22/1991	    0.16	    0.16	    0.16	    0.16
12/23/1991	    0.16	    0.16	    0.15	    0.15
12/24/1991	    0.15	    0.15	    0.15	    0.15
12/25/1991	    0.15	    0.15	    0.15	    0.15
12/26/1991	    0.15	    0.15	    0.15	    0.15
12/27/1991	    0.15	    0.15	    0.15	    0.15
12/28/1991	    0.16	    0.15	    0.15	    0.15
12/29/1991	    0.15	    0.15	    0.14	    0.14
12/30/1991	    0.14	    0.14	    0.14	    0.14
12/31/1991	    0.14	    0.14	    0.14	    0.14
01/01/1992	    0.14	    0.14	    0.14	    0.14
01/02/1992	    0.14	    0.14	    0.14	    0.14
01/03/1992	    0.14	    0.14	    0.14	    0.14
01/04/1992	    0.14	    0.14	    0.14	    0.14
01/05/1992	    0.14	    0.14	    0.14	    0.14
01/06/1992	    0.14	    0.14	    0.14	    0.14
01/07/1992	    0.14	    0.14	    0.14	    0.14
01/08/1992	    3.20	    0.55	    0.14	    0.20
01/09/1992	    4.80	    0.55	    0.55	    0.27
01/10/1992	    0.55	    0.55	    0.53	    0.38
01/11/1992	    0.53	    0.53	    0.53	    0.53
01/12/1992	    4.00	    0.53	    0.53	    0.51
01/13/1992	    2.90	    0.53	    0.66	    0.49
01/14/1992	    0.66	    0.47	    0.58	    0.47
01/15/1992	    0.58	    0.47	    0.47	    0.46
01/16/1992	    0.47	    0.47	    0.44	    0.44
01/17/1992	    0.44	    0.39	    0.41	    0.42
01/18/1992	    0.41	    0.39	    0.39	    0.41
01/19/1992	    0.39	    0.39	    0.38	    0.39
01/20/1992	    0.38	    0.38	    0.38	    0.38
01/21/1992	    0.42	    0.38	    0.38	    0.38
01/22/1992	   17.79	    0.38	    0.42	    0.37
01/23/1992	   31.84	    0.64	    4.03	    0.37
01/24/1992	    4.03	    0.64	    0.64	    0.36
01/25/1992	    0.64	    0.64	    0.41	    0.36
01/26/1992	    0.41	    0.36	    0.39	    0.35
01/27/1992	    0.39	    0.36	    0.36	    0.35
01/28/1992	    0.36	    0.36	    0.34	    0.34
01/29/1992	    0.34	    0.34	    0.34	    0.34
01/30/1992	    0.34	    0.34	    0.34	    0.34
01/31/1992	    0.36	    0.34	    0.34	    0.31
02/01/1992	    0.58	    0.58	    0.36	    0.29
02/02/1992	    1.09	    0.58	    0.58	    0.27
02/03/1992	   30.16	    0.58	    1.09	    0.25
02/04/1992	   10.80	    0.79	    1.72	    0.23
02/05/1992	    1.72	    0.79	    0.79	    0.21
02/06/1992	    0.79	    0.79	    0.40	    0.19
02/07/1992	    0.40	    0.15	    0.21	    0.18
02/08/1992	    0.21	    0.15	    0.15	    0.16
02/09/1992	    0.15	    0.15	    0.14	    0.15
02/10/1992	    0.14	    0.14	    0.14	    0.14
02/11/1992	    0.14	    0.14	    0.14	    0.14
02/12/1992	    0.14	    0.14	    0.14	    0.14
02/13/1992	    0.14	    0.14	    0.14	    0.14
02/14/1992	    0.14	    0.14	    0.14	    0.14
02/15/1992	    0.15	    0.14	    0.14	    0.14
02/16/1992	    0.15	    0.15	    0.15	    0.15
02/17/1992	    0.16	    0.15	    0.15	    0.16
02/18/1992	    0.78	    0.15	    0.16	    0.78
02/19/1992	    1.10	    1.10	    0.78	    1.10
02/20/1992	  341.32	    1.10	    1.10	    6.40
02/21/1992	   16.35	    1.10	   16.35	   16.35
02/22/1992	   88.46	   63.57	   16.35	   32.24
02/23/1992	   63.57	   63.57	   63.57	   63.57
02/24/1992	   86.00	   63.57	    7.20	   27.50
02/25/1992	    7.20	    0.25	    0.26	    7.20
02/26/1992	    0.26	    0.25	    0.25	    0.26
02/27/1992	    0.25	    0.25	    0.23	    0.25
02/28/1992	    0.23	    0.18	    0.19	    0.23
02/29/1992	    0.19	    0.18	    0.18	    0.19
03/01/1992	    0.18	    0.18	    0.18	    0.18
03/02/1992	    0.18	    0.17	    0.17	    0.17
03/03/1992	    0.17	    0.17	    0.17	    0.17
03/04/1992	    0.17	    0.17	    0.16	    0.16
03/05/1992	    0.16	    0.16	    0.16	    0.16
03/06/1992	    0.17	    0.16	    0.16	    0.16
03/07/1992	    0.17	    0.16	    0.16	    0.16
03/08/1992	    0.16	    0.15	    0.16	    0.16
03/09/1992	    1.20	    0.15	    0.15	    0.15
03/10/1992	    0.15	    0.15	    0.14	    0.14
03/11/1992	    0.14	    0.12	    0.13	    0.13
03/12/1992	    0.13	    0.12	    0.12	    0.13
03/13/1992	    0.12	    0.12	    0.12	    0.12
03/14/1992	    0.12	    0.10	    0.11	    0.11
03/15/1992	    0.11	    0.10	    0.10	    0.11
03/16/1992	    0.10	    0.10	    0.10	    0.10
03/17/1992	    0.10	    0.09	    0.09	    0.09
03/18/1992	    0.09	    0.09	    0.09	    0.09
03/19/1992	    0.09	    0.09	    0.08	    0.08
03/20/1992	    0.08	    0.08	    0.08	    0.08
03/21/1992	    0.08	    0.08	    0.08	    0.08
03/22/1992	    0.08	    0.08	    0.08	    0.08
03/23/1992	    0.08	    0.07	    0.08	    0.08
03/24/1992	    0.08	    0.07	    0.07	    0.07
03/25/1992	    0.07	    0.07	    0.06	    0.06
03/26/1992	    0.06	    0.05	    0.05	    0.06
03/27/1992	    0.05	    0.05	    0.05	    0.05
03/28/1992	    0.05	    0.05	    0.05	    0.05
03/29/1992	    0.05	    0.05	    0.05	    0.05
03/30/1992	    0.05	    0.05	    0.05	    0.05
03/31/1992	    0.05	    0.05	    0.04	    0.04
04/01/1992	    0.04	    0.04	    0.04	    0.04
04/02/1992	    0.04	    0.04	    0.04	    0.04
04/03/1992	    0.04	    0.04	    0.04	    0.04
04/04/1992	    0.04	    0.03	    0.03	    0.03
04/05/1992	    0.03	    0.03	    0.03	    0.03
04/06/1992	    0.03	    0.03	    0.03	    0.03
04/07/1992	    0.03	    0.03	    0.03	    0.03
04/08/1992	    0.03	    0.03	    0.03	    0.03
04/09/1992	    0.03	    0.03	    0.03	    0.03
04/10/1992	    0.03	    0.02	    0.03	    0.03
04/11/1992	    0.03	    0.02	    0.02	    0.02
04/12/1992	    0.02	    0.02	    0.02	    0.02
04/13/1992	    0.03	    0.03	    0.02	    0.02
04/14/1992	    0.03	    0.03	    0.03	    0.03
04/15/1992	    0.16	    0.03	    0.03	    0.04
04/16/1992	    0.80	    0.10	    0.13	    0.05
04/17/1992	    0.13	    0.10	    0.10	    0.07
04/18/1992	    0.10	    0.10	    0.10	    0.10
04/19/1992	    0.60	    0.60	    0.10	    0.11
04/20/1992	   12.99	    0.60	    0.60	    0.12
04/21/1992	    5.53	    0.60	    0.68	    0.14
04/22/1992	    0.68	    0.36	    0.37	    0.16
04/23/1992	    0.37	    0.36	    0.36	    0.17
04/24/1992	    0.36	    0.36	    0.34	    0.19
04/25/1992	    0.34	    0.32	    0.33	    0.22
04/26/1992	    0.33	    0.32	    0.32	    0.24
04/27/1992	    0.32	    0.32	    0.30	    0.27
04/28/1992	    0.30	    0.30	    0.30	    0.30
04/29/1992	    0.31	    0.30	    0.30	    0.26
04/30/1992	    0.30	    0.30	    0.25	    0.23
05/01/1992	    0.25	    0.17	    0.21	    0.20
05/02/1992	    0.21	    0.17	    0.17	    0.17
05/03/1992	    0.17	    0.17	    0.14	    0.15
05/04/1992	    0.14	    0.11	    0.13	    0.13
05/05/1992	    0.13	    0.11	    0.11	    0.11
05/06/1992	    0.11	    0.11	    0.09	    0.10
05/07/1992	    0.09	    0.07	    0.08	    0.09
05/08/1992	    0.08	    0.07	    0.07	    0.08
05/09/1992	    0.07	    0.07	    0.06	    0.07
05/10/1992	    0.06	    0.05	    0.05	    0.06
05/11/1992	    0.05	    0.05	    0.05	    0.05
05/12/1992	    0.05	    0.05	    0.04	    0.04
05/13/1992	    0.04	    0.03	    0.03	    0.04
05/14/1992	    0.03	    0.03	    0.03	    0.03
05/15/1992	    0.04	    0.03	    0.03	    0.03
05/16/1992	    0.04	    0.04	    0.04	    0.04
05/17/1992	    0.06	    0.04	    0.04	    0.04
05/18/1992	    0.05	    0.04	    0.05	    0.05
05/19/1992	    0.05	    0.05	    0.05	    0.05
05/20/1992	    0.05	    0.05	    0.05	    0.05
05/21/1992	    0.06	    0.05	    0.05	    0.06
05/22/1992	    0.08	    0.08	    0.06	    0.06
05/23/1992	    0.09	    0.08	    0.08	    0.07
05/24/1992	    0.08	    0.08	    0.08	    0.08
05/25/1992	    0.09	    0.09	    0.08	    0.08
05/26/1992	    0.10	    0.09	    0.09	    0.08
05/27/1992	    0.10	    0.09	    0.08	    0.08
05/28/1992	    0.08	    0.07	    0.08	    0.08
05/29/1992	    0.08	    0.07	    0.07	    0.07
05/30/1992	    0.07	    0.07	    0.06	    0.07
05/31/1992	    0.06	    0.06	    0.06	    0.06
06/01/1992	    0.06	    0.06	    0.06	    0.06
06/02/1992	    0.06	    0.06	    0.05	    0.05
06/03/1992	    0.05	    0.05	    0.05	    0.05
06/04/1992	    0.05	    0.05	    0.05	    0.05
06/05/1992	    0.05	    0.05	    0.05	    0.05
06/06/1992	    0.05	    0.04	    0.05	    0.05
06/07/1992	    0.05	    0.04	    0.04	    0.04
06/08/1992	    0.04	    0.04	    0.04	    0.04
06/09/1992	    0.04	    0.04	    0.04	    0.04
06/10/1992	    0.04	    0.04	    0.04	    0.04
06/11/1992	    0.04	    0.04	    0.04	    0.04
06/12/1992	    0.04	    0.03	    0.04	    0.04
06/13/1992	    0.04	    0.03	    0.03	    0.03
06/14/1992	    0.03	    0.03	    0.03	    0.03
06/15/1992	    0.03	    0.03	    0.03	    0.03
06/16/1992	    0.04	    0.03	    0.03	    0.03
06/17/1992	    0.04	    0.03	    0.03	    0.03
06/18/1992	    0.03	    0.03	    0.03	    0.03
06/19/1992	    0.03	    0.03	    0.03	    0.03
06/20/1992	    0.04	    0.03	    0.03	    0.03
06/21/1992	    0.03	    0.03	    0.03	    0.03
06/22/1992	    0.03	    0.03	    0.03	    0.03
06/23/1992	    0.04	    0.03	    0.03	    0.03
06/24/1992	    0.05	    0.04	    0.04	    0.03
06/25/1992	    0.05	    0.04	    0.04	    0.04
06/26/1992	    0.04	    0.04	    0.04	    0.04
06/27/1992	    0.04	    0.04	    0.04	    0.04
06/28/1992	    0.04	    0.04	    0.04	    0.04
06/29/1992	    0.05	    0.04	    0.04	    0.04
06/30/1992	    0.05	    0.05	    0.05	    0.05
07/01/1992	    0.05	    0.05	    0.05	    0.05
07/02/1992	    0.09	    0.05	    0.05	    0.05
07/03/1992	    0.06	    0.05	    0.05	    0.05
07/04/1992	    0.05	    0.05	    0.05	    0.05
07/05/1992	    0.05	    0.05	    0.05	    0.05
07/06/1992	    0.05	    0.05	    0.05	    0.05
07/07/1992	    0.12	    0.05	    0.05	    0.05
07/08/1992	    0.15	    0.05	    0.06	    0.05
07/09/1992	    0.06	    0.05	    0.05	    0.05
07/10/1992	    0.05	    0.05	    0.05	    0.05
07/11/1992	    0.05	    0.05	    0.05	    0.05
07/12/1992	    0.21	    0.21	    0.05	    0.05
07/13/1992	    0.56	    0.21	    0.21	    0.05
07/14/1992	    0.25	    0.21	    0.07	    0.04
07/15/1992	    0.07	    0.04	    0.04	    0.04
07/16/1992	    0.04	    0.04	    0.04	    0.04
07/17/1992	    0.04	    0.04	    0.04	    0.04
07/18/1992	    0.04	    0.04	    0.04	    0.04
07/19/1992	    0.04	    0.04	    0.04	    0.04
07/20/1992	    0.04	    0.04	    0.03	    0.03
07/21/1992	    0.03	    0.03	    0.03	    0.03
