storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,1,10/3/91 17:05,10/3/91 22:10,1,0.29,0.36,0.3,0.24,0.22,0.15,0.422,5.083,0.057,0,0.03,0.03,59,45,52,0.04,0,0,P,,,1,,10/3/91,10/3/91,10,1991,5.53,5.53,5.53,0.17,0.17,0.17,0.04,0.04,0.04,0.01,0.01,0.01,3.2,3.2,3.2,0.1,0.2,0.1,0,0.29
2,5,10/4/91 7:00,10/5/91 6:10,2,1.04,0.36,0.3,0.28,0.24,0.16,1.331,23.167,0.045,0.29,0.32,0.32,76,30,49,1.01,0,0,P,,,1,,10/4/91,10/8/91,10,1991,27,65.95,13.19,15,18.75,3.75,0.7,1.35,0.27,0.45,0.52,0.1,6.8,23.9,4.78,1.9,2.8,0.56,0,1.04
3,3,10/24/91 3:25,10/26/91 8:25,2,1.63,1.56,0.96,0.84,0.76,0.46,7.985,53,0.031,0,0,0.12,69,43,51,1.7,0,0,P,,,1,,10/24/91,10/26/91,10,1991,19,39.6,13.2,9,14.84,4.95,0.42,0.83,0.28,0.23,0.41,0.14,5.8,14.8,4.93,1.3,3,1,0,1.63
4,1,10/29/91 0:10,10/29/91 11:15,1,0.2,0.6,0.36,0.28,0.2,0.14,0.272,11.083,0.018,0.17,0.7,1.8,66,31,49,0.23,0,0,P,,,1,,10/29/91,10/29/91,10,1991,7.23,7.23,7.23,1.8,1.8,1.8,0.06,0.06,0.06,0.02,0.02,0.02,4.2,4.2,4.2,1.1,1.4,0.7,0,0.2
5,5,10/31/91 10:30,11/1/91 16:30,1,1.51,0.6,0.54,0.48,0.4,0.32,4.124,30,0.05,0,0.37,0.38,56,7,26,1.41,NA,U,P,S,M,2,,10/31/91,11/4/91,10,1991,166.2,209.77,41.95,161.43,189.82,37.96,6.08,7.41,1.48,6.04,7.11,1.42,13,30.9,6.18,10.2,16.7,3.34,NA,NA
6,2,,,,,,,,,,,,,,,,27,0,14,0.07,0.5,U,P,S,M,3,,11/6/91,11/7/91,11,1991,2.82,5.64,2.82,0.1,0.2,0.1,0.09,0.18,0.09,0,0,0,2.9,5.8,2.9,0.1,0.2,0.1,NA,NA
7,3,11/14/91 10:50,11/15/91 5:20,1,0.28,0.24,0.18,0.16,0.1,0.07,0.175,18.5,0.015,0,0,0,54,30,42,0.21,0,0,P,,,1,,11/14/91,11/16/91,11,1991,12,22.41,7.47,8.22,12.02,4.01,0.25,0.48,0.16,0.14,0.17,0.06,4.9,12.6,4.2,1,1.9,0.63,0,0.28
8,3,11/17/91 11:20,11/18/91 1:25,1,0.92,0.49,0.4,0.36,0.29,0.23,1.703,14.083,0.065,0,0.23,0.28,56,34,44,0.78,0,0,P,,,1,,11/17/91,11/19/91,11,1991,69,94.78,31.59,57,67,22.33,2.3,2.93,0.98,2.05,2.32,0.77,9.9,20,6.67,5,6.3,2.1,0,0.92
9,3,,,,,,,,,,,,,,,,33,4,17,0.77,6,1,P,S,M,3,,11/23/91,11/25/91,11,1991,5.05,14.58,4.86,0.79,1.37,0.46,0.14,0.41,0.14,0.02,0.03,0.01,5.2,15,5,0.8,1.4,0.47,NA,NA
10,3,11/29/91 11:20,11/29/91 23:30,1,0.83,0.95,0.74,0.52,0.33,0.22,1.725,12.167,0.068,0,0.02,0.02,54,9,30,0.59,1,5,P,S,M,2,,11/29/91,12/1/91,11,1991,143,308,102.67,91,199.43,66.48,12.2,24.2,8.07,9.7,19.07,6.36,18,41.8,13.93,9,19.1,6.37,NA,NA
