DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1990	    6.13	    6.05	    6.05	    6.13
10/02/1990	    6.05	    6.05	    6.05	    6.05
10/03/1990	    8.20	    6.05	    6.05	    6.46
10/04/1990	    7.97	    6.05	    6.05	    6.46
10/05/1990	    7.19	    6.05	    6.50	    6.46
10/06/1990	    6.89	    6.46	    6.46	    6.46
10/07/1990	    6.50	    6.46	    6.46	    6.46
10/08/1990	    6.46	    6.46	    6.46	    6.46
10/09/1990	    6.89	    6.46	    6.46	    6.51
10/10/1990	    7.13	    6.46	    6.46	    6.56
10/11/1990	    7.25	    6.80	    6.89	    6.61
10/12/1990	    7.21	    6.80	    7.13	    6.65
10/13/1990	    7.23	    6.80	    6.80	    6.70
10/14/1990	    7.44	    6.80	    6.80	    6.75
10/15/1990	    6.80	    6.80	    6.80	    6.80
10/16/1990	    6.98	    6.98	    6.80	    6.84
10/17/1990	    7.05	    6.98	    6.80	    6.88
10/18/1990	    9.01	    6.98	    6.98	    6.92
10/19/1990	    7.98	    6.98	    7.05	    6.96
10/20/1990	    8.65	    6.98	    7.98	    7.00
10/21/1990	   10.89	    7.20	    7.72	    7.04
10/22/1990	    8.57	    7.20	    7.37	    7.08
10/23/1990	    7.72	    7.20	    7.20	    7.12
10/24/1990	    7.37	    7.20	    7.20	    7.16
10/25/1990	    7.20	    7.20	    7.20	    7.20
10/26/1990	    7.28	    7.27	    7.20	    7.22
10/27/1990	    7.41	    7.27	    7.20	    7.24
10/28/1990	    7.27	    7.27	    7.27	    7.27
10/29/1990	    7.52	    7.27	    7.27	    7.27
10/30/1990	    7.82	    7.27	    7.27	    7.27
10/31/1990	    7.86	    7.86	    7.52	    7.27
11/01/1990	    8.14	    7.86	    7.82	    7.28
11/02/1990	    8.62	    7.86	    7.86	    7.28
11/03/1990	    9.46	    7.86	    8.14	    7.28
11/04/1990	    9.84	    7.86	    8.10	    7.28
11/05/1990	    8.82	    7.29	    7.85	    7.28
11/06/1990	    8.10	    7.29	    7.29	    7.29
11/07/1990	    7.85	    7.29	    7.29	    7.29
11/08/1990	    7.29	    7.29	    7.29	    7.29
11/09/1990	    8.13	    7.29	    7.29	    7.27
11/10/1990	    8.20	    7.19	    7.19	    7.24
11/11/1990	    7.64	    7.19	    7.19	    7.21
11/12/1990	    7.19	    7.19	    7.19	    7.19
11/13/1990	    7.66	    7.19	    7.19	    7.28
11/14/1990	    7.86	    7.19	    7.19	    7.38
11/15/1990	    8.25	    7.67	    7.66	    7.47
11/16/1990	    8.22	    7.67	    7.67	    7.57
11/17/1990	    7.67	    7.67	    7.67	    7.67
11/18/1990	    8.03	    7.67	    7.67	    7.79
11/19/1990	    8.13	    7.67	    7.67	    7.90
11/20/1990	    8.02	    8.02	    8.02	    8.02
11/21/1990	   11.13	    8.02	    8.02	    7.97
11/22/1990	    9.81	    8.02	    8.02	    7.91
11/23/1990	    8.75	    8.02	    8.01	    7.86
11/24/1990	    8.12	    8.02	    7.69	    7.80
11/25/1990	    8.01	    7.62	    7.69	    7.75
11/26/1990	    7.69	    7.62	    7.69	    7.69
11/27/1990	   10.00	    7.62	    7.62	    7.67
11/28/1990	    8.81	    7.62	    7.62	    7.64
11/29/1990	    7.62	    7.62	    7.62	    7.62
11/30/1990	    7.75	    5.44	    7.39	    7.12
12/01/1990	    7.85	    5.44	    6.98	    6.66
12/02/1990	    7.39	    5.44	    5.44	    6.22
12/03/1990	    6.98	    5.44	    5.44	    5.82
12/04/1990	    5.44	    5.44	    5.44	    5.44
12/05/1990	    6.52	    6.52	    5.44	    5.49
12/06/1990	    7.40	    6.52	    5.44	    5.54
12/07/1990	    7.35	    6.52	    6.52	    5.59
12/08/1990	    7.21	    6.52	    7.06	    5.64
12/09/1990	    7.22	    6.52	    6.90	    5.70
12/10/1990	    7.06	    5.97	    6.74	    5.75
12/11/1990	    6.90	    5.97	    6.43	    5.80
12/12/1990	    6.74	    5.97	    5.97	    5.86
12/13/1990	    6.43	    5.97	    5.97	    5.91
12/14/1990	    5.97	    5.97	    5.97	    5.97
12/15/1990	    6.29	    5.74	    5.97	    5.75
12/16/1990	    6.15	    5.74	    5.88	    5.54
12/17/1990	    6.01	    5.74	    5.74	    5.34
12/18/1990	    5.88	    5.74	    5.61	    5.14
12/19/1990	    5.74	    5.74	    5.09	    4.96
12/20/1990	    5.61	    4.37	    4.71	    4.78
12/21/1990	    5.09	    4.37	    4.60	    4.60
12/22/1990	    4.71	    4.37	    4.37	    4.43
12/23/1990	    4.60	    4.37	    4.03	    4.27
12/24/1990	    4.37	    4.37	    3.82	    4.11
12/25/1990	    4.03	    3.82	    3.82	    3.96
12/26/1990	    3.82	    3.82	    3.82	    3.82
12/27/1990	    4.20	    3.82	    3.82	    3.77
12/28/1990	    5.13	    3.82	    3.82	    3.73
12/29/1990	    4.35	    3.82	    3.73	    3.68
12/30/1990	    3.92	    3.48	    3.64	    3.63
12/31/1990	    3.73	    3.48	    3.56	    3.59
