date	solids_tot	solids_storm	QGW_slide	QGW_locmin
10/01/1990	    0.09	    0.09	    0.09	    0.09
10/02/1990	    0.09	    0.09	    0.09	    0.09
10/03/1990	    0.13	    0.09	    0.09	    0.11
10/04/1990	    0.13	    0.09	    0.09	    0.11
10/05/1990	    0.12	    0.09	    0.11	    0.11
10/06/1990	    0.12	    0.11	    0.11	    0.11
10/07/1990	    0.11	    0.11	    0.11	    0.11
10/08/1990	    0.12	    0.11	    0.11	    0.12
10/09/1990	    0.13	    0.11	    0.11	    0.12
10/10/1990	    0.14	    0.11	    0.12	    0.12
10/11/1990	    0.15	    0.15	    0.13	    0.13
10/12/1990	    0.15	    0.15	    0.14	    0.13
10/13/1990	    0.16	    0.15	    0.15	    0.13
10/14/1990	    0.17	    0.15	    0.15	    0.13
10/15/1990	    0.16	    0.15	    0.16	    0.14
10/16/1990	    0.17	    0.17	    0.16	    0.14
10/17/1990	    0.17	    0.17	    0.16	    0.14
10/18/1990	    0.21	    0.17	    0.17	    0.15
10/19/1990	    0.19	    0.17	    0.17	    0.15
10/20/1990	    0.21	    0.17	    0.19	    0.15
10/21/1990	    0.26	    0.17	    0.18	    0.16
10/22/1990	    0.20	    0.17	    0.18	    0.16
10/23/1990	    0.18	    0.17	    0.17	    0.16
10/24/1990	    0.18	    0.17	    0.17	    0.17
10/25/1990	    0.17	    0.17	    0.17	    0.17
10/26/1990	    0.17	    0.17	    0.17	    0.17
10/27/1990	    0.18	    0.17	    0.17	    0.17
10/28/1990	    0.17	    0.17	    0.17	    0.17
10/29/1990	    0.18	    0.17	    0.17	    0.17
10/30/1990	    0.19	    0.17	    0.17	    0.17
10/31/1990	    0.19	    0.19	    0.18	    0.17
11/01/1990	    0.19	    0.19	    0.19	    0.17
11/02/1990	    0.21	    0.19	    0.19	    0.17
11/03/1990	    0.23	    0.19	    0.19	    0.17
11/04/1990	    0.23	    0.19	    0.19	    0.17
11/05/1990	    0.21	    0.17	    0.18	    0.17
11/06/1990	    0.19	    0.17	    0.17	    0.17
11/07/1990	    0.18	    0.17	    0.17	    0.17
11/08/1990	    0.17	    0.17	    0.17	    0.17
11/09/1990	    0.19	    0.17	    0.17	    0.17
11/10/1990	    0.19	    0.16	    0.16	    0.16
11/11/1990	    0.17	    0.16	    0.16	    0.16
11/12/1990	    0.16	    0.16	    0.16	    0.16
