date	phos_tot	phos_storm	solids_tot	solids_storm
10/1/1990	6.13	6.05	0.09	0.09
10/2/1990	6.05	6.05	0.09	0.09
10/3/1990	8.2	6.05	0.13	0.09
10/4/1990	7.97	6.05	0.13	0.09
10/5/1990	7.19	6.05	0.12	0.09
10/6/1990	6.89	6.46	0.12	0.11
10/7/1990	6.5	6.46	0.11	0.11
10/8/1990	6.46	6.46	0.12	0.11
10/9/1990	6.89	6.46	0.13	0.11
10/10/1990	7.13	6.46	0.14	0.11
10/11/1990	7.25	6.8	0.15	0.15
10/12/1990	7.21	6.8	0.15	0.15
10/13/1990	7.23	6.8	0.16	0.15
10/14/1990	7.44	6.8	0.17	0.15
10/15/1990	6.8	6.8	0.16	0.15
10/16/1990	6.98	6.98	0.17	0.17
10/17/1990	7.05	6.98	0.17	0.17
10/18/1990	9.01	6.98	0.21	0.17
10/19/1990	7.98	6.98	0.19	0.17
10/20/1990	8.65	6.98	0.21	0.17
10/21/1990	10.89	7.2	0.26	0.17
10/22/1990	8.57	7.2	0.2	0.17
10/23/1990	7.72	7.2	0.18	0.17
10/24/1990	7.37	7.2	0.18	0.17
10/25/1990	7.2	7.2	0.17	0.17
10/26/1990	7.28	7.27	0.17	0.17
10/27/1990	7.41	7.27	0.18	0.17
10/28/1990	7.27	7.27	0.17	0.17
10/29/1990	7.52	7.27	0.18	0.17
10/30/1990	7.82	7.27	0.19	0.17
10/31/1990	7.86	7.86	0.19	0.19
11/1/1990	8.14	7.86	0.19	0.19
11/2/1990	8.62	7.86	0.21	0.19
11/3/1990	9.46	7.86	0.23	0.19
11/4/1990	9.84	7.86	0.23	0.19
11/5/1990	8.82	7.29	0.21	0.17
11/6/1990	8.1	7.29	0.19	0.17
11/7/1990	7.85	7.29	0.18	0.17
11/8/1990	7.29	7.29	0.17	0.17
11/9/1990	8.13	7.29	0.19	0.17
11/10/1990	8.2	7.19	0.19	0.16
11/11/1990	7.64	7.19	0.17	0.16
11/12/1990	7.19	7.19	0.16	0.16
11/13/1990	7.66	7.19	0.17	0.16
11/14/1990	7.86	7.19	0.17	0.16
11/15/1990	8.25	7.67	0.18	0.16
11/16/1990	8.22	7.67	0.18	0.16
11/17/1990	7.67	7.67	0.16	0.16
11/18/1990	8.03	7.67	0.17	0.16
11/19/1990	8.13	7.67	0.17	0.16
11/20/1990	8.02	8.02	0.17	0.16
11/21/1990	11.13	8.02	0.23	0.16
11/22/1990	9.81	8.02	0.2	0.16
11/23/1990	8.75	8.02	0.18	0.16
11/24/1990	8.12	8.02	0.16	0.16
11/25/1990	8.01	7.62	0.16	0.15
11/26/1990	7.69	7.62	0.15	0.15
11/27/1990	10	7.62	0.19	0.15
11/28/1990	8.81	7.62	0.17	0.15
11/29/1990	7.62	7.62	0.15	0.15
11/30/1990	7.75	5.44	0.15	0.1
12/1/1990	7.85	5.44	0.15	0.1
12/2/1990	7.39	5.44	0.14	0.1
12/3/1990	6.98	5.44	0.13	0.1
12/4/1990	5.44	5.44	0.1	0.1
12/5/1990	6.52	6.52	0.12	0.12
12/6/1990	7.4	6.52	0.13	0.12
12/7/1990	7.35	6.52	0.13	0.12
12/8/1990	7.21	6.52	0.13	0.12
12/9/1990	7.22	6.52	0.14	0.12
12/10/1990	7.06	5.97	0.14	0.14
12/11/1990	6.9	5.97	0.14	0.14
12/12/1990	6.74	5.97	0.14	0.14
12/13/1990	6.43	5.97	0.14	0.14
12/14/1990	5.97	5.97	0.14	0.14
12/15/1990	6.29	5.74	0.15	0.15
12/16/1990	6.15	5.74	0.15	0.15
12/17/1990	6.01	5.74	0.15	0.15
12/18/1990	5.88	5.74	0.16	0.15
12/19/1990	5.74	5.74	0.16	0.15
12/20/1990	5.61	4.37	0.16	0.14
12/21/1990	5.09	4.37	0.15	0.14
12/22/1990	4.71	4.37	0.14	0.14
12/23/1990	4.6	4.37	0.15	0.14
12/24/1990	4.37	4.37	0.14	0.14
12/25/1990	4.03	3.82	0.14	0.14
12/26/1990	3.82	3.82	0.14	0.14
12/27/1990	4.2	3.82	0.16	0.14
12/28/1990	5.13	3.82	0.2	0.14
12/29/1990	4.35	3.82	0.17	0.14
12/30/1990	3.92	3.48	0.16	0.16
12/31/1990	3.73	3.48	0.16	0.16
1/1/1991	3.64	3.48	0.16	0.16
1/2/1991	3.56	3.48	0.17	0.16
1/3/1991	3.48	3.48	0.17	0.16
1/4/1991	3.41	3.41	0.17	0.17
1/5/1991	3.42	3.41	0.17	0.17
1/6/1991	3.43	3.41	0.17	0.17
1/7/1991	3.45	3.41	0.17	0.17
1/8/1991	3.46	3.41	0.17	0.17
1/9/1991	3.48	3.48	0.17	0.17
1/10/1991	3.49	3.48	0.17	0.17
1/11/1991	3.51	3.48	0.17	0.17
1/12/1991	3.52	3.48	0.17	0.17
1/13/1991	3.54	3.48	0.17	0.17
1/14/1991	3.66	3.62	0.18	0.18
1/15/1991	3.67	3.62	0.18	0.18
1/16/1991	3.69	3.62	0.18	0.18
1/17/1991	3.7	3.62	0.18	0.18
1/18/1991	3.62	3.62	0.18	0.18
1/19/1991	3.63	3.38	0.18	0.16
1/20/1991	3.65	3.38	0.18	0.16
1/21/1991	3.45	3.38	0.17	0.16
1/22/1991	3.47	3.38	0.17	0.16
1/23/1991	3.38	3.38	0.16	0.16
1/24/1991	3.39	3.39	0.16	0.16
1/25/1991	3.41	3.39	0.16	0.16
1/26/1991	3.42	3.39	0.16	0.16
1/27/1991	3.55	3.39	0.17	0.16
1/28/1991	3.78	3.39	0.18	0.16
1/29/1991	3.9	3.72	0.19	0.18
1/30/1991	3.81	3.72	0.18	0.18
1/31/1991	3.72	3.72	0.18	0.18
2/1/1991	3.95	3.72	0.19	0.18
2/2/1991	4.08	3.72	0.19	0.18
2/3/1991	4.21	3.96	0.2	0.18
2/4/1991	4.34	3.96	0.2	0.18
2/5/1991	4.25	3.96	0.2	0.18
2/6/1991	3.97	3.96	0.19	0.18
2/7/1991	3.96	3.96	0.18	0.18
2/8/1991	4.53	4.53	0.21	0.21
2/9/1991	4.89	4.53	0.23	0.21
2/10/1991	4.91	4.53	0.23	0.21
2/11/1991	4.7	4.53	0.22	0.21
2/12/1991	4.61	4.53	0.21	0.21
2/13/1991	4.63	4.22	0.21	0.19
2/14/1991	4.42	4.22	0.2	0.19
2/15/1991	4.32	4.22	0.2	0.19
2/16/1991	4.22	4.22	0.19	0.19
2/17/1991	4.36	4.22	0.2	0.19
2/18/1991	4.73	4.73	0.22	0.22
2/19/1991	4.99	4.73	0.23	0.22
2/20/1991	5.35	4.73	0.25	0.22
2/21/1991	5.82	4.73	0.27	0.22
2/22/1991	7.13	4.73	0.34	0.22
2/23/1991	6.53	5.23	0.31	0.26
2/24/1991	5.7	5.23	0.28	0.26
2/25/1991	5.35	5.23	0.26	0.26
2/26/1991	5.23	5.23	0.26	0.26
2/27/1991	5.23	5.23	0.26	0.26
2/28/1991	5.11	5.11	0.26	0.26
3/1/1991	11.88	5.11	0.62	0.26
3/2/1991	59.4	5.11	3.13	0.26
3/3/1991	23.76	5.11	1.27	0.26
3/4/1991	17.82	5.11	0.96	0.26
3/5/1991	14.26	10.27	0.78	0.59
3/6/1991	16.63	10.27	0.92	0.59
3/7/1991	11.29	10.27	0.64	0.59
3/8/1991	10.27	10.27	0.59	0.59
3/9/1991	11	10.27	0.64	0.59
3/10/1991	9.41	6.53	0.55	0.4
3/11/1991	10.74	6.53	0.64	0.4
3/12/1991	11.29	6.53	0.68	0.4
3/13/1991	6.53	6.53	0.4	0.4
3/14/1991	10.1	6.53	0.62	0.4
3/15/1991	10.69	10.69	0.67	0.67
3/16/1991	11.44	10.69	0.73	0.67
3/17/1991	15.68	10.69	1.01	0.67
3/18/1991	32.09	10.69	2.09	0.67
3/19/1991	27.84	10.69	1.84	0.67
3/20/1991	23.67	18.09	1.58	1.28
3/21/1991	23.31	18.09	1.58	1.28
3/22/1991	21.11	18.09	1.45	1.28
3/23/1991	33.03	18.09	2.3	1.28
3/24/1991	18.09	18.09	1.28	1.28
3/25/1991	14.8	14.02	1.06	1.02
3/26/1991	14.02	14.02	1.02	1.02
3/27/1991	55.89	14.02	4.11	1.02
3/28/1991	21.91	14.02	1.63	1.02
3/29/1991	16.31	14.02	1.23	1.02
3/30/1991	14.29	10.82	1.09	0.87
3/31/1991	13.74	10.82	1.07	0.87
4/1/1991	12.43	10.82	0.98	0.87
4/2/1991	11.21	10.82	0.89	0.87
4/3/1991	10.82	10.82	0.87	0.87
4/4/1991	10.71	9.16	0.88	0.78
4/5/1991	10.28	9.16	0.85	0.78
4/6/1991	9.73	9.16	0.82	0.78
4/7/1991	9.16	9.16	0.78	0.78
4/8/1991	9.22	9.16	0.8	0.78
4/9/1991	22.11	10.81	1.93	0.97
4/10/1991	13.65	10.81	1.21	0.97
4/11/1991	10.81	10.81	0.97	0.97
4/12/1991	763.08	10.81	82.92	0.97
4/13/1991	310.62	10.81	16.51	0.97
4/14/1991	137.45	44.95	5.66	1.44
4/15/1991	82.37	44.95	2.95	1.44
4/16/1991	57.46	44.95	1.93	1.44
4/17/1991	49.31	44.95	1.62	1.44
4/18/1991	44.95	44.95	1.44	1.44
4/19/1991	45.38	33.1	1.42	0.96
4/20/1991	40.15	33.1	1.23	0.96
4/21/1991	34.91	33.1	1.04	0.96
4/22/1991	33.1	33.1	0.96	0.96
4/23/1991	35.59	33.1	1.01	0.96
4/24/1991	31.64	24.5	0.88	0.61
4/25/1991	27.21	24.5	0.73	0.61
4/26/1991	25.52	24.5	0.67	0.61
4/27/1991	28.25	24.5	0.73	0.61
4/28/1991	24.5	24.5	0.61	0.61
4/29/1991	24.99	17.48	0.61	0.39
4/30/1991	23.3	17.48	0.56	0.39
5/1/1991	20.03	17.48	0.47	0.39
5/2/1991	18.48	17.48	0.42	0.39
5/3/1991	17.48	17.48	0.39	0.39
5/4/1991	17.25	15.36	0.37	0.3
5/5/1991	22.46	15.36	0.47	0.3
5/6/1991	21.85	15.36	0.45	0.3
5/7/1991	16.72	15.36	0.34	0.3
5/8/1991	15.36	15.36	0.3	0.3
5/9/1991	14.69	14.01	0.28	0.26
5/10/1991	14.01	14.01	0.26	0.26
5/11/1991	14.2	14.01	0.27	0.26
5/12/1991	14.65	14.01	0.28	0.26
5/13/1991	32.49	14.01	0.62	0.26
5/14/1991	21.98	18.4	0.42	0.36
5/15/1991	18.4	18.4	0.36	0.36
5/16/1991	18.4	18.4	0.36	0.36
5/17/1991	18.68	18.4	0.36	0.36
5/18/1991	22.1	18.4	0.43	0.36
5/19/1991	20.27	18.54	0.4	0.37
5/20/1991	18.54	18.54	0.37	0.37
5/21/1991	20.07	18.54	0.4	0.37
5/22/1991	24.37	18.54	0.49	0.37
5/23/1991	21.51	18.54	0.43	0.37
5/24/1991	21.81	21.81	0.44	0.44
5/25/1991	22.08	21.81	0.45	0.44
5/26/1991	57.82	21.81	1.19	0.44
5/27/1991	33.87	21.81	0.7	0.44
5/28/1991	29.64	21.81	0.62	0.44
5/29/1991	28.47	28.47	0.59	0.59
5/30/1991	35.55	28.47	0.75	0.59
5/31/1991	41.65	28.47	0.88	0.59
6/1/1991	48.5	28.47	1.03	0.59
6/2/1991	41.79	28.47	0.89	0.59
6/3/1991	39.66	12.12	0.85	0.41
6/4/1991	35.79	12.12	0.78	0.41
6/5/1991	25.19	12.12	0.62	0.41
6/6/1991	17.49	12.12	0.5	0.41
6/7/1991	12.12	12.12	0.41	0.41
6/8/1991	8.64	2.4	0.34	0.18
6/9/1991	6.04	2.4	0.28	0.18
6/10/1991	4.88	2.4	0.27	0.18
6/11/1991	3.73	2.4	0.24	0.18
6/12/1991	2.4	2.4	0.18	0.18
6/13/1991	2.41	2.41	0.17	0.17
6/14/1991	4.38	2.41	0.31	0.17
6/15/1991	152.26	2.41	10.42	0.17
6/16/1991	9.93	2.41	0.65	0.17
6/17/1991	7.48	2.41	0.47	0.17
6/18/1991	7.12	7.06	0.44	0.42
6/19/1991	7.06	7.06	0.42	0.42
6/20/1991	7.24	7.06	0.42	0.42
6/21/1991	22.29	7.06	1.23	0.42
6/22/1991	12.56	7.06	0.68	0.42
6/23/1991	9.15	9.15	0.48	0.46
6/24/1991	9.25	9.15	0.46	0.46
6/25/1991	9.75	9.15	0.47	0.46
6/26/1991	10.55	9.15	0.5	0.46
6/27/1991	11.43	9.15	0.52	0.46
6/28/1991	11.99	11.99	0.51	0.51
6/29/1991	12.88	11.99	0.51	0.51
6/30/1991	14.18	11.99	0.52	0.51
7/1/1991	15.21	11.99	0.52	0.51
7/2/1991	16.06	11.99	0.51	0.51
7/3/1991	17.13	17.13	0.51	0.51
7/4/1991	18.45	17.13	0.51	0.51
7/5/1991	20.35	17.13	0.53	0.51
7/6/1991	21.46	17.13	0.52	0.51
7/7/1991	31.16	17.13	0.7	0.51
7/8/1991	29.02	24.92	0.61	0.5
7/9/1991	26.75	24.92	0.53	0.5
7/10/1991	26.18	24.92	0.52	0.5
7/11/1991	24.92	24.92	0.5	0.5
7/12/1991	31.69	24.92	0.64	0.5
7/13/1991	26.15	19.6	0.53	0.41
7/14/1991	22.53	19.6	0.46	0.41
7/15/1991	20.89	19.6	0.43	0.41
7/16/1991	20.21	19.6	0.42	0.41
7/17/1991	19.6	19.6	0.41	0.41
7/18/1991	18.87	17.71	0.4	0.39
7/19/1991	18.5	17.71	0.4	0.39
7/20/1991	18.36	17.71	0.4	0.39
7/21/1991	17.72	17.71	0.39	0.39
7/22/1991	17.71	17.71	0.39	0.39
7/23/1991	16.04	14.12	0.36	0.35
7/24/1991	15.15	14.12	0.35	0.35
7/25/1991	14.88	14.12	0.36	0.35
7/26/1991	14.44	14.12	0.36	0.35
7/27/1991	14.12	14.12	0.36	0.35
7/28/1991	15.91	13.72	0.42	0.42
7/29/1991	17.11	13.72	0.47	0.42
7/30/1991	14.86	13.72	0.43	0.42
7/31/1991	14.1	13.72	0.42	0.42
8/1/1991	13.72	13.72	0.42	0.42
8/2/1991	13.38	11.72	0.43	0.43
8/3/1991	13.31	11.72	0.44	0.43
8/4/1991	15.32	11.72	0.53	0.43
8/5/1991	12.19	11.72	0.43	0.43
8/6/1991	11.72	11.72	0.43	0.43
8/7/1991	8.66	8.66	0.97	0.97
8/8/1991	4668.67	8.66	202.42	0.97
8/9/1991	131.32	8.66	5.18	0.97
8/10/1991	78.76	8.66	2.02	0.97
8/11/1991	60.61	8.66	1.57	0.97
8/12/1991	48.76	24.62	1.28	0.68
8/13/1991	40.38	24.62	1.08	0.68
8/14/1991	34.17	24.62	0.92	0.68
8/15/1991	28.78	24.62	0.79	0.68
8/16/1991	24.62	24.62	0.68	0.68
8/17/1991	24.14	10.32	0.68	0.31
8/18/1991	17.94	10.32	0.51	0.31
8/19/1991	14.13	10.32	0.41	0.31
8/20/1991	11.72	10.32	0.34	0.31
8/21/1991	10.32	10.32	0.31	0.31
8/22/1991	8.87	8.87	0.26	0.25
8/23/1991	8.96	8.87	0.25	0.25
8/24/1991	9.74	8.87	0.25	0.25
8/25/1991	10.42	8.87	0.25	0.25
8/26/1991	11.23	8.87	0.25	0.25
8/27/1991	12.27	12.27	0.25	0.24
8/28/1991	12.86	12.27	0.24	0.24
8/29/1991	13.75	12.27	0.24	0.24
8/30/1991	15.46	12.27	0.25	0.24
8/31/1991	16.75	12.27	0.25	0.24
9/1/1991	17.03	17.03	0.24	0.24
9/2/1991	18.37	17.03	0.24	0.24
9/3/1991	27.03	17.03	0.32	0.24
9/4/1991	27.12	17.03	0.3	0.24
9/5/1991	24.22	17.03	0.25	0.24
9/6/1991	25.94	25.94	0.25	0.24
9/7/1991	27.2	25.94	0.24	0.24
9/8/1991	39.87	25.94	0.32	0.24
9/9/1991	45.12	25.94	0.34	0.24
9/10/1991	37.62	25.94	0.27	0.24
9/11/1991	32.97	32.97	0.24	0.24
9/12/1991	36.68	32.97	0.28	0.24
9/13/1991	33.5	32.97	0.27	0.24
9/14/1991	35.9	32.97	0.31	0.24
9/15/1991	33.33	32.97	0.3	0.24
9/16/1991	24.38	13.86	0.24	0.17
9/17/1991	19.84	13.86	0.2	0.17
9/18/1991	18.58	13.86	0.2	0.17
9/19/1991	15.92	13.86	0.18	0.17
9/20/1991	13.86	13.86	0.17	0.17
9/21/1991	12.89	9.67	0.16	0.15
9/22/1991	11.95	9.67	0.16	0.15
9/23/1991	10.84	9.67	0.15	0.15
9/24/1991	10.17	9.67	0.15	0.15
9/25/1991	9.67	9.67	0.15	0.15
9/26/1991	8.45	5.63	0.14	0.12
9/27/1991	7.44	5.63	0.13	0.12
9/28/1991	6.63	5.63	0.12	0.12
9/29/1991	6.14	5.63	0.12	0.12
9/30/1991	5.63	5.63	0.12	0.12
10/1/1991	5.29	5.29	0.11	0.11
10/2/1991	5.53	5.29	0.12	0.11
10/3/1991	5.59	5.29	0.12	0.11
10/4/1991	30	5.29	0.71	0.11
10/5/1991	47	5.29	1.5	0.11
10/6/1991	6.85	5.44	0.16	0.14
10/7/1991	5.79	5.44	0.14	0.14
10/8/1991	5.86	5.44	0.15	0.14
10/9/1991	5.74	5.44	0.15	0.14
10/10/1991	5.44	5.44	0.14	0.14
10/11/1991	5.56	5.42	0.15	0.15
10/12/1991	5.57	5.42	0.15	0.15
