DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1990	    7.80	    7.70	    7.70	    0.00
10/02/1990	    7.70	    7.70	    7.70	    0.00
10/03/1990	   10.00	    7.70	    7.70	    0.00
10/04/1990	    9.90	    7.70	    7.70	    0.00
10/05/1990	    8.80	    7.70	    7.80	    0.00
10/06/1990	    8.40	    7.70	    7.70	    0.00
10/07/1990	    7.80	    7.70	    7.70	    0.00
10/08/1990	    7.70	    7.70	    7.70	    7.70
10/09/1990	    8.10	    7.70	    7.70	    7.67
10/10/1990	    8.30	    7.70	    7.70	    7.64
10/11/1990	    8.30	    7.50	    8.10	    7.61
10/12/1990	    8.20	    7.50	    8.10	    7.59
10/13/1990	    8.10	    7.50	    7.50	    7.56
10/14/1990	    8.30	    7.50	    7.50	    7.53
10/15/1990	    7.50	    7.50	    7.50	    7.50
10/16/1990	    7.60	    7.60	    7.50	    7.46
10/17/1990	    7.60	    7.60	    7.50	    7.42
10/18/1990	    9.60	    7.60	    7.60	    7.38
10/19/1990	    8.40	    7.60	    7.60	    7.34
10/20/1990	    9.00	    7.60	    8.40	    7.30
10/21/1990	   11.00	    7.10	    7.80	    7.26
10/22/1990	    8.80	    7.10	    7.40	    7.22
10/23/1990	    7.80	    7.10	    7.10	    7.18
10/24/1990	    7.40	    7.10	    7.10	    7.14
10/25/1990	    7.10	    7.10	    7.10	    7.10
10/26/1990	    7.10	    7.00	    7.00	    7.07
10/27/1990	    7.20	    7.00	    7.00	    7.03
10/28/1990	    7.00	    7.00	    7.00	    7.00
10/29/1990	    7.20	    7.00	    7.00	    6.96
10/30/1990	    7.40	    7.00	    7.00	    6.93
10/31/1990	    7.30	    7.30	    7.20	    6.89
11/01/1990	    7.50	    7.30	    7.30	    6.85
11/02/1990	    7.90	    7.30	    7.30	    6.82
11/03/1990	    8.50	    7.30	    7.50	    6.78
11/04/1990	    8.80	    7.30	    7.20	    6.74
11/05/1990	    7.80	    6.60	    7.00	    6.71
11/06/1990	    7.20	    6.60	    6.60	    6.67
11/07/1990	    7.00	    6.60	    6.60	    6.64
11/08/1990	    6.60	    6.60	    6.60	    6.60
11/09/1990	    7.40	    6.60	    6.60	    6.60
11/10/1990	    7.50	    6.60	    6.60	    6.60
11/11/1990	    7.00	    6.60	    6.60	    6.60
11/12/1990	    6.60	    6.60	    6.60	    6.60
11/13/1990	    7.10	    6.60	    6.60	    6.73
11/14/1990	    7.30	    6.60	    6.60	    6.87
11/15/1990	    7.80	    7.30	    7.10	    7.01
11/16/1990	    7.80	    7.30	    7.30	    7.15
11/17/1990	    7.30	    7.30	    7.30	    7.30
11/18/1990	    7.70	    7.30	    7.30	    7.35
11/19/1990	    7.90	    7.30	    7.30	    7.41
11/20/1990	    7.80	    7.80	    7.70	    7.46
11/21/1990	   11.00	    7.80	    7.80	    7.52
11/22/1990	    9.70	    7.80	    7.80	    7.57
11/23/1990	    8.70	    7.80	    8.10	    7.63
11/24/1990	    8.10	    7.80	    7.80	    7.69
11/25/1990	    8.10	    7.80	    7.80	    7.74
11/26/1990	    7.80	    7.80	    7.80	    7.80
11/27/1990	   10.00	    7.80	    7.80	    7.83
11/28/1990	    9.00	    7.80	    7.80	    7.87
11/29/1990	    7.90	    7.80	    7.90	    7.90
11/30/1990	    8.10	    5.80	    7.80	    7.43
