storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,8,10/17/1990 16:00,10/21/1990 11:50,2,1.05,0.83,0.82,0.65,0.45,0.37,2.374,91.833,0.011,0.004,0,0,72,29,46,1.31,0,0,P,,,1,,10/17/1990,10/24/1990,10,1990,10.89,67.24,8.41,3.69,10.52,1.32,0.26,1.6,0.2,0.09,0.24,0.03,11,69.6,8.7,3.9,11.6,1.05,0.00,1.05
2,5,11/3/1990 3:05,11/4/1990 1:00,1,0.49,0.26,0.22,0.21,0.17,0.14,0.472,21.917,0.022,0.016,0.016,0.016,57,23,37,0.7,NA,0,P,,,1,,11/3/1990,11/7/1990,11,1990,9.84,44.07,8.81,1.98,6.48,1.3,0.23,1.04,0.21,0.04,0.15,0.03,8.8,39.3,7.86,1.5,4.9,0.98,0.00,0.49
3,6,11/20/1990 21:40,11/21/1990 4:35,1,0.39,0.43,0.41,0.39,0.3,0.23,0.748,6.917,0.056,0,0,0,67,30,46,0.51,0,0,P,,,1,,11/20/1990,11/25/1990,11,1990,11.13,53.84,8.97,3.11,6.12,1.02,0.23,1.1,0.18,0.07,0.15,0.03,11,53.4,8.9,3.2,6.6,1.1,0.00,0.39
4,3,11/26/1990 21:05,11/27/1990 5:05,1,0.27,0.31,0.28,0.26,0.24,0.17,0.43,8,0.034,0,0,0,67,23,42,0.34,0,0,P,,,1,,11/26/1990,11/28/1990,11,1990,10,26.5,8.83,2.38,3.64,1.21,0.19,0.51,0.17,0.04,0.06,0.02,10,26.8,8.93,2.2,3.4,1.13,0.00,0.27
5,8,,,,,,,,,,,,,,,,48,18,32,0,0,8,,,M,5,17.80%,12/6/1990,12/13/1990,12,1990,7.4,56.31,7.04,1.09,6.35,0.79,0.14,1.09,0.14,0.02,0.05,0.01,8.2,64.8,8.1,1.2,8,0.73,1.42,1.42
6,3,,,,,,,,,,,,,,,,34,26,31,0.4,5,2.5,P,S,M,3,12.92%,12/15/1990,12/17/1990,12,1990,6.29,18.45,6.15,0.55,1.23,0.41,0.15,0.45,0.15,0,0,0,8.2,24.6,8.2,0,0,0,0.32,0.72
7,6,,,,,,,,,,,,,,,,37,-15,12,0.41,NA,2,P,S,M,3,11.63%,12/18/1990,12/23/1990,12,1990,5.88,31.63,5.27,1.24,2.67,0.45,0.16,0.92,0.15,0.02,0.06,0.01,8.2,46.6,7.77,1.2,2.2,0.37,0.23,0.64
8,5,,,,,,,,,,,,,,,,34,-9,9,0.23,NA,U,P,S,M,3,23.67%,12/29/1990,1/2/1991,12,1990,4.35,19.2,3.84,0.53,1.46,0.29,0.17,0.82,0.16,0.03,0.04,0.01,7.8,36,7.2,1.4,1.6,0.32,NA,NA
9,4,,,,,,,,,,,,,,,,26,-12,8,0.38,5,U,P,S,M,3,13.62%,1/5/1991,1/8/1991,1,1991,3.46,13.76,3.44,0.05,0.12,0.03,0.17,0.68,0.17,0,0,0,7,28,7,0,0,0,NA,NA
10,9,,,,,,,,,,,,,,,,37,10,24,0.33,NA,4,P,S,M,3,15.39%,1/9/1991,1/17/1991,1,1991,3.7,32.26,3.58,0.08,0.38,0.04,0.18,1.57,0.17,0,0,0,7.2,63.8,7.09,0.2,0.8,0.09,0.62,0.95
11,4,,,,,,,,,,,,,,,,45,-15,18,0.02,0.5,2,P,S,M,3,18.65%,1/19/1991,1/22/1991,1,1991,3.65,14.2,3.55,0.27,0.68,0.17,0.18,0.7,0.18,0.02,0.06,0.02,7,27.2,6.8,0.6,1.6,0.4,0.37,0.39
12,6,,,,,,,,,,,,,,,,48,5,33,0,0,7,,,M,5,16.18%,2/1/1991,2/6/1991,2,1991,4.34,24.8,4.13,0.38,1.52,0.25,0.2,1.17,0.2,0.02,0.09,0.02,7.8,44.7,7.45,0.8,3.1,0.52,1.13,1.13
13,7,,,,,,,,,,,,,,,,44,-4,22,0.12,1.5,U,P,S,M,3,9.00%,2/9/1991,2/15/1991,2,1991,4.91,32.48,4.64,0.41,1.7,0.24,0.23,1.5,0.21,0.02,0.09,0.01,8.6,56.4,8.06,0.8,4.3,0.36,NA,NA
14,2,,,,,,,,,,,,,,,,36,-1,23,0,0,3,,,M,5,6.00%,2/16/1991,2/17/1991,2,1991,4.36,8.58,4.29,0.14,0.14,0.07,0.2,0.39,0.2,0.01,0.01,0.01,7.4,14.6,7.3,0.2,0.2,0.1,0.18,0.18
15,7,,,,,,,,,,,,,,,,51,8,29,0.04,0,1,P,,M,3,,2/19/1991,2/25/1991,2,1991,7.13,40.87,5.84,2.4,6.26,0.89,0.34,1.94,0.28,0.12,0.28,0.04,12,68.8,9.83,4,11.6,0.97,NA,NA
16,7,,,,,,,,,,,,,,,,50,15,31,0.93,0,U,P,,M,3,,3/1/1991,3/7/1991,3,1991,59.4,155.04,22.15,54.29,103.79,14.83,3.13,8.32,1.19,2.87,5.51,0.79,100,261,37.29,91.4,179.8,14.98,NA,NA
17,4,,,,,,,,,,,,,,,,48,20,35,0.08,0,Z,P,,M,6,,3/9/1991,3/12/1991,3,1991,11.29,42.44,10.61,4.76,12.58,3.15,0.68,2.51,0.63,0.28,0.72,0.18,19,72,18,8,22,5.5,NA,NA
18,2,,,,,,,,,,,,,,,,42,27,34,0.91,8,3,P,S,M,3,18.13%,3/13/1991,3/14/1991,3,1991,10.1,16.63,8.32,3.57,3.57,1.79,0.62,1.02,0.51,0.22,0.22,0.11,17,28,14,6,6,3,0.54,1.45
19,8,3/17/1991 10:10,3/23/1991 11:10,2,1.34,0.76,0.75,0.68,0.57,0.4,3.686,145,0.009,0,0,0,64,30,44,1.1,0,5,P,,M,2,36.83%,3/16/1991,3/23/1991,3,1991,33.03,188.17,23.52,21.4,73.05,9.13,2.3,12.58,1.57,1.42,4.78,0.6,56,317,39.63,36,137,12.45,1.84,3.18
20,8,3/26/1991 22:40,3/27/1991 17:05,1,1.45,0.68,0.6,0.54,0.37,0.33,3.918,18.417,0.079,0.002,0.002,0.864,80,20,43,1.44,0,U,P,,,2,,3/26/1991,4/2/1991,3,1991,55.89,159.8,19.98,41.87,60.44,7.56,4.11,12.02,1.5,3.09,4.46,0.56,94,269,33.63,70,138,12.55,NA,NA
21,3,,,,,,,,,,,,,,,,87,46,65,0.04,0,U,P,,M,3,,4/4/1991,4/6/1991,4,1991,10.71,30.72,10.24,1.55,3.24,1.08,0.88,2.55,0.85,0.1,0.21,0.07,18,51,17,3,6,2,NA,NA
22,3,4/8/1991 8:40,4/9/1991 19:20,1,1.26,0.46,0.43,0.32,0.27,0.18,2.092,34.667,0.036,0.002,0.002,0.021,77,32,51,1.29,0,0,P,,,1,,4/8/1991,4/10/1991,4,1991,22.11,44.98,14.99,11.3,14.2,4.73,1.93,3.94,1.31,0.96,1.22,0.41,37,76,25.33,19,25,8.33,0.00,1.26
23,7,4/11/1991 23:50,4/14/1991 9:05,2,2.01,0.41,0.37,0.36,0.34,0.31,3.978,57.25,0.035,0.002,0.329,1.264,62,35,45,2.52,0,0,P,,,1,,4/11/1991,4/17/1991,4,1991,763.08,1411.1,201.59,752.27,1198.87,171.27,82.92,112.56,16.08,81.95,103.89,14.84,92,356,50.86,74,242,20.17,0.00,2.01
24,6,4/27/1991 2:25,4/27/1991 6:20,1,0.24,0.43,0.41,0.34,0.22,0.12,0.328,3.917,0.061,0,0,0.32,74,38,56,0.65,0,0,P,,,1,,4/27/1991,5/2/1991,4,1991,28.25,139.55,23.26,7.51,20.63,3.44,0.73,3.4,0.57,0.22,0.62,0.1,22,115,19.17,4,13,2.17,0.00,0.24
