DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1990	    1.06	    1.03	    1.06	    0.00
10/02/1990	    1.32	    1.03	    1.03	    0.00
10/03/1990	    1.03	    1.03	    1.03	    1.03
10/04/1990	    1.98	    1.35	    1.03	    1.04
10/05/1990	    1.77	    1.35	    1.35	    1.06
10/06/1990	    1.35	    1.35	    1.11	    1.09
10/07/1990	    1.11	    1.11	    1.11	    1.11
10/08/1990	    1.13	    1.11	    1.11	    1.13
10/09/1990	    1.54	    1.11	    1.13	    1.54
10/10/1990	    2.24	    2.24	    1.54	    2.12
10/11/1990	    3.90	    2.24	    2.24	    2.64
10/12/1990	    6.33	    2.24	    3.90	    3.28
10/13/1990	    4.08	    4.08	    4.08	    4.08
10/14/1990	    6.32	    4.08	    4.08	    4.76
10/15/1990	   11.67	    4.08	    6.32	    5.54
10/16/1990	    9.56	    7.53	    7.53	    6.46
10/17/1990	    7.53	    7.53	    7.53	    7.53
10/18/1990	  165.43	    7.53	    7.53	   10.03
10/19/1990	   85.60	   17.77	   17.77	   13.35
10/20/1990	   17.77	   17.77	   17.77	   17.77
10/21/1990	   27.21	   17.77	   17.77	   14.88
10/22/1990	   20.81	    6.85	    9.53	   12.46
10/23/1990	    9.53	    6.85	    6.85	    9.53
10/24/1990	    6.85	    6.85	    5.41	    6.85
10/25/1990	    5.41	    3.19	    3.84	    5.41
10/26/1990	    3.84	    3.19	    3.19	    3.84
10/27/1990	    3.19	    3.19	    3.13	    3.19
10/28/1990	    3.13	    2.44	    2.59	    3.13
10/29/1990	    2.59	    2.44	    2.44	    2.59
10/30/1990	    2.44	    2.44	    2.18	    2.44
10/31/1990	    2.18	    2.11	    2.11	    2.18
11/01/1990	    2.11	    2.11	    2.11	    2.11
11/02/1990	    2.29	    2.11	    2.11	    2.29
11/03/1990	    4.86	    4.86	    2.29	    3.02
11/04/1990	   28.25	    4.86	    4.86	    3.61
11/05/1990	   53.56	    4.86	   28.25	    4.32
11/06/1990	  114.37	   16.89	   45.92	    5.17
11/07/1990	   45.92	   16.89	   16.89	    6.18
11/08/1990	   16.89	   16.89	    8.83	    7.39
11/09/1990	    8.83	    8.83	    8.83	    8.83
11/10/1990	   15.04	    8.83	    8.83	    7.13
11/11/1990	   12.74	    8.83	    6.59	    5.76
11/12/1990	    6.59	    2.66	    3.90	    4.65
11/13/1990	    3.90	    2.66	    2.66	    3.76
11/14/1990	    2.66	    2.66	    2.45	    2.66
11/15/1990	    2.45	    2.45	    2.45	    2.45
11/16/1990	    2.81	    2.45	    2.45	    2.47
11/17/1990	    2.48	    2.45	    2.48	    2.48
11/18/1990	    2.48	    2.09	    2.44	    2.34
11/19/1990	    2.44	    2.09	    2.09	    2.21
11/20/1990	    2.09	    2.09	    2.09	    2.09
11/21/1990	    3.62	    3.62	    2.09	    2.10
11/22/1990	    8.11	    3.62	    3.62	    2.11
11/23/1990	    7.59	    3.62	    4.69	    2.13
11/24/1990	    4.69	    2.17	    3.27	    2.14
11/25/1990	    3.27	    2.17	    2.17	    2.15
11/26/1990	    2.17	    2.17	    2.17	    2.17
11/27/1990	    2.53	    2.53	    2.17	    2.15
11/28/1990	    8.79	    2.53	    2.53	    2.13
11/29/1990	    7.49	    2.53	    3.84	    2.12
11/30/1990	    3.84	    2.07	    2.71	    2.10
12/01/1990	    2.71	    2.07	    2.07	    2.09
12/02/1990	    2.07	    2.07	    2.07	    2.07
12/03/1990	    4.59	    2.51	    2.07	    2.21
12/04/1990	   12.00	    2.51	    2.51	    2.36
