DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1990	    0.02	    0.02	    0.02	    0.00
10/02/1990	    0.02	    0.02	    0.02	    0.00
10/03/1990	    0.02	    0.02	    0.02	    0.02
10/04/1990	    0.03	    0.02	    0.02	    0.02
10/05/1990	    0.03	    0.02	    0.02	    0.02
10/06/1990	    0.02	    0.02	    0.02	    0.02
10/07/1990	    0.02	    0.02	    0.02	    0.02
10/08/1990	    0.02	    0.02	    0.02	    0.02
10/09/1990	    0.02	    0.02	    0.02	    0.02
10/10/1990	    0.03	    0.03	    0.02	    0.03
10/11/1990	    0.06	    0.03	    0.03	    0.04
10/12/1990	    0.09	    0.03	    0.06	    0.05
10/13/1990	    0.06	    0.06	    0.06	    0.06
10/14/1990	    0.09	    0.06	    0.06	    0.07
10/15/1990	    0.17	    0.06	    0.09	    0.08
10/16/1990	    0.14	    0.12	    0.12	    0.10
10/17/1990	    0.12	    0.12	    0.12	    0.12
10/18/1990	    9.67	    0.12	    0.12	    0.15
10/19/1990	    2.21	    0.25	    0.25	    0.19
10/20/1990	    0.25	    0.25	    0.25	    0.25
10/21/1990	    0.76	    0.25	    0.25	    0.21
10/22/1990	    0.49	    0.10	    0.14	    0.18
10/23/1990	    0.14	    0.10	    0.10	    0.14
10/24/1990	    0.10	    0.10	    0.08	    0.10
10/25/1990	    0.08	    0.05	    0.06	    0.08
10/26/1990	    0.06	    0.05	    0.05	    0.06
10/27/1990	    0.05	    0.05	    0.05	    0.05
10/28/1990	    0.05	    0.04	    0.04	    0.05
10/29/1990	    0.04	    0.04	    0.04	    0.04
10/30/1990	    0.04	    0.04	    0.03	    0.04
10/31/1990	    0.03	    0.03	    0.03	    0.03
11/01/1990	    0.03	    0.03	    0.03	    0.03
11/02/1990	    0.03	    0.03	    0.03	    0.03
11/03/1990	    0.07	    0.07	    0.03	    0.05
11/04/1990	    0.46	    0.07	    0.07	    0.06
11/05/1990	    0.91	    0.07	    0.46	    0.08
11/06/1990	    2.29	    0.36	    0.84	    0.11
11/07/1990	    0.84	    0.36	    0.36	    0.13
11/08/1990	    0.36	    0.36	    0.22	    0.17
11/09/1990	    0.22	    0.22	    0.22	    0.22
11/10/1990	    0.38	    0.22	    0.22	    0.18
11/11/1990	    0.32	    0.22	    0.16	    0.14
11/12/1990	    0.16	    0.07	    0.10	    0.12
11/13/1990	    0.10	    0.07	    0.07	    0.09
11/14/1990	    0.07	    0.07	    0.06	    0.07
11/15/1990	    0.06	    0.06	    0.06	    0.06
11/16/1990	    0.07	    0.06	    0.06	    0.06
11/17/1990	    0.06	    0.06	    0.06	    0.06
11/18/1990	    0.06	    0.05	    0.06	    0.06
11/19/1990	    0.06	    0.05	    0.05	    0.06
11/20/1990	    0.05	    0.05	    0.05	    0.05
11/21/1990	    0.09	    0.09	    0.05	    0.05
11/22/1990	    0.20	    0.09	    0.09	    0.05
11/23/1990	    0.19	    0.09	    0.12	    0.05
11/24/1990	    0.12	    0.05	    0.08	    0.05
11/25/1990	    0.08	    0.05	    0.05	    0.05
11/26/1990	    0.05	    0.05	    0.05	    0.05
11/27/1990	    0.05	    0.05	    0.05	    0.05
11/28/1990	    0.18	    0.05	    0.05	    0.04
11/29/1990	    0.14	    0.05	    0.07	    0.04
11/30/1990	    0.07	    0.03	    0.04	    0.04
12/01/1990	    0.04	    0.03	    0.03	    0.03
12/02/1990	    0.03	    0.03	    0.03	    0.03
12/03/1990	    0.10	    0.03	    0.03	    0.03
12/04/1990	    0.34	    0.03	    0.03	    0.03
12/05/1990	    0.03	    0.03	    0.03	    0.03
12/06/1990	    0.04	    0.02	    0.02	    0.03
12/07/1990	    0.02	    0.02	    0.02	    0.02
12/08/1990	    0.02	    0.02	    0.01	    0.02
12/09/1990	    0.01	    0.01	    0.01	    0.01
12/10/1990	    0.02	    0.01	    0.01	    0.02
12/11/1990	    0.07	    0.01	    0.02	    0.02
12/12/1990	    0.70	    0.70	    0.07	    0.02
12/13/1990	    2.09	    0.70	    0.70	    0.02
12/14/1990	    0.76	    0.70	    0.07	    0.02
12/15/1990	    0.07	    0.04	    0.05	    0.02
12/16/1990	    0.05	    0.04	    0.04	    0.03
12/17/1990	    0.04	    0.04	    0.04	    0.03
12/18/1990	    0.04	    0.04	    0.04	    0.03
12/19/1990	    0.04	    0.04	    0.04	    0.04
12/20/1990	    0.04	    0.04	    0.03	    0.03
12/21/1990	    0.03	    0.02	    0.03	    0.03
12/22/1990	    0.03	    0.02	    0.02	    0.03
12/23/1990	    0.02	    0.02	    0.02	    0.02
12/24/1990	    0.02	    0.02	    0.02	    0.02
12/25/1990	    0.02	    0.02	    0.02	    0.02
12/26/1990	    0.02	    0.02	    0.02	    0.02
12/27/1990	    0.02	    0.02	    0.02	    0.02
12/28/1990	    0.02	    0.02	    0.02	    0.02
12/29/1990	    0.03	    0.02	    0.02	    0.02
12/30/1990	    0.03	    0.02	    0.02	    0.01
12/31/1990	    0.02	    0.02	    0.02	    0.01
01/01/1991	    0.02	    0.02	    0.02	    0.01
01/02/1991	    0.02	    0.02	    0.02	    0.01
01/03/1991	    0.02	    0.02	    0.02	    0.01
01/04/1991	    0.02	    0.02	    0.01	    0.01
01/05/1991	    0.01	    0.01	    0.01	    0.01
01/06/1991	    0.01	    0.01	    0.01	    0.01
01/07/1991	    0.01	    0.01	    0.01	    0.01
01/08/1991	    0.01	    0.01	    0.01	    0.01
01/09/1991	    0.01	    0.01	    0.01	    0.01
01/10/1991	    0.01	    0.01	    0.01	    0.01
01/11/1991	    0.01	    0.01	    0.01	    0.01
01/12/1991	    0.01	    0.01	    0.01	    0.01
01/13/1991	    0.01	    0.01	    0.01	    0.01
01/14/1991	    0.01	    0.01	    0.01	    0.01
01/15/1991	    0.01	    0.01	    0.01	    0.01
01/16/1991	    0.01	    0.01	    0.01	    0.01
01/17/1991	    0.01	    0.01	    0.01	    0.01
01/18/1991	    0.02	    0.01	    0.01	    0.01
01/19/1991	    0.02	    0.01	    0.02	    0.01
01/20/1991	    0.02	    0.01	    0.01	    0.01
01/21/1991	    0.01	    0.01	    0.01	    0.01
01/22/1991	    0.01	    0.01	    0.01	    0.01
01/23/1991	    0.01	    0.01	    0.01	    0.01
01/24/1991	    0.01	    0.01	    0.01	    0.01
01/25/1991	    0.01	    0.01	    0.01	    0.01
01/26/1991	    0.01	    0.00	    0.01	    0.01
01/27/1991	    0.01	    0.00	    0.00	    0.01
01/28/1991	    0.00	    0.00	    0.00	    0.00
01/29/1991	    0.00	    0.00	    0.00	    0.00
01/30/1991	    0.00	    0.00	    0.00	    0.00
01/31/1991	    0.01	    0.00	    0.00	    0.01
02/01/1991	    0.01	    0.01	    0.01	    0.01
02/02/1991	    0.01	    0.01	    0.01	    0.01
02/03/1991	    0.01	    0.01	    0.01	    0.01
02/04/1991	    0.08	    0.08	    0.01	    0.08
02/05/1991	    1.90	    0.08	    0.08	    1.00
02/06/1991	    5.83	    0.08	    1.90	    2.16
02/07/1991	    4.69	    4.69	    4.69	    4.69
02/08/1991	   13.80	    4.69	    4.69	    3.00
02/09/1991	   15.10	    4.69	    4.69	    1.92
02/10/1991	    4.69	    1.06	    2.72	    1.23
02/11/1991	    2.72	    1.06	    1.06	    0.79
02/12/1991	    1.06	    1.06	    0.17	    0.50
02/13/1991	    0.17	    0.09	    0.12	    0.17
02/14/1991	    0.12	    0.09	    0.09	    0.12
02/15/1991	    0.09	    0.09	    0.05	    0.09
02/16/1991	    0.05	    0.02	    0.04	    0.05
02/17/1991	    0.04	    0.02	    0.02	    0.04
02/18/1991	    0.02	    0.02	    0.02	    0.02
02/19/1991	    0.02	    0.01	    0.01	    0.02
02/20/1991	    0.01	    0.01	    0.01	    0.01
02/21/1991	    0.05	    0.01	    0.01	    0.02
02/22/1991	    1.37	    0.62	    0.05	    0.02
02/23/1991	    1.06	    0.62	    0.62	    0.02
02/24/1991	    0.62	    0.62	    0.07	    0.03
02/25/1991	    0.07	    0.05	    0.05	    0.03
02/26/1991	    0.05	    0.05	    0.05	    0.03
02/27/1991	    0.05	    0.05	    0.05	    0.04
02/28/1991	    0.05	    0.05	    0.05	    0.05
03/01/1991	    2.20	    0.05	    0.05	    0.08
03/02/1991	   95.81	    0.05	    2.20	    0.13
03/03/1991	    2.73	    0.69	    1.25	    0.23
03/04/1991	    1.25	    0.69	    0.69	    0.40
03/05/1991	    0.69	    0.69	    0.69	    0.69
03/06/1991	    9.48	    0.99	    0.69	    0.65
03/07/1991	    1.54	    0.99	    0.99	    0.61
03/08/1991	    0.99	    0.99	    0.53	    0.57
03/09/1991	    0.53	    0.53	    0.53	    0.53
03/10/1991	    1.25	    0.53	    0.53	    0.76
03/11/1991	    2.59	    0.53	    1.25	    1.08
03/12/1991	    2.60	    2.17	    2.17	    1.53
03/13/1991	    2.17	    2.17	    2.17	    2.17
03/14/1991	    2.39	    2.17	    2.17	    2.39
03/15/1991	    3.43	    3.43	    2.39	    3.43
03/16/1991	    7.05	    3.43	    3.43	    5.67
03/17/1991	    8.08	    3.43	    7.05	    7.81
03/18/1991	   11.27	   11.27	    8.08	   10.75
03/19/1991	   30.17	   11.27	   11.27	   14.81
03/20/1991	   20.40	   11.27	   20.40	   20.40
03/21/1991	   56.78	   10.12	   10.12	   14.37
03/22/1991	   10.12	   10.12	   10.12	   10.12
03/23/1991	   26.77	   10.12	    4.33	    4.88
03/24/1991	    4.33	    1.13	    1.13	    2.35
03/25/1991	    1.13	    1.13	    1.13	    1.13
03/26/1991	    1.14	    1.13	    1.13	    0.86
03/27/1991	    1.48	    0.44	    1.14	    0.65
03/28/1991	    1.35	    0.44	    0.44	    0.49
03/29/1991	    0.44	    0.44	    0.22	    0.37
03/30/1991	    0.22	    0.13	    0.14	    0.22
03/31/1991	    0.14	    0.13	    0.13	    0.14
04/01/1991	    0.13	    0.13	    0.11	    0.13
04/02/1991	    0.11	    0.06	    0.08	    0.11
04/03/1991	    0.08	    0.06	    0.06	    0.08
04/04/1991	    0.06	    0.06	    0.05	    0.06
04/05/1991	    0.05	    0.03	    0.04	    0.05
04/06/1991	    0.04	    0.03	    0.03	    0.04
04/07/1991	    0.03	    0.03	    0.03	    0.03
04/08/1991	    0.03	    0.03	    0.03	    0.03
04/09/1991	    0.21	    0.03	    0.03	    0.15
04/10/1991	   22.82	    0.03	    0.21	    0.34
04/11/1991	   23.00	    1.69	    1.69	    0.76
04/12/1991	    1.69	    1.69	    1.69	    1.69
04/13/1991	    6.82	    1.69	    1.69	    1.26
04/14/1991	  228.81	    2.92	    6.82	    0.94
04/15/1991	   22.52	    2.92	    2.92	    0.70
04/16/1991	    2.92	    2.92	    0.43	    0.52
04/17/1991	    0.43	    0.10	    0.14	    0.39
04/18/1991	    0.14	    0.10	    0.10	    0.14
04/19/1991	    0.10	    0.10	    0.08	    0.10
04/20/1991	    0.08	    0.06	    0.06	    0.08
04/21/1991	    0.06	    0.06	    0.06	    0.06
04/22/1991	    0.06	    0.06	    0.05	    0.06
04/23/1991	    0.05	    0.04	    0.04	    0.05
04/24/1991	    0.04	    0.04	    0.04	    0.04
04/25/1991	    0.04	    0.04	    0.04	    0.04
04/26/1991	    0.04	    0.04	    0.04	    0.03
04/27/1991	    0.04	    0.04	    0.04	    0.03
04/28/1991	    0.06	    0.04	    0.04	    0.03
04/29/1991	    0.05	    0.03	    0.04	    0.03
04/30/1991	    0.04	    0.03	    0.03	    0.03
05/01/1991	    0.03	    0.03	    0.03	    0.03
05/02/1991	    0.03	    0.02	    0.02	    0.02
05/03/1991	    0.02	    0.02	    0.02	    0.02
05/04/1991	    0.02	    0.02	    0.02	    0.02
05/05/1991	    0.03	    0.03	    0.02	    0.03
05/06/1991	    0.06	    0.03	    0.03	    0.03
05/07/1991	    0.06	    0.03	    0.05	    0.04
05/08/1991	    0.05	    0.05	    0.05	    0.05
05/09/1991	    0.09	    0.05	    0.05	    0.04
05/10/1991	    0.07	    0.05	    0.04	    0.04
05/11/1991	    0.04	    0.03	    0.04	    0.03
05/12/1991	    0.04	    0.03	    0.03	    0.03
05/13/1991	    0.03	    0.03	    0.02	    0.02
05/14/1991	    0.02	    0.02	    0.02	    0.02
05/15/1991	    0.02	    0.02	    0.02	    0.02
05/16/1991	    0.02	    0.02	    0.02	    0.02
05/17/1991	    0.42	    0.09	    0.02	    0.02
05/18/1991	    0.46	    0.09	    0.09	    0.02
05/19/1991	    0.09	    0.09	    0.03	    0.02
05/20/1991	    0.03	    0.02	    0.02	    0.02
05/21/1991	    0.02	    0.02	    0.02	    0.02
05/22/1991	    0.02	    0.02	    0.02	    0.02
05/23/1991	    0.03	    0.02	    0.02	    0.02
05/24/1991	    0.03	    0.02	    0.02	    0.02
05/25/1991	    0.02	    0.02	    0.02	    0.02
05/26/1991	    0.03	    0.03	    0.02	    0.02
05/27/1991	    0.03	    0.03	    0.03	    0.03
05/28/1991	    0.03	    0.03	    0.03	    0.03
05/29/1991	    0.04	    0.03	    0.03	    0.03
05/30/1991	    0.03	    0.03	    0.03	    0.03
05/31/1991	    0.21	    0.03	    0.03	    0.03
06/01/1991	    0.28	    0.13	    0.21	    0.03
06/02/1991	    0.41	    0.13	    0.13	    0.02
06/03/1991	    0.13	    0.13	    0.06	    0.02
06/04/1991	    0.06	    0.02	    0.04	    0.02
06/05/1991	    0.04	    0.02	    0.02	    0.02
06/06/1991	    0.02	    0.02	    0.01	    0.02
06/07/1991	    0.01	    0.00	    0.01	    0.01
06/08/1991	    0.01	    0.00	    0.00	    0.01
06/09/1991	    0.00	    0.00	    0.00	    0.00
06/10/1991	    0.00	    0.00	    0.00	    0.00
06/11/1991	    0.00	    0.00	    0.00	    0.00
06/12/1991	    0.00	    0.00	    0.00	    0.00
06/13/1991	    0.00	    0.00	    0.00	    0.00
06/14/1991	    5.22	    0.00	    0.00	    0.01
06/15/1991	    4.49	    0.00	    1.39	    0.00
06/16/1991	    1.39	    0.09	    0.33	    0.00
06/17/1991	    0.33	    0.09	    0.09	    0.00
06/18/1991	    0.09	    0.09	    0.02	    0.00
06/19/1991	    0.02	    0.00	    0.01	    0.00
06/20/1991	    0.01	    0.00	    0.00	    0.00
06/21/1991	    0.00	    0.00	    0.00	    0.00
06/22/1991	    0.00	    0.00	    0.00	    0.00
06/23/1991	    0.00	    0.00	    0.00	    0.00
06/24/1991	    0.00	    0.00	    0.00	    0.00
06/25/1991	    0.00	    0.00	    0.00	    0.00
06/26/1991	    0.00	    0.00	    0.00	    0.00
06/27/1991	    0.00	    0.00	    0.00	    0.00
06/28/1991	    0.00	    0.00	    0.00	    0.00
06/29/1991	    0.00	    0.00	    0.00	    0.00
06/30/1991	    0.00	    0.00	    0.00	    0.00
07/01/1991	    0.00	    0.00	    0.00	    0.00
07/02/1991	    0.00	    0.00	    0.00	    0.00
07/03/1991	    0.00	    0.00	    0.00	    0.00
07/04/1991	    0.00	    0.00	    0.00	    0.00
07/05/1991	    0.00	    0.00	    0.00	    0.00
07/06/1991	    0.00	    0.00	    0.00	    0.00
07/07/1991	    0.00	    0.00	    0.00	    0.00
07/08/1991	    0.00	    0.00	    0.00	    0.00
07/09/1991	    0.00	    0.00	    0.00	    0.00
07/10/1991	    0.00	    0.00	    0.00	    0.00
07/11/1991	    0.00	    0.00	    0.00	    0.00
07/12/1991	    0.00	    0.00	    0.00	    0.00
07/13/1991	    0.00	    0.00	    0.00	    0.00
07/14/1991	    0.00	    0.00	    0.00	    0.00
07/15/1991	    0.00	    0.00	    0.00	    0.00
07/16/1991	    0.00	    0.00	    0.00	    0.00
07/17/1991	    0.00	    0.00	    0.00	    0.00
07/18/1991	    0.00	    0.00	    0.00	    0.00
07/19/1991	    0.00	    0.00	    0.00	    0.00
07/20/1991	    0.00	    0.00	    0.00	    0.00
07/21/1991	    0.00	    0.00	    0.00	    0.00
07/22/1991	    0.00	    0.00	    0.00	    0.00
07/23/1991	    0.00	    0.00	    0.00	    0.00
07/24/1991	    0.00	    0.00	    0.00	    0.00
07/25/1991	    0.00	    0.00	    0.00	    0.00
07/26/1991	    0.00	    0.00	    0.00	    0.00
07/27/1991	    0.00	    0.00	    0.00	    0.00
07/28/1991	    0.00	    0.00	    0.00	    0.00
07/29/1991	    0.00	    0.00	    0.00	    0.00
07/30/1991	    0.00	    0.00	    0.00	    0.00
07/31/1991	    0.00	    0.00	    0.00	    0.00
08/01/1991	    0.00	    0.00	    0.00	    0.00
08/02/1991	    0.00	    0.00	    0.00	    0.00
08/03/1991	    0.00	    0.00	    0.00	    0.00
08/04/1991	    0.00	    0.00	    0.00	    0.00
08/05/1991	    0.00	    0.00	    0.00	    0.00
08/06/1991	    0.00	    0.00	    0.00	    0.00
08/07/1991	    0.00	    0.00	    0.00	    0.00
08/08/1991	    0.00	    0.00	    0.00	    0.00
08/09/1991	    0.00	    0.00	    0.00	    0.00
08/10/1991	    0.00	    0.00	    0.00	    0.00
08/11/1991	    0.00	    0.00	    0.00	    0.00
08/12/1991	    0.00	    0.00	    0.00	    0.00
08/13/1991	    0.00	    0.00	    0.00	    0.00
08/14/1991	    0.00	    0.00	    0.00	    0.00
08/15/1991	    0.00	    0.00	    0.00	    0.00
08/16/1991	    0.00	    0.00	    0.00	    0.00
08/17/1991	    0.00	    0.00	    0.00	    0.00
08/18/1991	    0.00	    0.00	    0.00	    0.00
08/19/1991	    0.00	    0.00	    0.00	    0.00
08/20/1991	    0.00	    0.00	    0.00	    0.00
08/21/1991	    0.00	    0.00	    0.00	    0.00
08/22/1991	    0.00	    0.00	    0.00	    0.00
08/23/1991	    0.00	    0.00	    0.00	    0.00
08/24/1991	    0.00	    0.00	    0.00	    0.00
08/25/1991	    0.00	    0.00	    0.00	    0.00
08/26/1991	    0.00	    0.00	    0.00	    0.00
08/27/1991	    0.00	    0.00	    0.00	    0.00
08/28/1991	    0.00	    0.00	    0.00	    0.00
08/29/1991	    0.00	    0.00	    0.00	    0.00
08/30/1991	    0.00	    0.00	    0.00	    0.00
08/31/1991	    0.00	    0.00	    0.00	    0.00
09/01/1991	    0.00	    0.00	    0.00	    0.00
09/02/1991	    0.00	    0.00	    0.00	    0.00
09/03/1991	    0.00	    0.00	    0.00	    0.00
09/04/1991	    0.00	    0.00	    0.00	    0.00
09/05/1991	    0.00	    0.00	    0.00	    0.00
09/06/1991	    0.00	    0.00	    0.00	    0.00
09/07/1991	    0.00	    0.00	    0.00	    0.00
09/08/1991	    0.00	    0.00	    0.00	    0.00
09/09/1991	    0.00	    0.00	    0.00	    0.00
09/10/1991	    0.00	    0.00	    0.00	    0.00
09/11/1991	    0.00	    0.00	    0.00	    0.00
09/12/1991	    0.00	    0.00	    0.00	    0.00
09/13/1991	    0.00	    0.00	    0.00	    0.00
09/14/1991	    0.00	    0.00	    0.00	    0.00
09/15/1991	    0.00	    0.00	    0.00	    0.00
09/16/1991	    0.00	    0.00	    0.00	    0.00
09/17/1991	    0.00	    0.00	    0.00	    0.00
09/18/1991	    0.00	    0.00	    0.00	    0.00
09/19/1991	    0.00	    0.00	    0.00	    0.00
09/20/1991	    0.00	    0.00	    0.00	    0.00
09/21/1991	    0.00	    0.00	    0.00	    0.00
09/22/1991	    0.00	    0.00	    0.00	    0.00
09/23/1991	    0.00	    0.00	    0.00	    0.00
09/24/1991	    0.00	    0.00	    0.00	    0.00
09/25/1991	    0.00	    0.00	    0.00	    0.00
09/26/1991	    0.00	    0.00	    0.00	    0.00
09/27/1991	    0.00	    0.00	    0.00	    0.00
09/28/1991	    0.00	    0.00	    0.00	    0.00
09/29/1991	    0.00	    0.00	    0.00	    0.00
09/30/1991	    0.00	    0.00	    0.00	    0.00
10/01/1991	    0.00	    0.00	    0.00	    0.00
10/02/1991	    0.00	    0.00	    0.00	    0.00
10/03/1991	    0.00	    0.00	    0.00	    0.00
10/04/1991	    0.00	    0.00	    0.00	    0.00
10/05/1991	    0.00	    0.00	    0.00	    0.00
10/06/1991	    0.00	    0.00	    0.00	    0.00
10/07/1991	    0.00	    0.00	    0.00	    0.00
10/08/1991	    0.00	    0.00	    0.00	    0.00
10/09/1991	    0.00	    0.00	    0.00	    0.00
10/10/1991	    0.00	    0.00	    0.00	    0.00
10/11/1991	    0.00	    0.00	    0.00	    0.00
10/12/1991	    0.00	    0.00	    0.00	    0.00
10/13/1991	    0.00	    0.00	    0.00	    0.00
10/14/1991	    0.00	    0.00	    0.00	    0.00
10/15/1991	    0.00	    0.00	    0.00	    0.00
10/16/1991	    0.00	    0.00	    0.00	    0.00
10/17/1991	    0.00	    0.00	    0.00	    0.00
10/18/1991	    0.00	    0.00	    0.00	    0.00
10/19/1991	    0.00	    0.00	    0.00	    0.00
10/20/1991	    0.00	    0.00	    0.00	    0.00
10/21/1991	    0.00	    0.00	    0.00	    0.00
10/22/1991	    0.00	    0.00	    0.00	    0.00
10/23/1991	    0.00	    0.00	    0.00	    0.00
10/24/1991	    0.00	    0.00	    0.00	    0.00
10/25/1991	    0.00	    0.00	    0.00	    0.00
10/26/1991	    0.00	    0.00	    0.00	    0.00
10/27/1991	    0.00	    0.00	    0.00	    0.00
10/28/1991	    0.00	    0.00	    0.00	    0.00
10/29/1991	    0.72	    0.12	    0.00	    0.02
10/30/1991	    0.99	    0.12	    0.12	    0.03
10/31/1991	    0.12	    0.12	    0.07	    0.04
11/01/1991	    0.07	    0.07	    0.07	    0.07
11/02/1991	    0.42	    0.07	    0.07	    0.06
11/03/1991	    0.20	    0.07	    0.12	    0.05
11/04/1991	    0.12	    0.05	    0.07	    0.04
11/05/1991	    0.07	    0.05	    0.05	    0.03
11/06/1991	    0.05	    0.05	    0.04	    0.03
11/07/1991	    0.04	    0.01	    0.02	    0.02
11/08/1991	    0.02	    0.01	    0.01	    0.02
11/09/1991	    0.01	    0.01	    0.01	    0.01
11/10/1991	    0.01	    0.01	    0.01	    0.01
11/11/1991	    0.01	    0.01	    0.01	    0.01
11/12/1991	    0.01	    0.01	    0.01	    0.01
11/13/1991	    0.01	    0.01	    0.01	    0.01
11/14/1991	    0.01	    0.01	    0.01	    0.01
11/15/1991	    0.04	    0.01	    0.01	    0.02
11/16/1991	    0.08	    0.07	    0.04	    0.04
11/17/1991	    0.07	    0.07	    0.07	    0.07
11/18/1991	    0.09	    0.07	    0.07	    0.06
11/19/1991	    0.13	    0.04	    0.07	    0.05
11/20/1991	    0.07	    0.04	    0.04	    0.04
11/21/1991	    0.04	    0.04	    0.03	    0.03
11/22/1991	    0.03	    0.03	    0.03	    0.03
11/23/1991	    0.15	    0.03	    0.03	    0.03
11/24/1991	    1.40	    0.03	    0.15	    0.02
11/25/1991	    0.16	    0.03	    0.06	    0.02
11/26/1991	    0.06	    0.03	    0.03	    0.02
11/27/1991	    0.03	    0.03	    0.02	    0.02
11/28/1991	    0.02	    0.02	    0.02	    0.02
11/29/1991	    0.02	    0.02	    0.02	    0.02
11/30/1991	   58.89	    0.02	    0.02	    0.02
12/01/1991	    4.36	    0.13	    0.34	    0.02
12/02/1991	    0.34	    0.13	    0.13	    0.02
12/03/1991	    0.13	    0.13	    0.08	    0.03
12/04/1991	    0.08	    0.05	    0.06	    0.03
12/05/1991	    0.06	    0.05	    0.05	    0.03
12/06/1991	    0.05	    0.05	    0.04	    0.03
12/07/1991	    0.04	    0.04	    0.04	    0.04
12/08/1991	    0.04	    0.04	    0.04	    0.04
12/09/1991	    0.08	    0.04	    0.04	    0.05
12/10/1991	    0.09	    0.08	    0.08	    0.06
12/11/1991	    0.08	    0.08	    0.08	    0.08
12/12/1991	   46.64	    0.08	    0.08	    0.07
12/13/1991	   16.55	    0.11	    1.18	    0.06
12/14/1991	    1.18	    0.11	    0.11	    0.06
12/15/1991	    0.11	    0.11	    0.08	    0.05
12/16/1991	    0.08	    0.04	    0.05	    0.04
12/17/1991	    0.05	    0.04	    0.04	    0.04
