"Date","(Modeled) Snow Water Equivalent (in)","(Observed) Snow Water Equivalent (in)","(Modeled) Snow Depth (in)","(Observed) Snow Depth (in)","(Modeled) Snow Density (%)","(Observed) Snow Density (%)","(Modeled) Snow Melt (in/hr)","Assimilate Period","Satellite Snow Cover","Date w/o Time","Hour","Forecasted from 0 UTC"
"2007-10-01 00:00:00",0.00,,0.00,,,,,,,"2007-10-01","00","n"
"2007-10-01 01:00:00",0.00,,0.00,,,,,,,"2007-10-01","01","n"
"2007-10-01 02:00:00",0.00,,0.00,,,,,,,"2007-10-01","02","n"
"2007-10-01 03:00:00",0.00,,0.00,,,,,,,"2007-10-01","03","n"
"2007-10-01 04:00:00",0.00,,0.00,,,,,,,"2007-10-01","04","n"
"2007-10-01 05:00:00",0.00,,0.00,,,,,,,"2007-10-01","05","n"
"2007-10-01 06:00:00",0.00,,0.00,0.00,,,,,,"2007-10-01","06","n"
"2007-10-01 07:00:00",0.00,,0.00,,,,,,,"2007-10-01","07","n"
"2007-10-01 08:00:00",0.00,,0.00,,,,,,,"2007-10-01","08","n"
"2007-10-01 09:00:00",0.00,,0.00,,,,,,,"2007-10-01","09","n"
"2007-10-01 10:00:00",0.00,,0.00,,,,,,,"2007-10-01","10","n"
"2007-10-01 11:00:00",0.00,,0.00,,,,,,,"2007-10-01","11","n"
"2007-10-01 12:00:00",0.00,,0.00,,,,,,,"2007-10-01","12","n"
"2007-10-01 13:00:00",0.00,,0.00,,,,,,,"2007-10-01","13","n"
"2007-10-01 14:00:00",0.00,,0.00,,,,,,,"2007-10-01","14","n"
"2007-10-01 15:00:00",0.00,,0.00,,,,,,,"2007-10-01","15","n"
"2007-10-01 16:00:00",0.00,,0.00,,,,,,,"2007-10-01","16","n"
"2007-10-01 17:00:00",0.00,,0.00,,,,,,,"2007-10-01","17","n"
"2007-10-01 18:00:00",0.00,,0.00,,,,,,,"2007-10-01","18","n"
"2007-10-01 19:00:00",0.00,,0.00,,,,,,,"2007-10-01","19","n"
"2007-10-01 20:00:00",0.00,,0.00,,,,,,,"2007-10-01","20","n"
"2007-10-01 21:00:00",0.00,,0.00,,,,,,,"2007-10-01","21","n"
"2007-10-01 22:00:00",0.00,,0.00,,,,,,,"2007-10-01","22","n"
