date	phos_tot	phos_storm	solids_tot	solids_storm	q_tot	q_storm
10/1/90	1.06	0.03	0.02	0	0.39	0.02
10/2/90	1.32	0.29	0.02	0	0.48	0.11
10/3/90	1.03	0	0.02	0	0.37	0
10/4/90	1.98	0.63	0.03	0.01	0.72	0.23
10/5/90	1.77	0.42	0.03	0.01	0.64	0.15
10/6/90	1.35	0	0.02	0	0.49	0
10/7/90	1.11	0	0.02	0	0.4	0
10/8/90	1.13	0.02	0.02	0	0.41	0.01
10/9/90	1.54	0.43	0.02	0	0.56	0.16
10/10/90	2.24	0	0.03	0	0.81	0
10/11/90	3.9	1.66	0.06	0.03	1.4	0.59
10/12/90	6.33	4.09	0.09	0.06	2.3	1.49
10/13/90	4.08	0	0.06	0	1.5	0
10/14/90	6.32	2.24	0.09	0.03	2.3	0.8
10/15/90	11.67	7.59	0.17	0.11	4.2	2.7
10/16/90	9.56	2.03	0.14	0.02	3.5	0.9
10/17/90	7.53	0	0.12	0	2.6	0
10/18/90	165.43	157.9	9.67	9.55	22	19.4
10/19/90	85.6	67.83	2.21	1.96	16	10.9
10/20/90	17.77	0	0.25	0	5.1	0
10/21/90	27.21	9.44	0.76	0.51	9.9	4.8
10/22/90	20.81	13.96	0.49	0.39	7.6	5.1
10/23/90	9.53	2.68	0.14	0.04	3.5	1
10/24/90	6.85	0	0.1	0	2.5	0
10/25/90	5.41	2.22	0.08	0.03	2	0.8
10/26/90	3.84	0.65	0.06	0.01	1.4	0.2
10/27/90	3.19	0	0.05	0	1.2	0
10/28/90	3.13	0.69	0.05	0.01	1.1	0.21
10/29/90	2.59	0.15	0.04	0	0.94	0.05
10/30/90	2.44	0	0.04	0	0.89	0
10/31/90	2.18	0.07	0.03	0	0.79	0.02
11/1/90	2.11	0	0.03	0	0.77	0
11/2/90	2.29	0.18	0.03	0	0.83	0.06
11/3/90	4.86	0	0.07	0	1.6	0
11/4/90	28.25	23.39	0.46	0.39	7.3	5.7
11/5/90	53.56	48.7	0.91	0.84	11	9.4
11/6/90	114.37	97.48	2.29	1.93	19	14.4
11/7/90	45.92	29.03	0.84	0.48	9	4.4
11/8/90	16.89	0	0.36	0	4.6	0
11/9/90	8.83	0	0.22	0	3.2	0
11/10/90	15.04	6.21	0.38	0.16	5.6	2.4
11/11/90	12.74	3.91	0.32	0.1	4.7	1.5
11/12/90	6.59	3.93	0.16	0.09	2.4	1.42
11/13/90	3.9	1.24	0.1	0.03	1.4	0.42
11/14/90	2.66	0	0.07	0	0.98	0
11/15/90	2.45	0	0.06	0	0.91	0
11/16/90	2.81	0.36	0.07	0.01	1	0.09
11/17/90	2.48	0.03	0.06	0	0.92	0.01
11/18/90	2.48	0.39	0.06	0.01	0.92	0.15
11/19/90	2.44	0.35	0.06	0.01	0.9	0.13
11/20/90	2.09	0	0.05	0	0.77	0
11/21/90	3.62	0	0.09	0	1.3	0
11/22/90	8.11	4.49	0.2	0.11	3	1.7
11/23/90	7.59	3.97	0.19	0.1	2.8	1.5
11/24/90	4.69	2.52	0.12	0.07	1.7	0.84
11/25/90	3.27	1.1	0.08	0.03	1.2	0.34
11/26/90	2.17	0	0.05	0	0.86	0
11/27/90	2.53	0	0.05	0	1.1	0
11/28/90	8.79	6.26	0.18	0.13	4	2.9
11/29/90	7.49	4.96	0.14	0.09	3.7	2.6
11/30/90	3.84	1.77	0.07	0.04	2	0.7
12/1/90	2.71	0.64	0.04	0.01	1.5	0.2
12/2/90	2.07	0	0.03	0	1.3	0
12/3/90	4.59	2.08	0.1	0.07	2.9	1
12/4/90	12	9.49	0.34	0.31	6.1	4.2
12/5/90	2.51	0	0.03	0	1.9	0
12/6/90	3.09	1.34	0.04	0.02	2.5	0.9
12/7/90	2.22	0.47	0.02	0	1.9	0.3
12/8/90	1.75	0	0.02	0	1.6	0
12/9/90	1.53	0	0.01	0	1.5	0
12/10/90	1.86	0.33	0.02	0.01	2	0.5
12/11/90	3.59	2.06	0.07	0.06	2.4	0.9
12/12/90	21	0	0.7	0	9.4	0
12/13/90	48.6	27.6	2.09	1.39	18	8.6
12/14/90	22.4	1.4	0.76	0.06	9.9	0.5
12/15/90	6.39	3.01	0.07	0.03	7	3.3
12/16/90	4.17	0.79	0.05	0.01	4.5	0.8
12/17/90	3.38	0	0.04	0	3.7	0
12/18/90	3.12	0.27	0.04	0	3.4	0.3
12/19/90	2.91	0.06	0.04	0	3.2	0.1
12/20/90	2.85	0	0.04	0	3.1	0
12/21/90	2.48	0.92	0.03	0.01	2.7	1
12/22/90	1.84	0.28	0.03	0.01	2	0.3
12/23/90	1.56	0	0.02	0	1.7	0
12/24/90	1.38	0.28	0.02	0	1.5	0.3
12/25/90	1.19	0.09	0.02	0	1.3	0.1
12/26/90	1.1	0	0.02	0	1.2	0
12/27/90	1.01	0	0.02	0	1.1	0
12/28/90	1.01	0	0.02	0	1.1	0
12/29/90	1.84	0.83	0.03	0.01	2	0.9
12/30/90	1.38	0.37	0.03	0.01	1.5	0.4
12/31/90	1.1	0.09	0.02	0	1.2	0.1
1/1/91	1.01	0	0.02	0	1.1	0
1/2/91	0.96	0.28	0.02	0	1	0.26
1/3/91	0.89	0.21	0.02	0	0.97	0.23
1/4/91	0.68	0	0.02	0	0.74	0
1/5/91	0.53	0.08	0.01	0	0.58	0.09
1/6/91	0.47	0.02	0.01	0	0.51	0.02
1/7/91	0.45	0	0.01	0	0.49	0
1/8/91	0.42	0	0.01	0	0.45	0
1/9/91	0.53	0.11	0.01	0	0.58	0.13
1/10/91	0.44	0.02	0.01	0	0.48	0.03
1/11/91	0.39	0	0.01	0	0.43	0.01
1/12/91	0.39	0	0.01	0	0.42	0
1/13/91	0.41	0.02	0.01	0	0.45	0.03
1/14/91	0.4	0.01	0.01	0	0.43	0.01
1/15/91	0.41	0.02	0.01	0	0.45	0.03
1/16/91	0.39	0	0.01	0	0.42	0
1/17/91	0.39	0	0.01	0	0.42	0
1/18/91	0.41	0.02	0.02	0.01	0.45	0.03
1/19/91	0.44	0.05	0.02	0.01	0.48	0.06
1/20/91	0.48	0.21	0.02	0.01	0.52	0.22
1/21/91	0.32	0.05	0.01	0	0.35	0.05
1/22/91	0.27	0	0.01	0	0.3	0
1/23/91	0.23	0.03	0.01	0	0.26	0.03
1/24/91	0.21	0.01	0.01	0	0.24	0.01
1/25/91	0.2	0	0.01	0	0.23	0
1/26/91	0.19	0.02	0.01	0.01	0.22	0.02
1/27/91	0.18	0.01	0.01	0.01	0.21	0.01
1/28/91	0.17	0	0	0	0.2	0
1/29/91	0.16	0	0	0	0.2	0
1/30/91	0.19	0.03	0	0	0.2	0
1/31/91	0.24	0.08	0.01	0.01	0.2	0
2/1/91	0.33	0	0.01	0	0.22	0
2/2/91	0.5	0.17	0.01	0	0.27	0.05
2/3/91	0.83	0.5	0.01	0	0.36	0.14
2/4/91	5.42	0	0.08	0	1.8	0
2/5/91	61.26	55.84	1.9	1.82	17	15.2
2/6/91	106	100.58	5.83	5.75	33	31.2
2/7/91	150	0	4.69	0	29	0
2/8/91	267.92	117.92	13.8	9.11	55	26
2/9/91	253.24	103.24	15.1	10.41	58	29
2/10/91	111.94	72.57	4.69	3.63	29	17
2/11/91	75.55	36.18	2.72	1.66	21	9
2/12/91	39.37	0	1.06	0	12	0
2/13/91	13.3	6.48	0.17	0.08	4.7	1.7
2/14/91	9.89	3.07	0.12	0.03	3.9	0.9
2/15/91	6.82	0	0.09	0	3	0
2/16/91	4.08	2.43	0.05	0.03	2	1
2/17/91	2.74	1.09	0.04	0.02	1.5	0.5
2/18/91	1.65	0	0.02	0	1	0
2/19/91	1.41	0.35	0.02	0.01	0.87	0.21
2/20/91	1.06	0	0.01	0	0.66	0
2/21/91	3.2	2.14	0.05	0.04	2	1.34
2/22/91	35.1	15.8	1.37	0.75	14	5.2
2/23/91	28.8	9.5	1.06	0.44	12	3.2
2/24/91	19.3	0	0.62	0	8.8	0
2/25/91	5.35	1.79	0.07	0.02	3.3	1.1
2/26/91	4.05	0.49	0.05	0	2.5	0.3
2/27/91	3.56	0	0.05	0	2.2	0
2/28/91	3.4	0	0.05	0	2.1	0
3/1/91	25.76	22.36	2.2	2.15	14	11.9
3/2/91	1713.79	1710.39	95.81	95.76	263	260.9
3/3/91	118.32	96.56	2.73	2.04	32	22
3/4/91	48.98	27.22	1.25	0.56	19	9
3/5/91	21.76	0	0.69	0	10	0
3/6/91	399.46	369.65	9.48	8.49	88	72
3/7/91	74.47	44.66	1.54	0.55	25	9
3/8/91	29.81	0	0.99	0	16	0
3/9/91	13.35	0	0.53	0	7.7	0
3/10/91	29.4	16.05	1.25	0.72	15	7.3
3/11/91	58.5	45.15	2.59	2.06	28	20.3
3/12/91	55.95	11.5	2.6	0.43	25	7
3/13/91	44.45	0	2.17	0	18	0
3/14/91	46.71	2.26	2.39	0.22	18	0
3/15/91	63.24	0	3.43	0	22	0
3/16/91	124.12	60.88	7.05	3.62	39	17
3/17/91	135.83	72.59	8.08	4.65	39	17
3/18/91	175.71	0	11.27	0	45	0
3/19/91	343.77	168.06	30.17	18.9	86	41
3/20/91	247.84	72.13	20.4	9.13	76	31
3/21/91	456.67	332.4	56.78	46.66	125	85
3/22/91	124.27	0	10.12	0	40	0
3/23/91	289.27	165	26.77	16.65	83	43
3/24/91	136.69	94.21	4.33	3.2	46	31
3/25/91	42.48	0	1.13	0	15	0
3/26/91	45.02	2.54	1.14	0.01	16	1
3/27/91	61.4	41.39	1.48	1.04	23	14.8
3/28/91	58.38	38.37	1.35	0.91	23	14.8
3/29/91	20.01	0	0.44	0	8.2	0
