DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/1/1990	0.39	0.37	0.39	0
10/2/1990	0.48	0.37	0.37	0
10/3/1990	0.37	0.37	0.37	0.37
10/4/1990	0.72	0.49	0.37	0.38
10/5/1990	0.64	0.49	0.49	0.38
10/6/1990	0.49	0.49	0.4	0.39
10/7/1990	0.4	0.4	0.4	0.4
10/8/1990	0.41	0.4	0.4	0.41
10/9/1990	0.56	0.4	0.41	0.56
10/10/1990	0.81	0.81	0.56	0.77
10/11/1990	1.4	0.81	0.81	0.97
10/12/1990	2.3	0.81	1.4	1.2
10/13/1990	1.5	1.5	1.5	1.5
10/14/1990	2.3	1.5	1.5	1.72
10/15/1990	4.2	1.5	2.3	1.97
10/16/1990	3.5	2.6	2.6	2.27
10/17/1990	2.6	2.6	2.6	2.6
10/18/1990	22	2.6	2.6	3.25
10/19/1990	16	5.1	5.1	4.07
10/20/1990	5.1	5.1	5.1	5.1
10/21/1990	9.9	5.1	5.1	4.36
10/22/1990	7.6	2.5	3.5	3.72
10/23/1990	3.5	2.5	2.5	3.18
10/24/1990	2.5	2.5	2	2.5
10/25/1990	2	1.2	1.4	2
10/26/1990	1.4	1.2	1.2	1.4
10/27/1990	1.2	1.2	1.1	1.2
10/28/1990	1.1	0.89	0.94	1.1
10/29/1990	0.94	0.89	0.89	0.94
10/30/1990	0.89	0.89	0.79	0.89
10/31/1990	0.79	0.77	0.77	0.79
11/1/1990	0.77	0.77	0.77	0.77
11/2/1990	0.83	0.77	0.77	0.83
11/3/1990	1.6	1.6	0.83	1.1
11/4/1990	7.3	1.6	1.6	1.31
11/5/1990	11	1.6	7.3	1.57
11/6/1990	19	4.6	9	1.88
11/7/1990	9	4.6	4.6	2.24
11/8/1990	4.6	4.6	3.2	2.68
11/9/1990	3.2	3.2	3.2	3.2
11/10/1990	5.6	3.2	3.2	2.59
11/11/1990	4.7	3.2	2.4	2.1
11/12/1990	2.4	0.98	1.4	1.71
11/13/1990	1.4	0.98	0.98	1.38
11/14/1990	0.98	0.98	0.91	0.98
11/15/1990	0.91	0.91	0.91	0.91
11/16/1990	1	0.91	0.91	0.91
11/17/1990	0.92	0.91	0.92	0.92
11/18/1990	0.92	0.77	0.9	0.87
11/19/1990	0.9	0.77	0.77	0.82
11/20/1990	0.77	0.77	0.77	0.77
11/21/1990	1.3	1.3	0.77	0.78
11/22/1990	3	1.3	1.3	0.8
11/23/1990	2.8	1.3	1.7	0.81
11/24/1990	1.7	0.86	1.2	0.83
11/25/1990	1.2	0.86	0.86	0.84
11/26/1990	0.86	0.86	0.86	0.86
11/27/1990	1.1	1.1	0.86	0.92
11/28/1990	4	1.1	1.1	0.99
11/29/1990	3.7	1.1	2	1.06
11/30/1990	2	1.3	1.5	1.13
12/1/1990	1.5	1.3	1.3	1.21
12/2/1990	1.3	1.3	1.3	1.3
12/3/1990	2.9	1.9	1.3	1.48
