storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,3,10/3/90 10:15,10/3/90 17:20,1,0.39,1.68,1.02,0.8,0.52,0.3,1.617,7.083,0.055,0,0,0,75,41,57,0.36,0,0,P,,,1,,10/3/90,10/5/90,10,1990,1.98,4.78,1.59,0.63,1.05,0.35,0.03,0.08,0.03,0.01,0.02,0.01,0.72,1.73,0.58,0.23,0.38,0.13,0,0.39
2,3,10/10/90 7:25,10/10/90 21:10,1,0.36,0.12,0.12,0.12,0.12,0.1,0.264,13.75,0.026,0,0.09,0.09,58,31,43,0.37,0,0,P,,,1,,10/10/90,10/12/90,10,1990,6.33,12.47,4.16,4.09,5.75,1.92,0.09,0.18,0.06,0.06,0.09,0.03,2.3,4.51,1.5,1.49,2.08,0.69,0,0.36
3,3,10/14/90 5:05,10/14/90 9:45,1,0.21,0.48,0.36,0.32,0.26,0.17,0.38,4.667,0.045,0,0,0.36,65,38,51,0.19,0,0,P,,,1,,10/14/90,10/16/90,10,1990,11.67,27.55,9.18,7.59,11.86,3.95,0.17,0.4,0.13,0.11,0.16,0.05,4.2,10,3.33,2.7,4.4,1.47,0,0.21
4,3,10/17/90 20:05,10/17/90 21:35,1,0.38,0.96,0.78,0.8,0.52,0.36,1.571,1.5,0.253,0.18,0.25,0.46,73,29,48,0.64,0,0,P,,,1,,10/17/90,10/19/90,10,1990,165.43,258.56,86.19,157.9,225.73,75.24,9.67,12,4,9.55,11.51,3.84,22,40.6,13.53,19.4,30.3,10.1,0,0.38
5,4,10/20/90 19:30,10/21/90 3:35,1,0.33,0.24,0.24,0.2,0.14,0.11,0.296,8.083,0.041,0,0.46,0.64,58,27,45,0.43,0,0,P,,,1,,10/20/90,10/23/90,10,1990,27.21,75.32,18.83,13.96,26.08,6.52,0.76,1.64,0.41,0.51,0.94,0.24,9.9,26.1,6.53,5.1,10.9,2.73,0,0.33
6,6,11/2/90 19:30,11/3/90 13:45,1,0.51,1.08,0.78,0.64,0.44,0.29,1.608,18.25,0.028,0,0,0,72,24,41,1,0.7,1.7,P,S,M,2,0.00%,11/2/90,11/7/90,11,1990,114.37,249.25,41.54,97.48,198.78,33.13,2.29,4.6,0.77,1.93,3.64,0.61,19,48.73,8.12,14.4,33.96,5.66,NA,NA
7,5,,,,,,,,,,,,,,,,44,22,33,0.09,0.5,1.5,P,S,M,3,0.00%,11/9/90,11/13/90,11,1990,15.04,47.1,9.42,6.21,15.29,3.06,0.38,1.18,0.24,0.16,0.38,0.08,5.6,17.3,3.46,2.4,5.74,1.15,NA,NA
8,5,11/21/90 4:20,11/21/90 10:10,1,0.3,0.36,0.3,0.28,0.24,0.18,0.475,5.833,0.051,0,0,0,62,22,40,0.27,0,U,P,,M,2,,11/21/90,11/25/90,11,1990,8.11,27.28,5.46,4.49,12.08,2.42,0.2,0.68,0.14,0.11,0.31,0.06,3,10,2,1.7,4.38,0.88,NA,NA
9,5,,,,,,,,,,,,,,,,63,20,39,0.14,0,U,P,,M,3,,11/27/90,12/1/90,11,1990,8.79,25.36,5.07,6.26,13.63,2.73,0.18,0.48,0.1,0.13,0.27,0.05,4,12.3,2.46,2.9,6.4,1.28,NA,NA
10,2,,,,,,,,,,,,,,,,32,6,22,0.92,14.4,4.4,P,S,M,3,14.62%,12/3/90,12/4/90,12,1990,12,16.59,8.3,9.49,11.57,5.79,0.34,0.44,0.22,0.31,0.38,0.19,6.1,9,4.5,4.2,5.2,2.6,0.64,0.64
11,3,,,,,,,,,,,,,,,,34,5,22,0,0,4,,,M,5,17.34%,12/5/90,12/7/90,12,1990,3.09,7.82,2.61,1.34,1.81,0.6,0.04,0.09,0.03,0.02,0.02,0.01,2.5,6.3,2.1,0.9,1.2,0.4,0.69,0.69
12,3,,,,,,,,,,,,,,,,44,27,36,0,0,3,,,M,5,21.11%,12/9/90,12/11/90,12,1990,3.59,6.98,2.33,2.06,2.39,0.8,0.07,0.1,0.03,0.06,0.07,0.02,2.4,5.9,1.97,0.9,1.4,0.47,0.63,0.63
13,4,,,,,,,,,,,,,,,,34,11,25,0.35,4.6,1.6,P,S,M,3,34.17%,12/13/90,12/16/90,12,1990,48.6,81.56,20.39,27.6,32.8,8.2,2.09,2.97,0.74,1.39,1.49,0.37,18,39.4,9.85,8.6,13.2,3.3,0.55,0.55
14,3,,,,,,,,,,,,,,,,34,11,26,0.45,5.4,3.4,P,S,M,3,11.70%,12/17/90,12/19/90,12,1990,3.38,9.41,3.14,0.27,0.33,0.11,0.04,0.12,0.04,0,0,0,3.7,10.3,3.43,0.3,0.4,0.13,0.4,0.4
15,3,12/20/90 1:20,12/20/90 10:45,1,0.35,0.24,0.12,0.12,0.08,0.05,0.173,9.417,0.037,0,0.07,0.12,38,-8,26,0.05,0,2,P,,M,2,15.33%,12/20/90,12/22/90,12,1990,2.85,7.17,2.39,0.92,1.2,0.4,0.04,0.1,0.03,0.01,0.02,0.01,3.1,7.8,2.6,1,1.3,0.43,0.31,0.66
16,4,12/28/90 21:35,12/29/90 3:55,1,0.37,1.8,1.02,0.72,0.42,0.27,1.279,6.333,0.058,0,0.01,0.01,33,-10,15,0.32,2,1,P,S,M,2,17.67%,12/28/90,12/31/90,12,1990,1.84,5.33,1.33,0.83,1.29,0.32,0.03,0.1,0.03,0.01,0.02,0.01,2,5.8,1.45,0.9,1.4,0.35,0.18,0.55
17,2,,,,,,,,,,,,,,,,20,-2,11,0.24,3.1,1.1,P,S,M,3,19.50%,1/5/91,1/6/91,1,1991,0.53,1,0.5,0.08,0.1,0.05,0.01,0.02,0.01,0,0,0,0.58,1.09,0.55,0.09,0.11,0.06,0.21,0.21
18,3,,,,,,,,,,,,,,,,32,3,16,0.06,1,1,P,S,M,3,16.67%,1/8/91,1/10/91,1,1991,0.53,1.39,0.46,0.11,0.13,0.04,0.01,0.03,0.01,0,0,0,0.58,1.51,0.5,0.13,0.16,0.05,0.17,0.17
19,4,,,,,,,,,,,,,,,,37,4,25,0,0,2,,,M,5,19.19%,1/12/91,1/15/91,1,1991,0.41,1.61,0.4,0.02,0.05,0.01,0.01,0.04,0.01,0,0,0,0.45,1.75,0.44,0.03,0.07,0.02,0.38,0.38
20,5,,,,,,,,,,,,,,,,40,-5,22,0,0,2,,,M,5,29.76%,1/17/91,1/21/91,1,1991,0.48,2.04,0.41,0.21,0.33,0.07,0.02,0.08,0.02,0.01,0.03,0.01,0.52,2.22,0.44,0.22,0.36,0.07,0.6,0.6
21,3,,,,,,,,,,,,,,,,30,-10,9,0.02,0.4,0.4,P,S,M,3,27.78%,1/22/91,1/24/91,1,1991,0.27,0.71,0.24,0.03,0.04,0.01,0.01,0.03,0.01,0,0,0,0.3,0.8,0.27,0.03,0.04,0.01,0.11,0.11
22,3,,,,,,,,,,,,,,,,42,26,35,0,0,2,,,M,5,34.72%,2/4/91,2/6/91,2,1991,106,172.68,57.56,100.58,156.42,52.14,5.83,7.81,2.6,5.75,7.57,2.52,33,51.8,17.27,31.2,46.4,15.47,0.69,0.69
23,5,,,,,,,,,,,,,,,,45,9,29,0,0,1,,,M,5,,2/7/91,2/11/91,2,1991,267.92,858.65,171.73,117.92,329.91,65.98,15.1,41,8.2,10.41,24.81,4.96,58,192,38.4,29,81,16.2,NA,NA
