date	phos_tot	phos_storm	solids_tot	solids_storm
10/1/1984	0.54	0.52	0.2	0.2
10/2/1984	0.53	0.52	0.2	0.2
10/3/1984	0.52	0.52	0.2	0.2
10/4/1984	0.52	0.5	0.2	0.2
10/5/1984	0.51	0.5	0.2	0.2
10/6/1984	0.5	0.5	0.2	0.2
10/7/1984	0.6	0.46	0.25	0.19
10/8/1984	0.51	0.46	0.21	0.19
10/9/1984	0.46	0.46	0.19	0.19
10/10/1984	0.49	0.49	0.21	0.21
10/11/1984	0.55	0.49	0.23	0.21
10/12/1984	0.68	0.49	0.29	0.21
10/13/1984	0.66	0.66	0.27	0.27
10/14/1984	0.69	0.66	0.27	0.27
10/15/1984	0.76	0.66	0.3	0.27
10/16/1984	4.47	4.47	0.6	0.6
10/17/1984	28	4.47	0.7	0.6
10/18/1984	51	4.47	3.7	0.6
10/19/1984	145	2.89	34	0.58
10/20/1984	4.55	2.89	1.1	0.58
10/21/1984	2.89	2.89	0.58	0.58
10/22/1984	2.37	1.68	0.4	0.35
10/23/1984	1.94	1.68	0.36	0.35
10/24/1984	1.68	1.68	0.35	0.35
10/25/1984	1.42	1.37	0.34	0.34
10/26/1984	1.37	1.37	0.37	0.34
10/27/1984	2.8	1.37	0.6	0.34
10/28/1984	18	0.85	2.7	0.38
10/29/1984	2.5	0.85	0.55	0.38
10/30/1984	0.85	0.85	0.38	0.38
10/31/1984	0.82	0.82	0.36	0.36
11/1/1984	62	0.82	6.9	0.36
11/2/1984	4.67	0.82	1.1	0.36
11/3/1984	1	0.77	0.48	0.41
11/4/1984	0.82	0.77	0.44	0.41
11/5/1984	0.77	0.77	0.41	0.41
11/6/1984	0.73	0.73	0.39	0.39
11/7/1984	0.74	0.73	0.39	0.39
11/8/1984	0.77	0.73	0.4	0.39
11/9/1984	3.7	2	1	0.72
11/10/1984	9	2	1.7	0.72
11/11/1984	2	2	0.72	0.72
11/12/1984	0.85	0.78	0.44	0.4
11/13/1984	0.81	0.78	0.41	0.4
11/14/1984	0.78	0.78	0.4	0.4
11/15/1984	0.78	0.75	0.39	0.38
11/16/1984	0.78	0.75	0.39	0.38
11/17/1984	0.75	0.75	0.38	0.38
11/18/1984	0.68	0.57	0.34	0.28
11/19/1984	0.6	0.57	0.3	0.28
11/20/1984	0.57	0.57	0.28	0.28
11/21/1984	0.53	0.53	0.26	0.26
11/22/1984	0.57	0.53	0.28	0.26
11/23/1984	0.6	0.53	0.29	0.26
11/24/1984	0.7	0.68	0.31	0.31
