DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1984	    1.30	    1.30	    1.30	    0.00
10/02/1984	    1.30	    1.30	    1.30	    1.30
10/03/1984	    1.30	    1.30	    1.30	    1.30
10/04/1984	    1.30	    1.30	    1.30	    1.30
10/05/1984	    1.30	    1.30	    1.30	    1.30
10/06/1984	    1.30	    1.30	    1.30	    1.30
10/07/1984	    1.60	    1.20	    1.30	    1.27
10/08/1984	    1.30	    1.20	    1.20	    1.23
10/09/1984	    1.20	    1.20	    1.20	    1.20
10/10/1984	    1.30	    1.30	    1.20	    1.30
10/11/1984	    1.50	    1.30	    1.30	    1.43
10/12/1984	    1.80	    1.30	    1.50	    1.56
10/13/1984	    1.70	    1.70	    1.70	    1.70
10/14/1984	    1.70	    1.70	    1.70	    1.70
10/15/1984	    1.90	    1.70	    1.70	    1.71
10/16/1984	    2.30	    2.30	    1.90	    1.72
10/17/1984	    3.30	    2.30	    2.30	    1.73
10/18/1984	    3.80	    2.30	    3.30	    1.74
10/19/1984	   16.00	    2.10	    2.70	    1.75
10/20/1984	    2.70	    2.10	    2.10	    1.77
10/21/1984	    2.10	    2.10	    2.00	    1.78
10/22/1984	    2.00	    1.80	    1.80	    1.79
10/23/1984	    1.80	    1.80	    1.80	    1.80
10/24/1984	    1.80	    1.80	    1.70	    1.75
10/25/1984	    1.70	    1.70	    1.70	    1.70
10/26/1984	    1.90	    1.70	    1.70	    1.72
10/27/1984	    2.30	    1.70	    1.90	    1.73
10/28/1984	    4.70	    1.90	    2.20	    1.75
10/29/1984	    2.20	    1.90	    1.90	    1.77
10/30/1984	    1.90	    1.90	    1.80	    1.78
10/31/1984	    1.80	    1.80	    1.80	    1.80
11/01/1984	    5.70	    1.80	    1.80	    1.92
11/02/1984	    2.50	    1.80	    2.20	    2.06
11/03/1984	    2.20	    2.10	    2.20	    2.20
11/04/1984	    2.20	    2.10	    2.10	    2.13
11/05/1984	    2.10	    2.10	    2.00	    2.06
11/06/1984	    2.00	    2.00	    2.00	    2.00
11/07/1984	    2.00	    2.00	    2.00	    2.00
11/08/1984	    2.10	    2.00	    2.00	    2.01
11/09/1984	    2.90	    2.50	    2.10	    2.03
11/10/1984	    3.60	    2.50	    2.50	    2.04
11/11/1984	    2.50	    2.50	    2.30	    2.06
11/12/1984	    2.30	    2.10	    2.20	    2.07
11/13/1984	    2.20	    2.10	    2.10	    2.09
11/14/1984	    2.10	    2.10	    2.10	    2.10
11/15/1984	    2.10	    2.00	    2.10	    2.10
11/16/1984	    2.10	    2.00	    2.00	    1.96
11/17/1984	    2.00	    2.00	    1.80	    1.83
11/18/1984	    1.80	    1.50	    1.60	    1.71
11/19/1984	    1.60	    1.50	    1.50	    1.60
11/20/1984	    1.50	    1.50	    1.40	    1.50
11/21/1984	    1.40	    1.40	    1.40	    1.40
11/22/1984	    1.50	    1.40	    1.40	    1.44
11/23/1984	    1.60	    1.40	    1.50	    1.49
11/24/1984	    1.70	    1.70	    1.60	    1.54
11/25/1984	    1.80	    1.70	    1.70	    1.59
11/26/1984	    1.90	    1.70	    1.80	    1.64
11/27/1984	    2.30	    1.80	    1.90	    1.69
11/28/1984	    2.00	    1.80	    1.80	    1.74
11/29/1984	    1.80	    1.80	    1.80	    1.80
11/30/1984	    1.80	    1.60	    1.70	    1.72
12/01/1984	    1.70	    1.60	    1.60	    1.64
12/02/1984	    1.60	    1.60	    1.50	    1.57
12/03/1984	    1.50	    1.40	    1.50	    1.50
12/04/1984	    1.50	    1.40	    1.40	    1.42
12/05/1984	    1.40	    1.40	    1.30	    1.34
12/06/1984	    1.30	    1.20	    1.20	    1.27
12/07/1984	    1.20	    1.20	    1.20	    1.20
12/08/1984	    1.30	    1.20	    1.20	    1.26
12/09/1984	    1.40	    1.40	    1.30	    1.33
12/10/1984	    1.40	    1.40	    1.40	    1.40
12/11/1984	    1.40	    1.40	    1.40	    1.40
12/12/1984	    1.40	    1.40	    1.40	    1.40
12/13/1984	    1.40	    1.40	    1.40	    1.40
12/14/1984	    1.80	    1.40	    1.40	    1.45
12/15/1984	    1.50	    1.50	    1.50	    1.50
12/16/1984	    3.20	    1.50	    1.50	    1.48
12/17/1984	    2.30	    1.50	    1.80	    1.46
12/18/1984	    1.80	    1.40	    1.50	    1.44
12/19/1984	    1.50	    1.40	    1.40	    1.42
12/20/1984	    1.40	    1.40	    1.40	    1.40
12/21/1984	    1.60	    1.40	    1.40	    1.37
12/22/1984	    1.50	    1.40	    1.40	    1.35
12/23/1984	    1.40	    1.40	    1.30	    1.32
12/24/1984	    1.30	    1.30	    1.30	    1.30
12/25/1984	    1.50	    1.30	    1.30	    1.30
12/26/1984	    2.60	    1.30	    1.50	    1.30
12/27/1984	    3.00	    3.00	    2.60	    1.30
12/28/1984	   17.00	    3.00	    3.00	    1.30
12/29/1984	    3.30	    3.00	    2.10	    1.30
12/30/1984	    2.10	    1.40	    1.50	    1.30
12/31/1984	    1.50	    1.40	    1.40	    1.30
01/01/1985	    1.40	    1.40	    1.30	    1.30
01/02/1985	    1.30	    1.30	    1.30	    1.30
01/03/1985	    1.40	    1.30	    1.30	    1.36
01/04/1985	    1.50	    1.30	    1.40	    1.43
01/05/1985	    1.50	    1.40	    1.50	    1.50
01/06/1985	    1.50	    1.40	    1.40	    1.45
01/07/1985	    1.40	    1.40	    1.40	    1.40
01/08/1985	    1.40	    1.40	    1.40	    1.40
01/09/1985	    1.40	    1.40	    1.40	    1.40
01/10/1985	    1.40	    1.40	    1.40	    1.40
01/11/1985	    1.40	    1.40	    1.40	    1.40
01/12/1985	    1.40	    1.40	    1.40	    1.40
01/13/1985	    1.50	    1.40	    1.40	    1.40
01/14/1985	    1.60	    1.40	    1.50	    1.40
01/15/1985	    1.50	    1.40	    1.40	    1.40
01/16/1985	    1.40	    1.40	    1.40	    1.40
01/17/1985	    1.40	    1.30	    1.40	    1.40
01/18/1985	    1.40	    1.30	    1.30	    1.33
01/19/1985	    1.30	    1.30	    1.20	    1.26
01/20/1985	    1.20	    1.20	    1.20	    1.20
01/21/1985	    1.30	    1.20	    1.20	    1.25
01/22/1985	    1.30	    1.20	    1.30	    1.30
01/23/1985	    1.30	    1.30	    1.30	    1.30
