storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,3,10/7/88 19:34,10/8/88 9:05,1,0.5,0.36,0.3,0.32,0.3,0.22,1.359,13.52,0.04,0,0,NA,72,51,63,0.39,0,0,P,,,1,,10/7/1988,10/9/1988,10,1984,0.6,1.61,0.54,0.14,0.19,0.06,0.25,0.66,0.22,0.06,0.08,0.03,1.6,4.2,1.4,0.4,0.5,0.17,0,0.5
2,5,10/17/88 11:29,10/20/88 0:10,2,3.56,2.04,1.26,1.28,0.98,0.66,31.94,60.68,0.06,0.14,0.23,0.46,69,35,51,3.49,0,0,P,,,1,,10/17/1988,10/21/1988,10,1984,145,233.02,46.6,142.11,213.83,42.77,34,40.1,8.02,33.42,37.14,7.43,16,28.1,5.62,13.9,17,3.4,0,3.56
3,3,10/28/88 11:39,10/28/88 21:00,1,0.9,1.68,1.2,1,0.84,0.53,7.317,9.35,0.1,0.02,0.23,0.24,67,21,45,0.53,0,0,P,,,1,,10/28/1988,10/30/1988,10,1984,18,23.3,7.77,17.15,20.23,6.74,2.7,3.85,1.28,2.32,2.75,0.92,4.7,9.2,3.07,2.8,3.7,1.23,0,0.9
4,5,11/1/88 14:04,11/2/88 6:05,1,0.93,0.96,0.96,0.84,0.6,0.42,5.303,16.02,0.06,0,0.01,0.92,60,18,38,1.15,0,0,P,,,1,,11/1/1988,11/5/1988,10,1984,62,69.31,13.86,61.18,65.31,13.06,6.9,9.28,1.86,6.54,7.38,1.48,5.7,14.4,2.88,3.9,4.8,0.96,0,0.93
5,2,11/10/88 3:19,11/10/88 18:05,1,0.69,1.44,0.96,0.76,0.38,0.19,2.49,14.77,0.05,0,0.07,0.08,48,29,39,0.68,0,0,P,,,1,,11/10/1988,11/11/1988,11,1984,9,12.7,6.35,7,8.7,4.35,1.7,2.7,1.35,0.98,1.26,0.63,3.6,6.5,3.25,1.1,1.5,0.75,0,0.69
6,3,,,,,,,,,,,,,,,,40,12,26,0.01,0.1,U,P,S,M,3,,11/18/1988,11/20/1988,11,1984,0.75,2.03,0.68,0.11,0.14,0.05,0.38,1.02,0.34,0.06,0.08,0.03,2,5.4,1.8,0.3,0.4,0.13,NA,NA
7,3,,,,,,,,,,,,,,,,47,23,34,0,0,Z,,,M,6,,11/23/1988,11/25/1988,11,1984,0.7,1.87,0.62,0.07,0.13,0.04,0.31,0.88,0.29,0.03,0.05,0.02,1.7,4.8,1.6,0.2,0.3,0.1,NA,NA
8,4,,,,,,,,,,,,,,,,60,26,40,0.33,0,U,P,,M,3,,11/26/1988,11/29/1988,11,1984,0.88,3.07,0.77,0.16,0.27,0.07,0.6,1.76,0.44,0.24,0.42,0.11,2.3,8,2,0.5,1,0.25,NA,NA
9,2,,,,,,,,,,,,,,,,33,20,28,0.04,0.4,U,P,S,M,3,,12/1/1988,12/2/1988,11,1984,0.7,1.34,0.67,0.1,0.14,0.07,0.32,0.62,0.31,0.03,0.04,0.02,1.8,3.5,1.75,0.2,0.3,0.15,NA,NA
10,2,,,,,,,,,,,,,,,,21,6,14,0,0,0.2,P,,M,3,,12/4/1988,12/5/1988,12,1984,0.57,1.14,0.57,0.04,0.08,0.04,0.27,0.53,0.27,0.02,0.03,0.02,1.5,3,1.5,0.1,0.2,0.1,NA,NA
11,3,,,,,,,,,,,,,,,,45,20,36,0.11,0.2,0.2,P,S,M,3,,12/11/1988,12/13/1988,12,1984,0.53,1.59,0.53,0,0,0,0.35,1,0.33,0.03,0.06,0.02,1.4,4.2,1.4,0,0,0,NA,NA
12,1,,,,,,,,,,,,,,,,34,30,32,0.35,2.7,1,P,S,M,3,16.67%,12/15/1988,12/15/1988,12,1984,1,1,1,0.47,0.47,0.47,0.37,0.37,0.37,0.03,0.03,0.03,1.8,1.8,1.8,0.4,0.4,0.2,0.17,0.17
13,4,,,,,,,,,,,,,,,,54,11,29,0.11,0,U,P,,M,3,,12/17/1988,12/20/1988,12,1984,3.8,7.03,1.76,3.23,4.69,1.17,1,2.19,0.55,0.74,1.15,0.29,3.2,8.8,2.2,1.7,3,0.75,NA,NA
14,2,,,,,,,,,,,,,,,,42,11,27,0.34,0,0.4,P,,M,3,,12/22/1988,12/23/1988,12,1984,0.69,1.34,0.67,0.09,0.14,0.07,0.3,0.58,0.29,0.04,0.06,0.03,1.6,3.1,1.55,0.2,0.3,0.15,NA,NA
15,2,,,,,,,,,,,,,,,,30,-4,13,0.32,5.1,1.1,P,S,M,3,13.33%,12/26/1988,12/27/1988,12,1984,1.11,1.76,0.88,0.55,0.64,0.32,0.51,0.8,0.4,0.26,0.3,0.15,2.6,4.1,2.05,1.3,1.5,0.75,0.15,0.15
16,4,,,,,,,,,,,,,,,,62,11,32,0.83,2.9,1.1,P,S,M,3,,12/29/1988,1/1/1989,12,1984,166,175.31,43.83,162.8,167.55,41.89,21,23.03,5.76,20.38,21.49,5.37,17,23.9,5.98,14,15.1,3.78,NA,NA
17,5,,,,,,,,,,,,,,,,34,-13,21,0.02,0.3,3.5,P,S,M,3,12.21%,1/4/1989,1/8/1989,1,1985,0.73,3.47,0.69,0.13,0.41,0.08,0.31,1.23,0.25,0.07,0.2,0.04,1.5,7.3,1.46,0.2,0.5,0.1,0.43,0.43
18,4,,,,,,,,,,,,,,,,24,1,14,0.12,1.5,0.2,P,S,M,3,13.13%,1/10/1989,1/13/1989,1,1985,0.6,2.4,0.6,0,0,0,0.44,1.58,0.4,0.08,0.22,0.06,1.4,5.6,1.4,0,0,0,0.03,0.03
19,3,,,,,,,,,,,,,,,,35,-5,16,0.03,0.3,1.1,P,S,M,3,16.00%,1/14/1989,1/16/1989,1,1985,0.69,1.99,0.66,0.09,0.19,0.06,0.32,0.87,0.29,0.1,0.15,0.05,1.6,4.6,1.53,0.2,0.4,0.13,0.18,0.18
20,3,,,,,,,,,,,,,,,,22,4,15,0.24,4.5,0.2,P,S,M,3,16.01%,1/17/1989,1/19/1989,1,1985,0.6,1.8,0.6,0.04,0.08,0.03,0.2,0.54,0.18,0.03,0.04,0.01,1.4,4.2,1.4,0.1,0.2,0.07,0.03,0.03
21,4,,,,,,,,,,,,,,,,28,-9,10,0.06,1.1,2.7,P,S,M,3,15.05%,1/28/1989,1/31/1989,1,1985,0.56,2.24,0.56,0.04,0.08,0.02,0.2,0.77,0.19,0.03,0.07,0.02,1.3,5.2,1.3,0.1,0.2,0.05,0.41,0.41
22,3,,,,,,,,,,,,,,,,18,-9,9,0.11,1.3,U,P,S,M,3,17.82%,2/6/1989,2/8/1989,2,1985,0.56,1.68,0.56,0.04,0.08,0.03,0.18,0.52,0.17,0.02,0.04,0.01,1.3,3.9,1.3,0.1,0.2,0.07,NA,NA
23,3,,,,,,,,,,,,,,,,40,8,27,0,0.2,3.2,,S,M,5,17.36%,2/18/1989,2/20/1989,2,1985,0.92,2.38,0.79,0.08,0.18,0.06,0.17,0.51,0.17,0.01,0.02,0.01,1.5,4.5,1.5,0.1,0.2,0.07,0.56,0.56
24,4,,,,,,,,,,,,,,,,40,13,35,1.22,0,13.4,P,,M,3,20.58%,2/21/1989,2/24/1989,2,1985,468,1122.84,280.71,299.16,737.16,184.29,43,83.2,20.8,19,34.86,8.72,36,91.5,22.88,22.5,42.5,10.63,2.76,2.76
25,5,,,,,,,,,,,,,,,,57,19,36,0,0,1,,,M,5,,2/26/1989,3/2/1989,2,1985,29,86.6,17.32,13,29.4,5.88,2,5.18,1.04,1.18,1.54,0.31,4.8,14.7,2.94,2.5,3.8,0.76,NA,NA
26,3,,,,,,,,,,,,,,,,39,9,24,0.42,1.5,3,P,S,M,3,16.11%,3/5/1989,3/7/1989,3,1985,4.4,9.1,3.03,1.6,2,0.67,0.93,2.43,0.81,0.47,0.82,0.27,2.9,7.3,2.43,1.4,2.4,0.8,0.48,0.48
27,3,,,,,,,,,,,,,,,,63,26,42,0,0,1,,,M,5,,3/9/1989,3/11/1989,3,1985,85,129,43,74,105.5,35.17,18,22.8,7.6,16.5,19.11,6.37,8,16.4,5.47,4.2,6.9,2.3,NA,NA
28,2,,,,,,,,,,,,,,,,49,30,39,0.09,0,U,P,,M,3,,3/13/1989,3/14/1989,3,1985,6.3,11.15,5.58,2.72,3.99,2,1.1,2.07,1.04,0.3,0.47,0.24,3,5.8,2.9,0.5,0.8,0.4,NA,NA
29,7,,,,,,,,,,,,,,,,64,19,38,0,0,Z,,,M,6,,3/16/1989,3/22/1989,3,1985,2.84,12.47,1.78,0.93,1.72,0.25,0.7,3.73,0.53,0.14,0.25,0.04,2.3,15.1,2.16,0.1,1.5,0.13,NA,NA
30,4,,,,,,,,,,,,,,,,66,27,40,0.48,1.9,1,P,S,M,3,,3/24/1989,3/27/1989,3,1985,1.23,4.8,1.2,0.06,0.11,0.03,0.58,2.15,0.54,0.05,0.11,0.03,2.2,8.4,2.1,0.1,0.1,0.03,NA,NA
31,3,,,,,,,,,,,,,,,,61,32,46,1.04,0,U,P,,M,3,,3/28/1989,3/30/1989,3,1985,4,6.32,2.11,2.85,2.87,0.96,1,2.26,0.75,0.38,0.4,0.13,2.7,7,2.33,0.6,0.7,0.23,NA,NA
32,3,,,,,,,,,,,,,,,,52,25,36,0.73,0.4,U,P,S,M,3,,4/1/1989,4/3/1989,3,1985,5,12.2,4.07,3.92,8.89,2.96,1.2,3.12,1.04,0.57,1.11,0.37,2.9,8.1,2.7,0.8,1.5,0.5,NA,NA
33,3,4/5/89 7:04,4/7/89 12:15,2,1.36,0.36,0.3,0.28,0.28,0.25,2.809,53.18,0.03,0.01,0.16,0.59,46,32,38,0.97,1.8,1.8,P,S,M,2,,4/5/1989,4/7/1989,4,1985,14,36,12,12.85,26.85,8.95,2.4,6.4,2.13,1.65,3.65,1.22,4,11.4,3.8,1.6,3.6,1.2,NA,NA
34,2,,,,,,,,,,,,,,,,45,22,33,0,0,Z,,,M,6,,4/9/1989,4/10/1989,4,1985,1.08,2.06,1.03,0.14,0.18,0.09,0.41,0.71,0.36,0.16,0.21,0.11,2.4,4.6,2.3,0.3,0.4,0.2,NA,NA
35,3,,,,,,,,,,,,,,,,76,33,56,0,0,Z,,,M,6,,4/12/1989,4/14/1989,4,1985,0.9,2.69,0.9,0.01,0.02,0.01,0.55,1.6,0.53,0.03,0.04,0.01,2.1,6.1,2.03,0.1,0.1,0.03,NA,NA
36,2,,,,,,,,,,,,,,,,70,35,53,0.16,0,U,P,,M,3,,4/15/1989,4/16/1989,4,1985,0.93,1.85,0.93,0.01,0.01,0.01,0.51,0.98,0.49,0.06,0.08,0.04,2,3.9,1.95,0.1,0.1,0.05,NA,NA
37,2,,,,,,,,,,,,,,,,84,38,65,0,0,Z,,,M,6,,4/18/1989,4/19/1989,4,1985,0.94,1.88,0.94,0.01,0.02,0.01,0.43,0.84,0.42,0.04,0.06,0.03,1.9,3.7,1.85,0.1,0.1,0.05,NA,NA
38,2,5/15/89 0:59,5/16/89 1:00,2,1.22,1.68,0.84,0.56,0.36,0.24,4.069,24.02,0.05,0,0.6,0.61,83,49,62,1.39,0,0,P,,,1,,5/15/1989,5/16/1989,5,1985,4.66,7.73,3.87,1.64,1.69,0.85,0.51,0.92,0.46,0.24,0.38,0.19,1.7,3.1,1.55,0.4,0.5,0.25,0,1.22
39,3,5/27/89 15:44,5/28/89 0:15,1,1.13,1.68,0.84,0.56,0.52,0.41,6.154,8.52,0.13,0,0,0,89,42,62,1.15,0,0,P,,,1,,5/27/1989,5/29/1989,5,1985,1.1,2.35,0.78,0.51,0.58,0.19,0.96,2.3,0.77,0.3,0.32,0.11,1.5,3.6,1.2,0.5,0.6,0.2,0,1.13
40,3,6/22/89 18:44,6/23/89 3:45,1,1.18,4.2,2.1,1.4,1.24,0.83,15.285,9.02,0.13,0,0.02,0.1,83,54,69,0.43,0,0,P,,,1,,6/22/1989,6/24/1989,6,1985,11,22.41,7.47,9.12,17.14,5.71,0.9,1.81,0.6,0.61,0.9,0.3,2.7,6.5,2.17,0.9,1.1,0.37,0,1.18
41,2,6/28/89 14:29,6/29/89 13:45,2,1.66,3,1.5,1,0.74,0.42,8.65,23.27,0.07,0,0,0,88,55,71,0.5,0,0,P,,,1,,6/28/1989,6/29/1989,6,1985,5.68,7.67,3.84,0.85,1.34,0.67,0.82,1.33,0.67,0.22,0.3,0.15,2.5,4.2,2.1,0.2,0.2,0.1,0,1.66
42,3,6/30/89 18:29,7/1/89 0:45,1,0.63,5.52,2.76,1.84,1.04,0.55,6.842,6.27,0.1,0,1.66,1.66,81,52,67,1.3,0,0,P,,,1,,6/30/1989,7/2/1989,6,1985,6.29,12.56,4.19,1.46,1.5,0.5,0.94,2.52,0.84,0.2,0.2,0.07,2.8,7,2.33,0.5,0.7,0.23,0,0.63
43,3,7/25/89 19:29,7/26/89 14:00,1,6.85,8.88,4.44,2.96,2.6,2.28,182.688,18.52,0.37,0.01,0.02,0.02,88,56,71,3.68,0,0,P,,,1,,7/25/1989,7/27/1989,7,1985,1830,1957,652.33,1817,1927.99,642.66,493,509.2,169.73,491.3,505.44,168.48,142,165.1,55.03,137.6,155.1,51.7,0,6.85
44,2,8/13/89 11:14,8/14/89 1:45,1,0.94,4.92,2.46,1.64,1.5,0.81,14.829,14.52,0.06,0,0.36,0.37,84,58,73,0.8,0,0,P,,,1,,8/13/1989,8/14/1989,8,1985,13,17.29,8.65,8.92,9.13,4.57,1.3,1.61,0.81,0.99,0.99,0.5,3.1,4.9,2.45,1.3,1.3,0.65,0,0.94
45,5,8/25/89 9:59,8/26/89 18:45,1,1.7,3.6,1.8,1.2,0.92,0.58,15.851,32.77,0.05,0,0,0,78,53,66,1.33,0,0,P,,,1,,8/25/1989,8/29/1989,8,1985,11,31.58,6.32,7.8,16.12,3.22,6.4,8.18,1.64,6.23,7.23,1.45,4,13.9,2.78,2.2,4.5,0.9,0,1.7
46,3,9/5/89 23:29,9/6/89 18:00,1,1.53,4.44,2.22,1.48,1.42,1.01,22.838,18.52,0.08,0,0.01,0.02,89,69,78,0.86,0,0,P,,,1,,9/5/1989,9/7/1989,9,1985,35,41.64,13.88,31.79,33.1,11.03,2.5,2.94,0.98,2.31,2.38,0.79,6.8,11.8,3.93,4.4,5,1.67,0,1.53
47,4,9/10/89 0:14,9/10/89 4:00,1,1.4,7.32,3.66,2.44,1.88,1.16,28.183,3.77,0.37,0.3,0.31,1.84,71,40,58,0.51,0,0,P,,,1,,9/10/1989,9/13/1989,9,1985,139,153.43,38.36,135.66,140.69,35.17,24,25.58,6.4,23.81,24.48,6.12,15,23.9,5.98,12.5,14.3,3.58,0,1.4
48,2,,,,,,,,,,,,,,,,61,29,41,0.07,0.5,U,P,S,M,3,,10/21/1993,10/22/1993,10,1989,0.71,1.39,0.7,0.06,0.09,0.05,0.08,0.16,0.08,0,0,0,0.81,1.59,0.8,0.09,0.15,0.08,NA,NA
49,8,,,,,,,,,,,,,,,,72,15,43,0.45,0.6,0.6,P,S,M,3,,10/30/1993,11/6/1993,10,1989,0.7,5.44,0.68,0.1,0.2,0.03,0.11,0.78,0.1,0.02,0.07,0.01,0.68,5.15,0.64,0.08,0.26,0.02,NA,NA
50,2,,,,,,,,,,,,,,,,51,38,45,0.21,0,0.1,P,,M,3,,11/8/1993,11/9/1993,11,1989,0.8,1.55,0.78,0.07,0.09,0.05,0.13,0.25,0.13,0.01,0.01,0.01,0.73,1.43,0.72,0.03,0.03,0.02,NA,NA
51,3,,,,,,,,,,,,,,,,58,30,39,0.15,0.1,U,P,S,M,3,,11/10/1993,11/12/1993,11,1989,0.73,2.15,0.72,0.11,0.18,0.06,0.11,0.32,0.11,0.01,0.02,0.01,0.72,2.12,0.71,0.07,0.12,0.04,NA,NA
52,5,,,,,,,,,,,,,,,,67,13,33,0,0.4,0.7,,S,M,5,,11/14/1993,11/18/1993,11,1989,0.62,2.96,0.59,0.05,0.12,0.02,0.17,0.62,0.12,0.05,0.08,0.02,0.68,3.35,0.67,0.03,0.09,0.02,NA,NA
53,2,,,,,,,,,,,,,,,,52,20,39,0,0,0.2,,,M,5,,11/20/1993,11/21/1993,11,1989,0.54,1.06,0.53,0.05,0.08,0.04,0.28,0.51,0.26,0.09,0.13,0.07,0.7,1.36,0.68,0.04,0.04,0.02,NA,NA
54,3,,,,,,,,,,,,,,,,30,4,19,0.07,1.5,0.3,P,S,M,3,20.00%,11/22/1993,11/24/1993,11,1989,0.49,1.37,0.46,0.05,0.08,0.03,0.26,0.72,0.24,0.04,0.06,0.02,0.66,1.88,0.63,0.04,0.06,0.02,0.06,0.06
55,2,,,,,,,,,,,,,,,,47,3,30,0,0,1,,,M,5,,11/25/1993,11/26/1993,11,1989,0.4,0.78,0.39,0.03,0.03,0.02,0.21,0.4,0.2,0.03,0.04,0.02,0.58,1.14,0.57,0.02,0.02,0.01,NA,NA
56,3,,,,,,,,,,,,,,,,44,7,26,0.42,1.5,U,P,S,M,3,,11/28/1993,11/30/1993,11,1989,0.38,1.07,0.36,0.09,0.14,0.05,0.18,0.46,0.15,0.06,0.1,0.03,0.62,1.74,0.58,0.12,0.2,0.07,NA,NA
57,3,,,,,,,,,,,,,,,,45,17,31,0,0.1,0.1,,S,M,5,,12/1/1993,12/3/1993,11,1989,0.29,0.8,0.27,0.04,0.05,0.02,0.09,0.21,0.07,0.04,0.06,0.02,0.5,1.41,0.47,0.04,0.05,0.02,NA,NA
58,2,,,,,,,,,,,,,,,,50,21,36,0,0,Z,,,M,6,,12/5/1993,12/6/1993,12,1989,0.22,0.42,0.21,0.05,0.08,0.04,0.03,0.06,0.03,0,0,0,0.42,0.82,0.41,0.07,0.12,0.06,NA,NA
59,3,,,,,,,,,,,,,,,,17,-8,6,0.04,0.6,U,P,S,M,3,,12/14/1993,12/16/1993,12,1989,0.14,0.41,0.14,0.01,0.02,0.01,0.03,0.09,0.03,0.01,0.01,0,0.25,0.72,0.24,0.02,0.03,0.01,NA,NA
60,3,,,,,,,,,,,,,,,,9,-18,-5,0.03,0.4,U,P,S,M,3,,12/20/1993,12/22/1993,12,1989,0.22,0.6,0.2,0.04,0.06,0.02,0.02,0.06,0.02,0,0,0,0.21,0.61,0.2,0.01,0.01,0,NA,NA
61,2,,,,,,,,,,,,,,,,14,-14,2,0.01,0.2,1.4,P,S,M,3,,12/24/1993,12/25/1993,12,1989,0.29,0.55,0.28,0.05,0.07,0.04,0.02,0.04,0.02,0,0,0,0.2,0.4,0.2,0,0,0,NA,NA
62,3,,,,,,,,,,,,,,,,38,1,16,0.08,2.2,U,P,S,M,3,5.83%,12/26/1993,12/28/1993,12,1989,0.52,1.36,0.45,0.12,0.16,0.05,0.02,0.06,0.02,0,0,0,0.27,0.77,0.26,0.02,0.02,0.01,NA,NA
