DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1984	    0.54	    0.52	    0.53	    0.00
10/02/1984	    0.53	    0.52	    0.52	    0.00
10/03/1984	    0.52	    0.52	    0.52	    0.52
10/04/1984	    0.52	    0.50	    0.51	    0.51
10/05/1984	    0.51	    0.50	    0.50	    0.51
10/06/1984	    0.50	    0.50	    0.50	    0.50
10/07/1984	    0.60	    0.46	    0.50	    0.49
10/08/1984	    0.51	    0.46	    0.46	    0.47
10/09/1984	    0.46	    0.46	    0.46	    0.46
10/10/1984	    0.49	    0.49	    0.46	    0.49
10/11/1984	    0.55	    0.49	    0.49	    0.55
10/12/1984	    0.68	    0.49	    0.55	    0.60
10/13/1984	    0.66	    0.66	    0.66	    0.66
10/14/1984	    0.69	    0.66	    0.66	    0.69
10/15/1984	    0.76	    0.66	    0.69	    0.74
10/16/1984	    4.47	    4.47	    0.76	    0.78
10/17/1984	   28.00	    4.47	    4.47	    0.83
10/18/1984	   51.00	    4.47	   28.00	    0.87
10/19/1984	  145.00	    2.89	    4.55	    0.92
10/20/1984	    4.55	    2.89	    2.89	    0.98
10/21/1984	    2.89	    2.89	    2.37	    1.03
10/22/1984	    2.37	    1.68	    1.94	    1.09
10/23/1984	    1.94	    1.68	    1.68	    1.16
10/24/1984	    1.68	    1.68	    1.42	    1.22
10/25/1984	    1.42	    1.37	    1.37	    1.30
10/26/1984	    1.37	    1.37	    1.37	    1.37
10/27/1984	    2.80	    1.37	    1.37	    1.24
10/28/1984	   18.00	    0.85	    2.50	    1.12
10/29/1984	    2.50	    0.85	    0.85	    1.01
10/30/1984	    0.85	    0.85	    0.82	    0.85
10/31/1984	    0.82	    0.82	    0.82	    0.82
11/01/1984	   62.00	    0.82	    0.82	    0.80
11/02/1984	    4.67	    0.82	    1.00	    0.79
11/03/1984	    1.00	    0.77	    0.82	    0.77
11/04/1984	    0.82	    0.77	    0.77	    0.76
11/05/1984	    0.77	    0.77	    0.73	    0.74
11/06/1984	    0.73	    0.73	    0.73	    0.73
11/07/1984	    0.74	    0.73	    0.73	    0.74
11/08/1984	    0.77	    0.73	    0.74	    0.74
11/09/1984	    3.70	    2.00	    0.77	    0.75
11/10/1984	    9.00	    2.00	    2.00	    0.75
11/11/1984	    2.00	    2.00	    0.85	    0.76
11/12/1984	    0.85	    0.78	    0.81	    0.77
11/13/1984	    0.81	    0.78	    0.78	    0.77
11/14/1984	    0.78	    0.78	    0.78	    0.78
11/15/1984	    0.78	    0.75	    0.78	    0.78
11/16/1984	    0.78	    0.75	    0.75	    0.73
11/17/1984	    0.75	    0.75	    0.68	    0.69
11/18/1984	    0.68	    0.57	    0.60	    0.64
11/19/1984	    0.60	    0.57	    0.57	    0.60
