date	solids_tot	solids_storm
10/1/89	0.02	0.02
10/2/89	0.02	0.02
10/3/89	0.02	0.02
10/4/89	0.02	0.02
10/5/89	0.06	0.02
10/6/89	0.04	0.02
10/7/89	0.04	0.04
10/8/89	0.04	0.04
10/9/89	0.04	0.04
10/10/89	0.04	0.04
10/11/89	0.04	0.04
10/12/89	0.04	0.04
10/13/89	0.04	0.04
10/14/89	0.05	0.04
10/15/89	0.05	0.04
10/16/89	0.16	0.08
10/17/89	0.09	0.08
10/18/89	0.08	0.08
10/19/89	0.08	0.08
10/20/89	0.08	0.08
10/21/89	0.08	0.08
10/22/89	0.08	0.08
10/23/89	0.08	0.08
10/24/89	0.08	0.08
10/25/89	0.08	0.07
10/26/89	0.08	0.07
10/27/89	0.07	0.07
10/28/89	0.07	0.07
10/29/89	0.08	0.07
10/30/89	0.09	0.07
10/31/89	0.09	0.09
11/1/89	0.1	0.09
11/2/89	0.1	0.09
11/3/89	0.1	0.1
11/4/89	0.11	0.1
11/5/89	0.11	0.1
11/6/89	0.12	0.12
11/7/89	0.13	0.12
11/8/89	0.12	0.12
11/9/89	0.11	0.1
11/10/89	0.11	0.1
11/11/89	0.1	0.1
11/12/89	0.09	0.09
11/13/89	0.09	0.09
11/14/89	0.1	0.09
11/15/89	0.12	0.12
11/16/89	0.14	0.12
11/17/89	0.17	0.12
11/18/89	0.19	0.19
11/19/89	0.23	0.19
11/20/89	0.28	0.19
11/21/89	0.26	0.22
11/22/89	0.24	0.22
11/23/89	0.22	0.22
11/24/89	0.21	0.18
11/25/89	0.19	0.18
11/26/89	0.18	0.18
11/27/89	0.18	0.12
11/28/89	0.16	0.12
11/29/89	0.12	0.12
11/30/89	0.09	0.05
12/1/89	0.07	0.05
12/2/89	0.05	0.05
12/3/89	0.04	0.03
12/4/89	0.03	0.03
12/5/89	0.03	0.03
12/6/89	0.03	0.03
12/7/89	0.03	0.03
12/8/89	0.03	0.03
12/9/89	0.03	0.03
12/10/89	0.03	0.03
12/11/89	0.03	0.03
12/12/89	0.03	0.03
12/13/89	0.03	0.03
12/14/89	0.03	0.03
12/15/89	0.03	0.02
12/16/89	0.02	0.02
12/17/89	0.02	0.02
12/18/89	0.02	0.02
12/19/89	0.02	0.02
12/20/89	0.02	0.02
12/21/89	0.02	0.02
12/22/89	0.02	0.02
12/23/89	0.02	0.02
12/24/89	0.02	0.02
12/25/89	0.02	0.02
12/26/89	0.02	0.02
12/27/89	0.02	0.02
12/28/89	0.02	0.02
12/29/89	0.02	0.02
12/30/89	0.02	0.02
12/31/89	0.02	0.02
1/1/90	0.02	0.02
1/2/90	0.02	0.02
1/3/90	0.02	0.02
1/4/90	0.02	0.02
1/5/90	0.02	0.01
1/6/90	0.02	0.01
1/7/90	0.01	0.01
1/8/90	0.02	0.02
1/9/90	0.02	0.02
1/10/90	0.06	0.02
1/11/90	0.05	0.05
1/12/90	0.06	0.05
1/13/90	0.07	0.05
1/14/90	0.09	0.09
1/15/90	0.19	0.09
1/16/90	0.45	0.09
1/17/90	4.81	0.1
1/18/90	0.18	0.1
1/19/90	0.1	0.1
1/20/90	0.07	0.05
1/21/90	0.06	0.05
1/22/90	0.05	0.05
1/23/90	0.06	0.06
1/24/90	0.66	0.06
1/25/90	0.16	0.06
1/26/90	0.11	0.08
1/27/90	0.09	0.08
1/28/90	0.08	0.08
1/29/90	0.08	0.06
1/30/90	0.06	0.06
1/31/90	0.06	0.06
2/1/90	0.09	0.06
2/2/90	0.07	0.06
2/3/90	0.06	0.06
2/4/90	0.05	0.05
2/5/90	0.25	0.05
2/6/90	0.12	0.05
2/7/90	0.15	0.13
