DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1984	    1.76	    1.76	    1.76	    0.00
10/02/1984	    1.81	    1.76	    1.76	    0.00
10/03/1984	    1.81	    1.76	    1.81	    1.81
10/04/1984	    1.81	    1.81	    1.81	    1.81
10/05/1984	    1.81	    1.81	    1.81	    1.81
10/06/1984	    2.04	    1.81	    1.81	    1.92
10/07/1984	    2.04	    2.04	    2.04	    2.04
10/08/1984	    2.04	    2.04	    2.04	    2.04
10/09/1984	    2.04	    2.04	    2.04	    2.04
10/10/1984	    2.04	    2.04	    2.04	    2.04
10/11/1984	    2.38	    2.04	    2.04	    2.18
10/12/1984	    2.69	    2.04	    2.38	    2.32
10/13/1984	    2.48	    2.48	    2.48	    2.48
10/14/1984	    2.77	    2.48	    2.48	    2.56
10/15/1984	    3.07	    2.48	    2.77	    2.63
10/16/1984	   11.00	   11.00	    3.07	    2.71
10/17/1984	   24.00	   11.00	   11.00	    2.79
10/18/1984	   54.00	   11.00	   24.00	    2.88
10/19/1984	  176.00	    4.67	    5.97	    2.97
10/20/1984	    5.97	    4.67	    4.67	    3.06
10/21/1984	    4.67	    4.67	    4.22	    3.15
10/22/1984	    4.22	    3.67	    3.88	    3.25
10/23/1984	    3.88	    3.67	    3.67	    3.34
10/24/1984	    3.67	    3.67	    3.55	    3.45
10/25/1984	    3.55	    3.55	    3.55	    3.55
10/26/1984	    3.57	    3.55	    3.55	    3.45
10/27/1984	    8.97	    3.55	    3.57	    3.35
10/28/1984	   14.00	    3.18	    4.70	    3.25
10/29/1984	    4.70	    3.18	    3.18	    3.15
10/30/1984	    3.18	    3.18	    2.97	    3.06
10/31/1984	    2.97	    2.97	    2.97	    2.97
11/01/1984	  106.00	    2.97	    2.97	    2.83
11/02/1984	    5.99	    2.97	    2.70	    2.70
11/03/1984	    2.70	    2.26	    2.40	    2.57
11/04/1984	    2.40	    2.26	    2.26	    2.40
11/05/1984	    2.26	    2.26	    2.14	    2.26
11/06/1984	    2.14	    2.12	    2.12	    2.14
11/07/1984	    2.12	    2.12	    2.12	    2.12
