DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1984	    4.30	    4.20	    4.20	    0.00
10/02/1984	    4.20	    4.20	    4.20	    4.20
10/03/1984	    4.20	    4.20	    4.20	    4.20
10/04/1984	    4.20	    4.20	    4.20	    4.20
10/05/1984	    4.20	    4.20	    4.20	    4.20
10/06/1984	    4.20	    4.20	    4.20	    4.20
10/07/1984	    4.70	    4.20	    4.20	    4.20
10/08/1984	    4.30	    4.20	    4.20	    4.20
10/09/1984	    4.20	    4.20	    4.20	    4.20
10/10/1984	    4.20	    4.20	    4.20	    4.20
10/11/1984	    4.40	    4.20	    4.20	    4.33
10/12/1984	    5.10	    4.20	    4.40	    4.46
10/13/1984	    4.60	    4.60	    4.60	    4.60
10/14/1984	    5.00	    4.60	    4.60	    4.63
10/15/1984	    5.40	    4.60	    5.00	    4.65
10/16/1984	    6.10	    6.10	    5.40	    4.68
10/17/1984	    6.70	    6.10	    6.10	    4.71
10/18/1984	   11.00	    6.10	    6.70	    4.73
10/19/1984	   28.00	    5.60	    5.80	    4.76
10/20/1984	    5.80	    5.60	    5.60	    4.79
10/21/1984	    5.60	    5.60	    5.30	    4.82
10/22/1984	    5.30	    4.90	    5.00	    4.84
10/23/1984	    5.00	    4.90	    4.90	    4.87
10/24/1984	    4.90	    4.90	    4.90	    4.90
10/25/1984	    4.90	    4.90	    4.90	    4.90
10/26/1984	    5.10	    4.90	    4.90	    4.92
10/27/1984	    7.00	    4.90	    5.10	    4.93
10/28/1984	    8.30	    5.20	    5.40	    4.95
10/29/1984	    5.40	    5.20	    5.20	    4.97
10/30/1984	    5.20	    5.20	    5.00	    4.98
10/31/1984	    5.00	    5.00	    5.00	    5.00
11/01/1984	   15.00	    5.00	    5.00	    4.96
11/02/1984	    5.70	    5.00	    5.30	    4.91
11/03/1984	    5.30	    5.00	    5.20	    4.87
11/04/1984	    5.20	    5.00	    5.00	    4.83
11/05/1984	    5.00	    5.00	    4.80	    4.78
11/06/1984	    4.80	    4.70	    4.70	    4.74
11/07/1984	    4.70	    4.70	    4.70	    4.70
11/08/1984	    4.90	    4.70	    4.70	    4.70
11/09/1984	    6.20	    5.10	    4.90	    4.70
11/10/1984	    5.80	    5.10	    5.10	    4.70
11/11/1984	    5.10	    5.10	    4.90	    4.70
11/12/1984	    4.90	    4.70	    4.70	    4.70
11/13/1984	    4.70	    4.70	    4.70	    4.70
11/14/1984	    4.70	    4.70	    4.70	    4.70
11/15/1984	    4.70	    4.60	    4.60	    4.65
11/16/1984	    4.60	    4.60	    4.60	    4.60
11/17/1984	    5.50	    4.60	    4.60	    4.50
11/18/1984	    4.60	    4.20	    4.30	    4.40
11/19/1984	    4.30	    4.20	    4.20	    4.30
11/20/1984	    4.20	    4.20	    4.20	    4.20
11/21/1984	    4.20	    4.10	    4.10	    4.15
11/22/1984	    4.10	    4.10	    4.10	    4.10
11/23/1984	    4.10	    4.10	    3.90	    4.00
11/24/1984	    3.90	    3.90	    3.90	    3.90
11/25/1984	    3.90	    3.90	    3.90	    3.90
11/26/1984	    3.90	    3.90	    3.90	    3.90
11/27/1984	    5.00	    4.10	    3.90	    3.97
11/28/1984	    4.30	    4.10	    4.10	    4.03
11/29/1984	    4.10	    4.10	    4.10	    4.10
11/30/1984	    4.20	    4.20	    4.10	    4.15
12/01/1984	    4.20	    4.20	    4.20	    4.20
12/02/1984	    4.30	    4.20	    4.10	    4.07
12/03/1984	    4.10	    3.70	    3.80	    3.94
12/04/1984	    3.80	    3.70	    3.70	    3.80
12/05/1984	    3.70	    3.70	    3.70	    3.70
12/06/1984	    3.80	    3.80	    3.70	    3.75
12/07/1984	    3.80	    3.80	    3.80	    3.80
12/08/1984	    3.80	    3.80	    3.80	    3.80
12/09/1984	    3.90	    3.90	    3.80	    3.85
12/10/1984	    3.90	    3.90	    3.90	    3.90
12/11/1984	    3.90	    3.90	    3.90	    3.90
12/12/1984	    4.10	    4.10	    3.90	    3.97
12/13/1984	    4.20	    4.10	    4.10	    4.05
12/14/1984	    4.30	    4.10	    4.20	    4.12
12/15/1984	    4.20	    4.20	    4.20	    4.20
12/16/1984	    7.80	    4.20	    4.20	    4.30
12/17/1984	    5.20	    4.20	    4.50	    4.40
12/18/1984	    4.50	    4.40	    4.50	    4.50
12/19/1984	    4.60	    4.40	    4.40	    4.45
12/20/1984	    4.40	    4.40	    4.40	    4.40
12/21/1984	    5.00	    4.40	    4.40	    4.34
12/22/1984	    4.50	    4.40	    4.40	    4.28
12/23/1984	    4.40	    4.40	    4.20	    4.22
12/24/1984	    4.20	    4.10	    4.10	    4.16
12/25/1984	    4.10	    4.10	    4.10	    4.10
12/26/1984	    4.20	    4.10	    4.10	    4.15
12/27/1984	    4.30	    4.30	    4.20	    4.20
12/28/1984	   23.00	    4.30	    4.30	    4.25
12/29/1984	    8.50	    4.30	    4.80	    4.30
12/30/1984	    4.80	    4.40	    4.40	    4.35
12/31/1984	    4.40	    4.40	    4.40	    4.40
01/01/1985	    4.40	    4.40	    4.20	    4.30
01/02/1985	    4.20	    4.00	    4.20	    4.20
01/03/1985	    4.20	    4.00	    4.00	    4.10
01/04/1985	    4.00	    4.00	    4.00	    4.00
01/05/1985	    4.20	    4.20	    4.00	    4.10
01/06/1985	    4.20	    4.20	    4.20	    4.20
01/07/1985	    4.20	    4.20	    4.20	    4.20
01/08/1985	    4.20	    4.00	    4.00	    4.10
01/09/1985	    4.00	    4.00	    4.00	    4.00
01/10/1985	    4.10	    4.00	    4.00	    4.05
01/11/1985	    4.10	    4.10	    4.10	    4.10
01/12/1985	    4.10	    4.10	    4.10	    4.10
01/13/1985	    4.10	    4.10	    4.10	    4.10
01/14/1985	    4.10	    4.10	    4.10	    4.10
01/15/1985	    4.10	    4.10	    4.10	    4.10
01/16/1985	    4.10	    4.10	    4.10	    4.10
01/17/1985	    4.10	    3.70	    3.80	    3.96
01/18/1985	    3.80	    3.70	    3.70	    3.80
01/19/1985	    3.70	    3.70	    3.70	    3.70
01/20/1985	    3.70	    3.60	    3.60	    3.65
01/21/1985	    3.60	    3.60	    3.60	    3.60
01/22/1985	    3.60	    3.60	    3.60	    3.60
01/23/1985	    3.60	    3.60	    3.60	    3.60
01/24/1985	    3.60	    3.60	    3.60	    3.60
01/25/1985	    3.60	    3.60	    3.50	    3.55
01/26/1985	    3.50	    3.50	    3.50	    3.50
01/27/1985	    3.50	    3.50	    3.50	    3.50
01/28/1985	    3.50	    3.50	    3.50	    3.50
01/29/1985	    3.50	    3.50	    3.50	    3.50
01/30/1985	    3.50	    3.50	    3.50	    3.50
01/31/1985	    3.50	    3.50	    3.50	    3.50
02/01/1985	    3.50	    3.50	    3.50	    3.50
02/02/1985	    3.50	    3.50	    3.50	    3.50
02/03/1985	    3.50	    3.50	    3.50	    3.50
02/04/1985	    3.50	    3.50	    3.50	    3.50
02/05/1985	    3.60	    3.50	    3.50	    3.55
02/06/1985	    3.60	    3.50	    3.60	    3.60
02/07/1985	    3.60	    3.60	    3.60	    3.60
02/08/1985	    3.60	    3.60	    3.60	    3.60
02/09/1985	    3.70	    3.60	    3.60	    3.65
02/10/1985	    3.70	    3.70	    3.70	    3.70
