date	solids_tot	solids_storm
10/1/1989	0.05	0.05
10/2/1989	0.07	0.05
10/3/1989	0.09	0.05
10/4/1989	0.1	0.1
10/5/1989	0.25	0.1
10/6/1989	0.29	0.1
10/7/1989	0.28	0.22
10/8/1989	0.25	0.22
10/9/1989	0.22	0.22
10/10/1989	0.23	0.19
10/11/1989	0.21	0.19
10/12/1989	0.19	0.19
10/13/1989	0.19	0.17
10/14/1989	0.18	0.17
10/15/1989	0.17	0.17
10/16/1989	0.79	0.16
10/17/1989	0.41	0.16
10/18/1989	0.16	0.16
10/19/1989	0.16	0.16
10/20/1989	0.17	0.16
10/21/1989	0.87	0.16
10/22/1989	0.13	0.12
10/23/1989	0.12	0.12
10/24/1989	0.12	0.12
10/25/1989	0.12	0.12
10/26/1989	0.13	0.12
10/27/1989	0.14	0.12
10/28/1989	0.15	0.15
10/29/1989	0.16	0.15
10/30/1989	0.18	0.15
10/31/1989	0.2	0.18
11/1/1989	0.19	0.18
11/2/1989	0.18	0.18
11/3/1989	0.17	0.17
11/4/1989	0.18	0.17
11/5/1989	0.18	0.17
11/6/1989	0.18	0.16
11/7/1989	0.18	0.16
11/8/1989	0.16	0.16
11/9/1989	0.14	0.13
11/10/1989	0.14	0.13
11/11/1989	0.13	0.13
11/12/1989	0.12	0.1
11/13/1989	0.11	0.1
11/14/1989	0.1	0.1
11/15/1989	0.09	0.07
11/16/1989	0.08	0.07
11/17/1989	0.07	0.07
11/18/1989	0.06	0.06
11/19/1989	0.06	0.06
11/20/1989	0.06	0.06
11/21/1989	0.08	0.08
11/22/1989	0.11	0.08
11/23/1989	0.14	0.08
11/24/1989	0.19	0.19
11/25/1989	0.25	0.19
11/26/1989	0.32	0.19
11/27/1989	0.41	0.26
11/28/1989	0.37	0.26
11/29/1989	0.26	0.26
11/30/1989	0.18	0.1
12/1/1989	0.13	0.1
12/2/1989	0.1	0.1
12/3/1989	0.07	0.05
12/4/1989	0.05	0.05
12/5/1989	0.05	0.05
12/6/1989	0.05	0.05
12/7/1989	0.05	0.05
12/8/1989	0.05	0.05
12/9/1989	0.05	0.05
12/10/1989	0.05	0.05
12/11/1989	0.05	0.05
12/12/1989	0.06	0.06
12/13/1989	0.07	0.06
12/14/1989	0.08	0.06
12/15/1989	0.1	0.1
12/16/1989	0.11	0.1
12/17/1989	0.14	0.1
12/18/1989	0.16	0.16
12/19/1989	0.19	0.16
12/20/1989	0.18	0.16
12/21/1989	0.18	0.17
12/22/1989	0.17	0.17
12/23/1989	0.17	0.17
12/24/1989	0.16	0.16
12/25/1989	0.16	0.16
12/26/1989	0.16	0.16
12/27/1989	0.17	0.17
12/28/1989	0.17	0.17
12/29/1989	0.17	0.17
12/30/1989	0.17	0.16
12/31/1989	0.17	0.16
1/1/1990	0.16	0.16
1/2/1990	0.18	0.18
1/3/1990	0.18	0.18
1/4/1990	0.19	0.18
1/5/1990	0.17	0.16
1/6/1990	0.17	0.16
1/7/1990	0.16	0.16
1/8/1990	0.15	0.15
1/9/1990	0.16	0.15
1/10/1990	0.16	0.15
1/11/1990	0.15	0.11
1/12/1990	0.13	0.11
1/13/1990	0.11	0.11
1/14/1990	0.1	0.1
1/15/1990	0.1	0.1
1/16/1990	0.42	0.1
