STATION NAME                   COOPID  WBANID  ELEM  YEAR  # OF MONTHS (DATA ROWS) AVAILABLE
-----------------------------  ------  ------  ----  ----  ------------------------------------
MADISON DANE RGNL AP           474961   14837   PRCP  1984  3
MADISON DANE RGNL AP           474961   14837   SNOW  1984  3
MADISON DANE RGNL AP           474961   14837   SNWD  1984  3
MADISON DANE RGNL AP           474961   14837   TMAX  1984  3
MADISON DANE RGNL AP           474961   14837   TMIN  1984  3
MADISON DANE RGNL AP           474961   14837   PRCP  1985  12
MADISON DANE RGNL AP           474961   14837   SNOW  1985  12
MADISON DANE RGNL AP           474961   14837   SNWD  1985  12
MADISON DANE RGNL AP           474961   14837   TMAX  1985  12
MADISON DANE RGNL AP           474961   14837   TMIN  1985  12
MADISON DANE RGNL AP           474961   14837   PRCP  1986  12
MADISON DANE RGNL AP           474961   14837   SNOW  1986  12
MADISON DANE RGNL AP           474961   14837   SNWD  1986  12
MADISON DANE RGNL AP           474961   14837   TMAX  1986  12
MADISON DANE RGNL AP           474961   14837   TMIN  1986  12
MADISON DANE RGNL AP           474961   14837   PRCP  1987  12
MADISON DANE RGNL AP           474961   14837   SNOW  1987  12
MADISON DANE RGNL AP           474961   14837   SNWD  1987  12
MADISON DANE RGNL AP           474961   14837   TMAX  1987  12
MADISON DANE RGNL AP           474961   14837   TMIN  1987  12
MADISON DANE RGNL AP           474961   14837   PRCP  1988  12
MADISON DANE RGNL AP           474961   14837   SNOW  1988  12
MADISON DANE RGNL AP           474961   14837   SNWD  1988  12
MADISON DANE RGNL AP           474961   14837   TMAX  1988  12
MADISON DANE RGNL AP           474961   14837   TMIN  1988  12
MADISON DANE RGNL AP           474961   14837   PRCP  1989  12
MADISON DANE RGNL AP           474961   14837   SNOW  1989  12
MADISON DANE RGNL AP           474961   14837   SNWD  1989  12
MADISON DANE RGNL AP           474961   14837   TMAX  1989  12
MADISON DANE RGNL AP           474961   14837   TMIN  1989  12
MADISON DANE RGNL AP           474961   14837   PRCP  1990  12
MADISON DANE RGNL AP           474961   14837   SNOW  1990  12
MADISON DANE RGNL AP           474961   14837   SNWD  1990  12
MADISON DANE RGNL AP           474961   14837   TMAX  1990  12
MADISON DANE RGNL AP           474961   14837   TMIN  1990  12
MADISON DANE RGNL AP           474961   14837   PRCP  1991  12
MADISON DANE RGNL AP           474961   14837   SNOW  1991  12
MADISON DANE RGNL AP           474961   14837   SNWD  1991  12
MADISON DANE RGNL AP           474961   14837   TMAX  1991  12
MADISON DANE RGNL AP           474961   14837   TMIN  1991  12
MADISON DANE RGNL AP           474961   14837   PRCP  1992  12
MADISON DANE RGNL AP           474961   14837   SNOW  1992  12
MADISON DANE RGNL AP           474961   14837   SNWD  1992  12
MADISON DANE RGNL AP           474961   14837   TMAX  1992  12
MADISON DANE RGNL AP           474961   14837   TMIN  1992  12
MADISON DANE RGNL AP           474961   14837   PRCP  1993  12
MADISON DANE RGNL AP           474961   14837   SNOW  1993  12
MADISON DANE RGNL AP           474961   14837   SNWD  1993  12
MADISON DANE RGNL AP           474961   14837   TMAX  1993  12
MADISON DANE RGNL AP           474961   14837   TMIN  1993  12
MADISON DANE RGNL AP           474961   14837   PRCP  1994  12
MADISON DANE RGNL AP           474961   14837   SNOW  1994  12
MADISON DANE RGNL AP           474961   14837   SNWD  1994  12
MADISON DANE RGNL AP           474961   14837   TMAX  1994  12
MADISON DANE RGNL AP           474961   14837   TMIN  1994  12
MADISON DANE RGNL AP           474961   14837   PRCP  1995  12
MADISON DANE RGNL AP           474961   14837   SNOW  1995  12
MADISON DANE RGNL AP           474961   14837   SNWD  1995  12
MADISON DANE RGNL AP           474961   14837   TMAX  1995  12
MADISON DANE RGNL AP           474961   14837   TMIN  1995  12
MADISON DANE RGNL AP           474961   14837   PRCP  1996  12
MADISON DANE RGNL AP           474961   14837   SNOW  1996  12
MADISON DANE RGNL AP           474961   14837   SNWD  1996  12
MADISON DANE RGNL AP           474961   14837   TMAX  1996  12
MADISON DANE RGNL AP           474961   14837   TMIN  1996  12
MADISON DANE RGNL AP           474961   14837   PRCP  1997  12
MADISON DANE RGNL AP           474961   14837   SNOW  1997  12
MADISON DANE RGNL AP           474961   14837   SNWD  1997  12
MADISON DANE RGNL AP           474961   14837   TMAX  1997  12
MADISON DANE RGNL AP           474961   14837   TMIN  1997  12
