date	phos_tot	phos_storm	solids_tot	solids_storm
10/1/1984	1.76	1.76	0.28	0.28
10/2/1984	1.81	1.76	0.32	0.28
10/3/1984	1.81	1.76	0.34	0.28
10/4/1984	1.81	1.81	0.37	0.37
10/5/1984	1.81	1.81	0.41	0.37
10/6/1984	2.04	1.81	0.45	0.37
10/7/1984	2.04	2.04	0.5	0.5
10/8/1984	2.04	2.04	0.54	0.5
10/9/1984	2.04	2.04	0.59	0.5
10/10/1984	2.04	2.04	0.65	0.34
10/11/1984	2.38	2.04	0.75	0.34
10/12/1984	2.69	2.04	0.34	0.34
10/13/1984	2.48	2.48	0.34	0.34
10/14/1984	2.77	2.48	0.41	0.34
10/15/1984	3.07	2.48	0.5	0.34
10/16/1984	11	11	1	1
10/17/1984	24	11	1.9	1
10/18/1984	54	11	8.7	1
10/19/1984	176	4.67	29	0.42
10/20/1984	5.97	4.67	0.5	0.42
10/21/1984	4.67	4.67	0.42	0.42
10/22/1984	4.22	3.67	0.4	0.38
10/23/1984	3.88	3.67	0.38	0.38
10/24/1984	3.67	3.67	0.38	0.38
10/25/1984	3.55	3.55	0.38	0.38
10/26/1984	3.57	3.55	0.4	0.38
10/27/1984	8.97	3.55	2.4	0.38
10/28/1984	14	3.18	2.3	0.41
10/29/1984	4.7	3.18	0.43	0.41
10/30/1984	3.18	3.18	0.41	0.41
10/31/1984	2.97	2.97	0.4	0.4
11/1/1984	106	2.97	14	0.4
11/2/1984	5.99	2.97	0.62	0.4
11/3/1984	2.7	2.26	0.49	0.43
11/4/1984	2.4	2.26	0.47	0.43
11/5/1984	2.26	2.26	0.43	0.43
11/6/1984	2.14	2.12	0.4	0.39
11/7/1984	2.12	2.12	0.39	0.39
11/8/1984	2.17	2.12	0.39	0.39
11/9/1984	5.7	2.22	0.95	0.38
11/10/1984	2.58	2.22	0.72	0.38
11/11/1984	2.22	2.22	0.38	0.38
11/12/1984	2.1	1.98	0.35	0.32
11/13/1984	2.01	1.98	0.33	0.32
11/14/1984	1.98	1.98	0.32	0.32
11/15/1984	1.96	1.91	0.31	0.3
11/16/1984	1.91	1.91	0.3	0.3
11/17/1984	3.5	1.91	0.58	0.3
11/18/1984	1.9	1.74	0.28	0.24
11/19/1984	1.78	1.74	0.26	0.24
11/20/1984	1.74	1.74	0.24	0.24
11/21/1984	1.74	1.71	0.24	0.22
11/22/1984	1.73	1.71	0.22	0.22
11/23/1984	1.71	1.71	0.22	0.22
11/24/1984	1.7	1.48	0.2	0.19
11/25/1984	1.68	1.48	0.19	0.19
11/26/1984	1.48	1.48	0.19	0.19
11/27/1984	2.6	1.55	0.42	0.19
11/28/1984	1.59	1.55	0.21	0.19
11/29/1984	1.55	1.55	0.19	0.19
11/30/1984	1.54	1.51	0.19	0.19
12/1/1984	1.51	1.51	0.19	0.19
12/2/1984	1.53	1.51	0.2	0.19
12/3/1984	1.45	1.32	0.19	0.16
12/4/1984	1.34	1.32	0.17	0.16
12/5/1984	1.32	1.32	0.16	0.16
12/6/1984	1.33	1.31	0.16	0.16
12/7/1984	1.31	1.31	0.16	0.16
12/8/1984	1.31	1.31	0.17	0.16
12/9/1984	1.32	1.31	0.17	0.16
12/10/1984	1.31	1.31	0.16	0.16
