storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,5,10/6/1984 14:04,10/7/1984 17:15,1,0.65,0.48,0.48,0.4,0.36,0.3,2.152,27.183,0.024,0,0,0,72,51,63,0.39,0,0,P,,,1,,10/6/1984,10/10/1984,10,1984,2.04,10.2,2.04,0.23,0.23,0.05,0.65,2.73,0.55,0.31,0.52,0.1,4.7,21.6,4.32,0.5,0.6,0.12,0,0.65
2,5,10/16/1984 10:49,10/19/1984 2:55,2,3.43,1.2,1.14,1.08,0.86,0.58,25.545,64.1,0.054,0.24,0.41,0.61,69,35,51,3.49,0,0,P,,,1,,10/16/1984,10/20/1984,10,1984,176,270.97,54.19,171.33,228.63,45.73,29,41.1,8.22,28.58,37.26,7.45,28,57.6,11.52,22.4,28.1,5.62,0,3.43
3,3,10/27/1984 11:34,10/27/1984 21:00,1,0.89,1.2,1.02,0.88,0.64,0.44,5.361,9.433,0.094,0,0.24,0.24,67,21,45,0.53,0,0,P,,,1,,10/27/1984,10/29/1984,10,1984,14,27.67,9.22,10.82,17.76,5.92,2.4,5.13,1.71,2.02,3.93,1.31,8.3,20.7,6.9,3.1,5.4,1.8,0,0.89
4,5,10/31/1984 21:49,11/1/1984 6:00,1,1.13,1.32,1.14,0.96,0.74,0.53,8.217,8.183,0.138,0.03,0.03,0.92,60,18,38,1.15,0,0,P,,,1,,10/31/1984,11/4/1984,10,1984,106,120.06,24.01,103.03,106.63,21.33,14,15.98,3.2,13.6,13.92,2.78,15,36.2,7.24,10,11.2,2.24,0,1.13
5,2,11/9/1984 3:04,11/9/1984 16:05,1,0.68,2.4,1.5,1.08,0.54,0.28,3.544,13.017,0.052,0,0.07,0.07,48,29,39,0.68,0,0,P,,,1,,11/9/1984,11/10/1984,11,1984,5.7,8.28,4.14,3.48,3.84,1.92,0.95,1.67,0.84,0.57,0.91,0.46,6.2,12,6,1.1,1.8,0.9,0,0.68
6,2,,,,,,,,,,,,,,,,43,16,30,0,0,Z,,,M,6,,11/12/1984,11/13/1984,11,1984,2.1,4.11,2.06,0.12,0.15,0.08,0.35,0.68,0.34,0.03,0.04,0.02,4.9,9.6,4.8,0.2,0.2,0.1,NA,NA
7,3,,,,,,,,,,,,,,,,40,12,26,0.01,0.1,0.1,P,S,M,3,,11/17/1984,11/19/1984,11,1984,3.5,7.18,2.39,1.59,1.79,0.6,0.58,1.12,0.37,0.28,0.34,0.11,5.5,14.4,4.8,0.9,1.4,0.47,NA,NA
8,2,,,,,,,,,,,,,,,,44,10,29,0,0,Z,,,M,6,,11/21/1984,11/22/1984,11,1984,1.74,3.47,1.74,0.03,0.05,0.03,0.24,0.46,0.23,0.02,0.02,0.01,4.2,8.3,4.15,0.1,0.1,0.05,NA,NA
9,2,,,,,,,,,,,,,,,,50,23,37,0,0,Z,,,M,6,,11/24/1984,11/25/1984,11,1984,1.7,3.38,1.69,0.22,0.42,0.21,0.2,0.39,0.2,0.01,0.01,0.01,3.9,7.8,3.9,0,0,0,NA,NA
10,2,,,,,,,,,,,,,,,,53,26,36,0.31,0,U,P,,M,3,,11/27/1984,11/28/1984,11,1984,2.6,4.19,2.1,1.05,1.09,0.55,0.42,0.63,0.32,0.23,0.25,0.13,5,9.3,4.65,0.9,1.1,0.55,NA,NA
11,3,,,,,,,,,,,,,,,,38,6,19,0.3,0,U,P,,M,3,,12/2/1984,12/4/1984,12,1984,1.53,4.32,1.44,0.13,0.17,0.06,0.2,0.56,0.19,0.03,0.05,0.02,4.3,12.2,4.07,0.4,0.6,0.2,NA,NA
12,2,,,,,,,,,,,,,,,,48,21,35,0,0,Z,,,M,6,,12/8/1984,12/9/1984,12,1984,1.32,2.63,1.32,0.01,0.01,0.01,0.17,0.34,0.17,0.01,0.02,0.01,3.9,7.7,3.85,0,0,0,NA,NA
13,3,,,,,,,,,,,,,,,,42,27,33,0.42,3.2,1.2,P,S,M,3,16.67%,12/12/1984,12/14/1984,12,1984,1.39,4.15,1.38,0.02,0.04,0.01,0.18,0.53,0.18,0.01,0.02,0.01,4.3,12.6,4.2,0.2,0.3,0.1,0.2,0.62
14,5,,,,,,,,,,,,,,,,54,11,31,0.18,0,2,P,,M,3,25.00%,12/15/1984,12/19/1984,12,1984,8.1,15.01,3,6.75,8.26,1.65,1.6,3.87,0.77,1.41,2.84,0.57,7.8,26.3,5.26,3.6,4.9,0.98,0.5,0.68
15,2,,,,,,,,,,,,,,,,42,11,27,0.34,0,U,P,,M,3,,12/21/1984,12/22/1984,12,1984,2.4,3.78,1.89,1.08,1.14,0.57,0.41,0.68,0.34,0.14,0.14,0.07,5,9.5,4.75,0.6,0.7,0.35,NA,NA
16,4,,,,,,,,,,,,,,,,62,11,32,0.83,2.9,1,P,S,M,3,,12/28/1984,12/31/1984,12,1984,141,158.1,39.53,139.62,152.8,38.2,30,36.06,9.02,29.69,34.8,8.7,23,40.7,10.18,18.7,23.3,5.83,NA,NA
17,4,,,,,,,,,,,,,,,,34,-13,9,0.59,5.2,1,P,S,M,3,11.25%,1/1/1985,1/4/1985,1,1985,1.27,4.89,1.22,0.05,0.08,0.02,0.38,1.47,0.37,0.02,0.04,0.01,4.4,16.8,4.2,0.2,0.4,0.1,0.11,0.7
