date,phos_tot,solids_tot,q_tot,phos_storm,solids_storm,q_storm
10/1/1990,0.44,0.06,2.70,0,0,0.00
10/2/1990,0.44,0.06,2.70,0,0,0.00
10/3/1990,1.20,0.31,4.00,0.76,0.25,1.30
10/4/1990,0.45,0.06,2.70,0.04,0.01,0.20
10/5/1990,0.41,0.05,2.50,0,0,0.00
10/6/1990,0.41,0.05,2.50,0,0,0.00
10/7/1990,0.38,0.05,2.30,0,0,0.00
10/8/1990,0.38,0.05,2.30,0,0,0.00
10/9/1990,0.39,0.05,2.40,0.01,0,0.10
10/10/1990,0.38,0.05,2.30,0,0,0.00
10/11/1990,0.38,0.05,2.30,0,0,0.00
10/12/1990,0.38,0.05,2.30,0,0,0.00
10/13/1990,0.38,0.05,2.40,0.03,0,0.20
10/14/1990,0.38,0.05,2.30,0.03,0,0.10
10/15/1990,0.35,0.05,2.20,0,0,0.00
10/16/1990,0.35,0.05,2.20,0,0,0.00
10/17/1990,0.36,0.05,2.20,0.01,0,0.00
10/18/1990,0.43,0.06,2.60,0.08,0.01,0.40
10/19/1990,0.37,0.05,2.30,0,0,0.00
10/20/1990,0.37,0.05,2.30,0,0,0.00
10/21/1990,0.42,0.06,2.60,0.05,0.01,0.30
10/22/1990,0.38,0.05,2.40,0.02,0,0.20
10/23/1990,0.38,0.05,2.30,0.02,0,0.10
10/24/1990,0.36,0.05,2.20,0,0,0.00
10/25/1990,0.36,0.05,2.20,0.02,0,0.00
10/26/1990,0.35,0.05,2.20,0.01,0,0.00
10/27/1990,0.34,0.05,2.20,0,0,0.00
10/28/1990,0.32,0.05,2.20,0.01,0,0.00
10/29/1990,0.32,0.05,2.20,0.01,0,0.00
10/30/1990,0.31,0.05,2.20,0,0,0.00
10/31/1990,0.30,0.05,2.20,0.02,0,0.10
11/1/1990,0.29,0.05,2.20,0.01,0,0.10
11/2/1990,0.28,0.05,2.10,0,0,0.00
11/3/1990,0.28,0.05,2.20,0.02,0,0.00
11/4/1990,0.28,0.05,2.30,0.02,0,0.10
11/5/1990,0.26,0.05,2.20,0,0,0.00
11/6/1990,0.25,0.05,2.10,0.02,0.01,0.00
11/7/1990,0.24,0.05,2.10,0.01,0.01,0.00
11/8/1990,0.23,0.04,2.10,0,0,0.00
11/9/1990,0.22,0.04,2.10,0,0,0.00
11/10/1990,0.23,0.05,2.10,0.01,0.01,0.00
11/11/1990,0.23,0.05,2.10,0.01,0.01,0.00
11/12/1990,0.23,0.05,2.10,0,0,0.00
11/13/1990,0.24,0.05,2.10,0.01,0,0.00
11/14/1990,0.25,0.06,2.10,0.02,0.01,0.00
11/15/1990,0.25,0.06,2.10,0,0,0.00
11/16/1990,0.26,0.06,2.10,0.01,0,0.00
11/17/1990,0.26,0.07,2.10,0.01,0.01,0.00
11/18/1990,0.27,0.07,2.10,0,0,0.00
11/19/1990,0.27,0.07,2.10,0,0,0.00
11/20/1990,0.28,0.08,2.10,0.01,0.01,0.00
11/21/1990,0.28,0.08,2.10,0,0,0.10
11/22/1990,0.28,0.08,2.10,0,0,0.10
11/23/1990,0.28,0.09,2.00,0,0.01,0.00
11/24/1990,0.28,0.09,2.00,0,0,0.00
11/25/1990,0.29,0.10,2.00,0.01,0.01,0.00
11/26/1990,0.29,0.10,2.00,0.01,0.01,0.00
11/27/1990,0.30,0.10,2.00,0,0,0.00
11/28/1990,0.31,0.11,2.00,0.01,0.01,0.00
11/29/1990,0.31,0.11,2.00,0.01,0.01,0.00
