date	phos_tot	solids_tot	q_tot	phos_storm	solids_storm	q_storm
10/1/1990	0.44	0.06	2.7	0	0	0
10/2/1990	0.44	0.06	2.7	0	0	0
10/3/1990	1.2	0.31	4	0.76	0.25	1.3
10/4/1990	0.45	0.06	2.7	0.04	0.01	0.2
10/5/1990	0.41	0.05	2.5	0	0	0
10/6/1990	0.41	0.05	2.5	0	0	0
10/7/1990	0.38	0.05	2.3	0	0	0
10/8/1990	0.38	0.05	2.3	0	0	0
10/9/1990	0.39	0.05	2.4	0.01	0	0.1
10/10/1990	0.38	0.05	2.3	0	0	0
10/11/1990	0.38	0.05	2.3	0	0	0
10/12/1990	0.38	0.05	2.3	0	0	0
10/13/1990	0.38	0.05	2.4	0.03	0	0.2
10/14/1990	0.38	0.05	2.3	0.03	0	0.1
10/15/1990	0.35	0.05	2.2	0	0	0
10/16/1990	0.35	0.05	2.2	0	0	0
10/17/1990	0.36	0.05	2.2	0.01	0	0
10/18/1990	0.43	0.06	2.6	0.08	0.01	0.4
10/19/1990	0.37	0.05	2.3	0	0	0
10/20/1990	0.37	0.05	2.3	0	0	0
10/21/1990	0.42	0.06	2.6	0.05	0.01	0.3
10/22/1990	0.38	0.05	2.4	0.02	0	0.2
10/23/1990	0.38	0.05	2.3	0.02	0	0.1
10/24/1990	0.36	0.05	2.2	0	0	0
10/25/1990	0.36	0.05	2.2	0.02	0	0
10/26/1990	0.35	0.05	2.2	0.01	0	0
10/27/1990	0.34	0.05	2.2	0	0	0
10/28/1990	0.32	0.05	2.2	0.01	0	0
10/29/1990	0.32	0.05	2.2	0.01	0	0
10/30/1990	0.31	0.05	2.2	0	0	0
10/31/1990	0.3	0.05	2.2	0.02	0	0.1
11/1/1990	0.29	0.05	2.2	0.01	0	0.1
11/2/1990	0.28	0.05	2.1	0	0	0
11/3/1990	0.28	0.05	2.2	0.02	0	0
11/4/1990	0.28	0.05	2.3	0.02	0	0.1
11/5/1990	0.26	0.05	2.2	0	0	0
11/6/1990	0.25	0.05	2.1	0.02	0.01	0
11/7/1990	0.24	0.05	2.1	0.01	0.01	0
11/8/1990	0.23	0.04	2.1	0	0	0
11/9/1990	0.22	0.04	2.1	0	0	0
11/10/1990	0.23	0.05	2.1	0.01	0.01	0
11/11/1990	0.23	0.05	2.1	0.01	0.01	0
11/12/1990	0.23	0.05	2.1	0	0	0
11/13/1990	0.24	0.05	2.1	0.01	0	0
11/14/1990	0.25	0.06	2.1	0.02	0.01	0
11/15/1990	0.25	0.06	2.1	0	0	0
11/16/1990	0.26	0.06	2.1	0.01	0	0
11/17/1990	0.26	0.07	2.1	0.01	0.01	0
11/18/1990	0.27	0.07	2.1	0	0	0
11/19/1990	0.27	0.07	2.1	0	0	0
11/20/1990	0.28	0.08	2.1	0.01	0.01	0
11/21/1990	0.28	0.08	2.1	0	0	0.1
11/22/1990	0.28	0.08	2.1	0	0	0.1
11/23/1990	0.28	0.09	2	0	0.01	0
11/24/1990	0.28	0.09	2	0	0	0
11/25/1990	0.29	0.1	2	0.01	0.01	0
11/26/1990	0.29	0.1	2	0.01	0.01	0
11/27/1990	0.3	0.1	2	0	0	0
11/28/1990	0.31	0.11	2	0.01	0.01	0
11/29/1990	0.31	0.11	2	0.01	0.01	0
11/30/1990	0.32	0.12	2	0	0	0
12/1/1990	0.32	0.13	2	0	0.01	0
12/2/1990	0.32	0.13	2	0	0.01	0
12/3/1990	0.26	0.11	1.6	0	0	0
12/4/1990	0.34	0.15	2	0.08	0.04	0.4
12/5/1990	0.35	0.15	2	0.09	0.04	0.4
12/6/1990	0.37	0.17	2.1	0	0	0
12/7/1990	0.39	0.18	2.2	0.02	0.01	0.1
12/8/1990	0.39	0.19	2.1	0.02	0.02	0
12/9/1990	0.4	0.2	2.1	0	0	0
12/10/1990	0.4	0.21	2.1	0	0.01	0
12/11/1990	0.41	0.22	2.1	0.01	0.02	0
12/12/1990	0.42	0.23	2.1	0.03	0.02	0.2
12/13/1990	0.39	0.22	2	0	0.01	0.1
12/14/1990	0.39	0.21	1.9	0	0	0
12/15/1990	0.41	0.22	2	0	0	0
12/16/1990	0.42	0.22	2	0.01	0	0
12/17/1990	0.45	0.22	2.1	0.04	0	0.1
12/18/1990	0.46	0.22	2.1	0.03	0.03	0.2
12/19/1990	0.47	0.22	2.1	0.04	0.03	0.2
12/20/1990	0.43	0.19	1.9	0	0	0
12/21/1990	0.46	0.2	2	0.08	0.04	0.4
12/22/1990	0.42	0.18	1.8	0.04	0.02	0.2
12/23/1990	0.38	0.16	1.6	0	0	0
12/24/1990	0.39	0.15	1.6	0	0	0
12/25/1990	0.42	0.16	1.7	0.03	0.01	0.1
12/26/1990	0.4	0.15	1.6	0.01	0	0
12/27/1990	0.38	0.14	1.5	0	0	0
12/28/1990	0.44	0.15	1.7	0.06	0.01	0.2
12/29/1990	0.51	0.17	1.9	0.13	0.03	0.4
12/30/1990	0.49	0.16	1.8	0	0	0
12/31/1990	0.5	0.16	1.8	0.01	0	0
1/1/1991	0.53	0.16	1.9	0.04	0	0.1
1/2/1991	0.51	0.15	1.8	0.02	0.01	0.1
1/3/1991	0.49	0.14	1.7	0	0	0
1/4/1991	0.53	0.15	1.8	0.04	0.01	0.1
1/5/1991	0.57	0.15	1.9	0	0	0
1/6/1991	0.58	0.15	1.9	0.01	0	0
1/7/1991	0.59	0.15	1.9	0.02	0	0
1/8/1991	0.6	0.15	1.9	0	0.01	0
1/9/1991	0.61	0.14	1.9	0.01	0	0
1/10/1991	0.62	0.15	1.9	0.02	0.01	0
1/11/1991	0.65	0.16	2	0	0	0
1/12/1991	0.68	0.17	2.1	0.03	0.01	0.1
1/13/1991	0.68	0.18	2.1	0.03	0.02	0.1
1/14/1991	0.7	0.19	2.2	0.02	0	0.1
1/15/1991	0.69	0.19	2.1	0.01	0	0
1/16/1991	0.68	0.2	2.1	0	0.01	0
1/17/1991	0.67	0.2	2.1	0	0	0
1/18/1991	0.67	0.21	2.1	0	0.01	0
1/19/1991	0.69	0.22	2.1	0.02	0.02	0
1/20/1991	0.66	0.22	2	0.11	0.02	0.3
1/21/1991	0.58	0.2	1.8	0.03	0	0.1
1/22/1991	0.55	0.2	1.7	0	0	0
1/23/1991	0.65	0.24	2	0.13	0.04	0.4
1/24/1991	0.55	0.21	1.7	0.03	0.01	0.1
1/25/1991	0.52	0.2	1.6	0	0	0
1/26/1991	0.52	0.21	1.6	0	0	0
1/27/1991	0.62	0.26	1.9	0.1	0.05	0.3
1/28/1991	0.58	0.25	1.8	0.06	0.04	0.2
1/29/1991	0.55	0.24	1.7	0	0	0
1/30/1991	0.55	0.25	1.7	0	0.01	0
1/31/1991	0.55	0.26	1.7	0	0.02	0
2/1/1991	0.55	0.27	1.7	0	0	0
2/2/1991	0.58	0.3	1.8	0.03	0.03	0.1
2/3/1991	0.68	0.36	2.1	0.13	0.09	0.4
2/4/1991	0.77	0.42	2.4	0.03	0	0.1
2/5/1991	0.76	0.42	2.3	0.02	0	0
2/6/1991	0.74	0.43	2.3	0	0.01	0
2/7/1991	0.74	0.44	2.3	0	0	0
2/8/1991	0.78	0.48	2.4	0.04	0.04	0.1
2/9/1991	0.75	0.47	2.3	0.01	0.03	0
2/10/1991	0.71	0.47	2.2	0.09	0.04	0.3
2/11/1991	0.65	0.44	2	0.03	0.01	0.1
2/12/1991	0.62	0.43	1.9	0	0	0
