DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/1/1990	2.7	2.7	2.7	0
10/2/1990	2.7	2.7	2.7	2.7
10/3/1990	4	2.7	2.7	2.63
10/4/1990	2.7	2.5	2.5	2.56
10/5/1990	2.5	2.5	2.5	2.5
10/6/1990	2.5	2.5	2.3	2.4
10/7/1990	2.3	2.3	2.3	2.3
10/8/1990	2.3	2.3	2.3	2.3
10/9/1990	2.4	2.3	2.3	2.3
10/10/1990	2.3	2.3	2.3	2.3
10/11/1990	2.3	2.3	2.3	2.3
10/12/1990	2.3	2.3	2.3	2.3
10/13/1990	2.4	2.2	2.3	2.27
10/14/1990	2.3	2.2	2.2	2.23
10/15/1990	2.2	2.2	2.2	2.2
10/16/1990	2.2	2.2	2.2	2.2
10/17/1990	2.2	2.2	2.2	2.2
10/18/1990	2.6	2.2	2.2	2.25
10/19/1990	2.3	2.3	2.3	2.3
10/20/1990	2.3	2.3	2.3	2.3
10/21/1990	2.6	2.3	2.3	2.27
10/22/1990	2.4	2.2	2.3	2.25
10/23/1990	2.3	2.2	2.2	2.22
10/24/1990	2.2	2.2	2.2	2.2
10/25/1990	2.2	2.2	2.2	2.2
10/26/1990	2.2	2.2	2.2	2.2
10/27/1990	2.2	2.2	2.2	2.2
10/28/1990	2.2	2.2	2.2	2.2
10/29/1990	2.2	2.2	2.2	2.2
10/30/1990	2.2	2.2	2.2	2.2
10/31/1990	2.2	2.1	2.2	2.2
11/1/1990	2.2	2.1	2.1	2.15
11/2/1990	2.1	2.1	2.1	2.1
11/3/1990	2.2	2.2	2.1	2.1
11/4/1990	2.3	2.2	2.2	2.1
11/5/1990	2.2	2.2	2.1	2.1
11/6/1990	2.1	2.1	2.1	2.1
11/7/1990	2.1	2.1	2.1	2.1
11/8/1990	2.1	2.1	2.1	2.1
11/9/1990	2.1	2.1	2.1	2.1
11/10/1990	2.1	2.1	2.1	2.1
11/11/1990	2.1	2.1	2.1	2.1
11/12/1990	2.1	2.1	2.1	2.1
11/13/1990	2.1	2.1	2.1	2.1
11/14/1990	2.1	2.1	2.1	2.1
11/15/1990	2.1	2.1	2.1	2.1
11/16/1990	2.1	2.1	2.1	2.1
11/17/1990	2.1	2.1	2.1	2.1
11/18/1990	2.1	2.1	2.1	2.1
11/19/1990	2.1	2.1	2.1	2.1
11/20/1990	2.1	2.1	2.1	2.1
