storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,3,10/2/90 23:00,10/3/90 13:50,1,0.788,1.14,0.948,0.776,0.554,0.33,3.066,14.833,0.053,0,NA,NA,75,43,60,0.82,0,0,P,,,1,,10/2/90,10/4/90,10,1990,1.2,2.09,0.7,0.76,0.8,0.27,0.31,0.43,0.14,0.25,0.26,0.09,4,9.4,3.13,1.3,1.5,0.5,0,0.79
2,2,10/17/90 22:10,10/18/90 5:15,1,0.283,0.12,0.108,0.108,0.096,0.08,0.145,7.083,0.04,0.016,0.016,0.103,69,28,46,0.52,0,0,P,,,1,,10/17/90,10/18/90,10,1990,0.43,0.79,0.4,0.08,0.09,0.05,0.06,0.11,0.06,0.01,0.01,0.01,2.6,4.8,2.4,0.4,0.4,0.2,0,0.28
3,4,10/20/90 16:30,10/21/90 5:05,1,0.305,0.216,0.186,0.172,0.116,0.073,0.196,12.583,0.024,0,0.298,0.314,64,30,47,0.39,0,0,P,,,1,,10/20/90,10/23/90,10,1990,0.42,1.55,0.39,0.05,0.09,0.02,0.06,0.21,0.05,0.01,0.01,0,2.6,9.6,2.4,0.3,0.6,0.15,0,0.31
4,3,,,,,,,,,,,,,,,,37,13,24,0.51,14,5,P,S,M,3,14.75%,12/3/90,12/5/90,12,1990,0.35,0.95,0.32,0.09,0.17,0.06,0.15,0.41,0.14,0.04,0.08,0.03,2,5.6,1.87,0.4,0.8,0.27,0.74,0.74
5,7,,,,,,,,,,,,,,,,48,11,34,0,0,N,,,M,7,18.41%,12/7/90,12/13/90,12,1990,0.42,2.8,0.4,0.03,0.08,0.01,0.23,1.45,0.21,0.02,0.09,0.01,2.2,14.7,2.1,0.2,1.6,0.13,NA,NA
6,5,,,,,,,,,,,,,,,,33,20,29,1.38,8,N,P,S,M,3,17.29%,12/15/90,12/19/90,12,1990,0.47,2.21,0.44,0.04,0.12,0.02,0.22,1.1,0.22,0.03,0.06,0.01,2.1,10.3,2.06,0.2,0.5,0.1,NA,NA
7,3,,,,,,,,,,,,,,,,36,-15,6,0.09,1,N,P,S,M,3,19.67%,12/20/90,12/22/90,12,1990,0.46,1.31,0.44,0.08,0.12,0.04,0.2,0.57,0.19,0.04,0.06,0.02,2,5.7,1.9,0.4,0.6,0.2,NA,NA
8,1,,,,,,,,,,,,,,,,27,-4,12,0.04,1,N,P,S,M,3,23.71%,12/29/90,12/29/90,12,1990,0.51,0.51,0.51,0.13,0.13,0.13,0.17,0.17,0.17,0.03,0.03,0.03,1.9,1.9,1.9,0.4,0.6,0.3,NA,NA
9,4,,,,,,,,,,,,,,,,27,-7,9,0.02,0,U,P,,M,3,22.66%,12/30/90,1/2/91,12,1990,0.53,2.03,0.51,0.04,0.07,0.02,0.16,0.63,0.16,0.01,0.01,0,1.9,7.3,1.83,0.1,0.2,0.05,NA,NA
10,6,,,,,,,,,,,,,,,,25,-10,12,0.4,5,U,P,S,M,3,20.18%,1/5/91,1/10/91,1,1991,0.62,3.57,0.6,0.02,0.06,0.01,0.15,0.89,0.15,0.01,0.02,0,1.9,11.4,1.9,0,0,0,NA,NA
