DV_date	QTOT	QGW_fixed	QGW_slide	QGW_locmin
10D	12N	12N	12N	12N
10/01/1990	    2.50	    2.40	    2.40	    0.00
10/02/1990	    2.40	    2.40	    2.40	    2.40
10/03/1990	    2.80	    2.40	    2.40	    2.44
10/04/1990	    3.20	    2.80	    2.80	    2.48
10/05/1990	    2.90	    2.80	    2.80	    2.52
10/06/1990	    2.80	    2.80	    2.60	    2.56
10/07/1990	    2.60	    2.60	    2.60	    2.60
10/08/1990	    2.70	    2.60	    2.60	    2.70
10/09/1990	    3.20	    2.60	    2.70	    3.07
10/10/1990	    4.70	    4.70	    3.20	    3.34
10/11/1990	    5.90	    4.70	    4.70	    3.64
10/12/1990	    4.90	    4.70	    4.30	    3.95
10/13/1990	    4.30	    4.30	    4.30	    4.30
10/14/1990	    4.80	    4.30	    4.30	    4.27
10/15/1990	    5.10	    4.30	    4.50	    4.25
10/16/1990	    4.50	    4.20	    4.20	    4.22
10/17/1990	    4.20	    4.20	    4.20	    4.20
10/18/1990	    7.20	    4.20	    4.20	    4.42
10/19/1990	    5.60	    4.90	    4.90	    4.65
10/20/1990	    4.90	    4.90	    4.90	    4.90
10/21/1990	    5.60	    4.90	    4.90	    4.64
10/22/1990	    5.20	    4.10	    4.60	    4.39
10/23/1990	    4.60	    4.10	    4.10	    4.16
10/24/1990	    4.10	    4.10	    3.70	    3.94
10/25/1990	    3.70	    3.40	    3.50	    3.70
10/26/1990	    3.50	    3.40	    3.40	    3.50
10/27/1990	    3.40	    3.40	    3.10	    3.35
10/28/1990	    3.10	    3.00	    3.00	    3.10
10/29/1990	    3.00	    3.00	    3.00	    3.00
10/30/1990	    3.00	    3.00	    3.00	    3.00
10/31/1990	    3.00	    3.00	    3.00	    3.00
11/01/1990	    3.00	    3.00	    3.00	    3.00
11/02/1990	    3.00	    3.00	    3.00	    3.00
11/03/1990	    3.00	    3.00	    3.00	    3.00
11/04/1990	    3.50	    3.00	    3.00	    3.50
11/05/1990	    9.00	    3.00	    3.50	    4.09
11/06/1990	   11.00	    6.50	    8.50	    4.77
11/07/1990	    8.50	    6.50	    6.50	    5.57
