storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
1,3,10/3/90 10:05,10/3/90 17:45,1,0.41,0.6,0.54,0.52,0.4,0.27,1.182,7.67,0.053,0,0,0,80,47,62,0.66,0,0,P,,,1,,10/3/90,10/5/90,10,1990,0.86,2.38,0.79,0.11,0.23,0.08,0.03,0.1,0.03,0,0,0,3.2,8.9,2.97,0.4,0.9,0.3,0,0.41
2,2,10/8/90 14:15,10/9/90 4:05,1,0.37,0.36,0.36,0.28,0.26,0.17,0.63,13.83,0.027,0,0.04,0.39,50,43,47,0.25,0,0,P,,,1,,10/8/90,10/9/90,10,1990,0.86,1.58,0.79,0.15,0.16,0.08,0.03,0.06,0.03,0,0,0,3.2,5.9,2.95,0.6,0.7,0.35,0,0.37
3,3,10/10/90 7:00,10/10/90 18:55,1,0.52,0.24,0.18,0.16,0.14,0.12,0.453,11.92,0.044,0,0.37,0.41,64,33,48,0.84,0,0,P,,,1,,10/10/90,10/12/90,10,1990,1.6,4.2,1.4,0.32,0.36,0.12,0.06,0.17,0.06,0.01,0.01,0,5.9,15.5,5.17,1.2,1.4,0.47,0,0.52
4,3,10/14/90 7:55,10/14/90 10:40,1,0.26,0.36,0.3,0.28,0.22,0.18,0.388,2.75,0.095,0,0,0.52,60,41,51,0.35,0,0,P,,,1,,10/14/90,10/16/90,10,1990,1.39,3.89,1.3,0.22,0.41,0.14,0.06,0.16,0.05,0.01,0.01,0,5.1,14.4,4.8,0.8,1.6,0.53,0,0.26
5,3,10/17/90 18:45,10/17/90 21:15,1,0.28,0.48,0.36,0.28,0.26,0.25,0.527,2.5,0.112,0,0.04,0.3,68,30,50,0.28,0,0,P,,,1,,10/17/90,10/19/90,10,1990,1.94,4.58,1.53,0.8,0.99,0.33,0.08,0.18,0.06,0.03,0.04,0.01,7.2,17,5.67,3,3.7,1.23,0,0.28
6,5,11/3/90 8:40,11/5/90 17:00,2,1.08,0.36,0.3,0.28,0.26,0.24,1.472,56.33,0.019,0,0,0,65,33,42,0.93,0,0,P,,,1,,11/3/90,11/7/90,11,1990,12.87,32.88,6.58,12.05,20.07,4.01,0.83,1.76,0.35,0.8,1.23,0.25,11,35,7,6,13,2.6,0,1.08
7,2,11/9/90 10:40,11/9/90 13:25,1,0.24,0.24,0.18,0.16,0.16,0.13,0.244,2.75,0.087,0.01,0.03,0.82,44,30,37,0.26,0.8,0,P,S,,1,,11/9/90,11/10/90,11,1990,5.46,10.56,5.28,0.95,1.54,0.77,0.24,0.47,0.23,0.03,0.04,0.02,7.5,14.2,7.1,1,1.2,0.6,0,0.24
8,2,11/27/90 17:35,11/28/90 0:55,1,0.35,0.24,0.24,0.24,0.2,0.19,0.46,7.33,0.048,0.25,0.27,0.27,59,30,47,0.41,0,0,P,,,1,,11/27/90,11/28/90,11,1990,27,39,19.5,15,15,7.5,3.26,4.49,2.25,2.03,2.03,1.02,13,20.8,10.4,5.2,5.2,2.6,0,0.35
9,11,,,,,,,,,,,,,,,,50,12,34,0.97,10,8,P,S,M,3,24.47%,12/3/90,12/13/90,12,1990,20.7,66,6,10.6,23.23,2.11,2.37,6.5,0.59,1.37,2.89,0.26,11,66.7,6.06,4,11.3,1.03,1.96,1.96
10,2,12/15/90 5:55,12/15/90 18:30,1,0.29,0.12,0.12,0.08,0.06,0.06,0.106,12.58,0.023,0,0.01,0.01,38,25,33,0.31,0,0,P,,,1,33.33%,12/15/90,12/16/90,12,1990,3.66,7.29,3.64,0.47,0.9,0.45,0.29,0.58,0.29,0.03,0.05,0.03,7,13.7,6.85,0.8,1.3,0.65,0,0.29
11,4,12/28/90 20:25,12/29/90 3:20,1,0.52,0.24,0.24,0.24,0.24,0.2,0.882,6.92,0.075,0,0.01,0.01,38,-2,20,0.13,2,1,P,S,M,2,16.21%,12/28/90,12/31/90,12,1990,2.43,8.39,2.1,0.95,2.24,0.56,0.24,0.83,0.21,0.1,0.23,0.06,6,20.9,5.23,2.5,5.5,1.38,0.16,0.68
12,5,,,,,,,,,,,,,,,,34,6,22,0.41,6.5,2,P,S,M,3,14.01%,1/5/91,1/9/91,1,1991,1.99,8.95,1.79,0.38,0.99,0.2,0.23,1.01,0.2,0.04,0.12,0.02,6,26.5,5.3,1,3,0.6,0.28,0.28
