   Node  Constant theisen     p5max       p10max      p15max      p30max      p60max      ei          duration    intense     ap1day      ap2day      ap3day      tmax        tmin        tmean       sinJulian   cosJulian   meltwater   totalwater  event=2     m=M         s=S         
   32   3.5667E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   33   3.4160E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   68  -3.8586E+01  1.1772E+03  4.5157E-01  4.3312E+01 -6.0801E+01 -7.0625E+01  4.5252E-01  2.6749E+01 -4.1656E-01  6.4943E+00  1.7599E+01 -2.4368E+01  1.7677E+01 -6.4426E-01 -5.1123E-01  1.2746E+00 -8.1980E-01 -4.4990E+01  0.0000E+00 -1.1835E+03  0.0000E+00  0.0000E+00  0.0000E+00
  138  -7.7415E-01  3.7541E+01  2.7808E+01 -2.2564E+01 -3.5653E+01  5.2339E+01  6.0730E+00 -7.4882E+00 -2.5629E-02  1.1364E+01 -1.8931E+00  7.9207E-01  3.3326E-01  6.8115E-02  8.0396E-02 -1.7069E-01  9.1866E-02  1.1973E-01  5.6231E+01 -3.4234E+01  0.0000E+00  0.0000E+00 -1.9275E+00
  278   2.8000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  279  -3.5046E+00  1.0453E+02  1.6612E+01 -2.8006E+01  2.1072E+01 -1.3108E+01  1.6732E+01 -4.6539E+00 -9.6440E-02 -2.7874E+01  4.9090E+01 -1.8347E+00  8.6737E-01 -1.7869E-01 -1.8306E-01  3.6003E-01  8.6813E-01 -2.9398E-01  0.0000E+00 -8.8860E+01  0.0000E+00  0.0000E+00  0.0000E+00
   35   7.5213E+01  8.3245E+03  1.2628E+02 -4.0801E+02  2.1124E+01  3.8162E+02 -2.4880E+02  6.8854E+01 -1.9589E+00 -1.5587E+03  3.4347E+03 -1.9156E+01  2.5544E+01  2.3801E+00  9.3210E-01 -3.0403E+00 -5.1488E+00  3.5057E+01  7.8588E+03 -8.3457E+03  0.0000E+00  2.3917E+02 -1.7237E+02
   36   1.5885E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   74  -6.0350E+01 -1.3801E+03 -5.6651E+02  1.1290E+03 -4.7527E+02 -1.7975E+02  1.4743E+02 -3.4961E+01 -2.3178E+00 -1.7592E+03  7.2389E+02 -1.5737E+01  1.8327E+01  8.0216E-01  1.7275E+00 -1.4042E+00  3.3736E+01  6.6911E+01 -3.6378E+02  1.6284E+03  0.0000E+00  0.0000E+00  0.0000E+00
   75   1.0102E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   19   3.5881E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   10   3.1788E+01  1.2470E+04  1.1186E+02 -2.9273E+02  5.1605E+02 -1.0796E+03  5.8127E+02  2.6284E+01  2.2622E+00  6.6439E+01 -2.6969E+03 -8.3903E+01  5.4086E+01  1.3177E+01  1.2331E+01 -2.4870E+01 -3.5083E+00  7.7234E-01  0.0000E+00 -1.2545E+04  0.0000E+00  0.0000E+00  0.0000E+00
   22   1.2648E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   23  -6.7451E+02  2.4534E+03 -7.5696E+01  8.9703E+01  4.6982E+01 -2.5083E+02 -2.4786E-01  2.4892E+01  6.7481E-01  8.7848E+01  6.7384E+02 -1.3715E+02  5.7850E+01  1.0153E+01  6.6312E+00 -4.5797E+00  3.2443E+01  1.9103E+02  0.0000E+00 -2.5749E+03  0.0000E+00  0.0000E+00  0.0000E+00
