  train         node      observed          predicted
      y           13    6.776070E-01    8.778999E-01
      y           16   -1.487417E-01   -8.374935E-01
      y           16   -1.191864E-01   -8.374935E-01
      y           17   -5.060999E-02    2.386395E-01
      y           17   -2.000000E+00    2.386395E-01
      y           24    1.452706E+00    1.082486E+00
      y           17    7.041505E-01    2.386395E-01
      y           13    6.919651E-01    8.778999E-01
      y           24    7.965743E-01    1.082486E+00
      y           17    8.129134E-01    2.386395E-01
      y           17    6.180481E-01    2.386395E-01
      y           13    9.854265E-01    8.778999E-01
      y            7    3.330647E+00    2.300573E+00
      y           24    1.860398E+00    1.082486E+00
      y           17    7.693773E-01    2.386395E-01
      y            9   -5.086383E-01   -7.970092E-01
      y           13    3.505958E+00    8.778999E-01
      y            9   -6.020600E-01   -7.970092E-01
      y            9    1.753277E+00   -7.970092E-01
      y           13    2.414489E+00    8.778999E-01
      y           16   -6.020600E-01   -8.374935E-01
      y           13    1.292478E+00    8.778999E-01
      y            9   -1.397940E+00   -7.970092E-01
      y           25    4.969296E-01   -5.163739E-01
      y           25    3.654880E-01   -5.163739E-01
      y            7    2.365113E+00    2.300573E+00
      y            9   -8.092191E-02   -7.970092E-01
      y            7    1.801129E+00    2.300573E+00
      y            9   -3.872161E-01   -7.970092E-01
      y           25   -1.366771E-01   -5.163739E-01
      y           25    6.818586E-02   -5.163739E-01
      y           24    5.453071E-01    1.082486E+00
      y           16   -6.020600E-01   -8.374935E-01
      y           16   -5.850267E-01   -8.374935E-01
      y           13    1.711470E+00    8.778999E-01
      y            7    2.828602E+00    2.300573E+00
      y           16    1.177825E+00   -8.374935E-01
      y           24    2.086324E+00    1.082486E+00
      y           24    1.300813E+00    1.082486E+00
      y           24    1.253822E+00    1.082486E+00
      y           16   -1.301030E+00   -8.374935E-01
      y           17    1.648067E+00    2.386395E-01
      y           24    1.906443E+00    1.082486E+00
      y           17   -6.382722E-01    2.386395E-01
      y           13    6.483600E-01    8.778999E-01
      y            7    2.332681E+00    2.300573E+00
      y           13    2.091702E+00    8.778999E-01
      y            5    1.240799E+00    9.795952E-01
      y           13    9.680157E-01    8.778999E-01
      y            9   -2.365720E-01   -7.970092E-01
      y            5    1.142702E+00    9.795952E-01
      y            9   -9.208188E-01   -7.970092E-01
      y            7    1.652343E+00    2.300573E+00
      y           24    1.177825E+00    1.082486E+00
      y            5    1.210853E+00    9.795952E-01
      y            9   -4.559320E-01   -7.970092E-01
      y            9   -1.301030E+00   -7.970092E-01
      y           13    9.227255E-01    8.778999E-01
      y            9    0.000000E+00   -7.970092E-01
      y           25   -2.146702E-01   -5.163739E-01
      y            7    3.220427E+00    2.300573E+00
      y           16   -4.317983E-01   -8.374935E-01
      y           24    1.443106E+00    1.082486E+00
      y           24    1.524266E+00    1.082486E+00
      y           16   -1.079054E-01   -8.374935E-01
      y           24    2.627120E+00    1.082486E+00
      y           24    1.195069E+00    1.082486E+00
      y           24    1.719828E+00    1.082486E+00
      y           24    1.568202E+00    1.082486E+00
      y            7    2.726597E+00    2.300573E+00
      y           24    1.947924E+00    1.082486E+00
      y           24    1.730944E+00    1.082486E+00
      y           24    1.016197E+00    1.082486E+00
      y           13    1.298416E+00    8.778999E-01
      y            9    1.122216E+00   -7.970092E-01
      y           24    2.047431E+00    1.082486E+00
      y            7    2.989606E+00    2.300573E+00
      y            7    2.983721E+00    2.300573E+00
      y            9    1.456821E+00   -7.970092E-01
      y            9    6.766936E-01   -7.970092E-01
      y            7    3.290704E+00    2.300573E+00
      y            9    8.943161E-01   -7.970092E-01
      y            9    1.168203E+00   -7.970092E-01
      y            9    1.015360E+00   -7.970092E-01
      y            5    2.049567E+00    9.795952E-01
      y           13    2.489930E+00    8.778999E-01
      y           13    1.878062E+00    8.778999E-01
      y           13    2.468185E+00    8.778999E-01
      y            7    2.627079E+00    2.300573E+00
      y            7    2.080663E+00    2.300573E+00
      y           16    2.278867E-01   -8.374935E-01
      y           16    4.345689E-01   -8.374935E-01
      y           16   -1.045757E+00   -8.374935E-01
      y           16    8.990511E-02   -8.374935E-01
      y           24   -1.322827E-02    1.082486E+00
      y           13    1.168203E+00    8.778999E-01
      y            5    1.812847E+00    9.795952E-01
      y            7    3.287551E+00    2.300573E+00
      y           17    1.266702E+00    2.386395E-01
      y           17    3.541084E-01    2.386395E-01
      y            9    2.504200E-01   -7.970092E-01
      y           17    5.078559E-01    2.386395E-01
